,UKF334,ZH1007inf,ZH1007nec
BMP1,0.029996073629746843,0.019488602078886308,0.18720927336367701
NDP,0.02690078774703997,0.11099569077740476,-0.09098433229936112
TNFSF18,,0.16597632490098838,
IL36G,0.011291277300326247,,
RTN4,-0.034874753546715195,0.05340537068422004,0.004536015481065438
HEBP1,0.043739443581581855,0.08214754128263389,0.07486946384366729
WNT7B,-0.01489607445925354,0.0472943541516831,0.11011217529674895
PTMA,0.037563663524665614,-0.0257991146076417,0.049125909082643034
CEACAM1,,,0.027961190641074257
PDAP1,0.023918532624195795,0.1263724266857721,-0.021656253955792997
QDPR,-0.03986122192178217,0.06647451984706074,0.12833982241247793
POMC,0.0613643963579747,-0.02110392304166136,0.04647129892757323
CCL18,,,0.021931842084787077
CCL17,-0.012380855442066109,,
VEGFD,-0.013268946253667238,,0.055157146544202944
WNT5A,0.04714768045622981,0.028826720691200347,-0.009011778759275373
CXCL8,0.059209603275687896,,0.0021104627487780513
GRN,-0.009155188979117062,0.10209883686213629,0.06834072491158989
MIA,-0.0181724299778312,0.008213309004053291,0.04654772466597547
COL4A4,0.06025191003078821,,
TAC1,-0.031240383404612812,,
RARRES2,-0.03575815384379428,-0.03139531342093025,-0.007372383882114784
FGF7,-0.020650702372735953,0.06728631288268347,0.019541601602687923
HBEGF,-0.016454624825251542,0.08229739615626759,0.02723502455834873
PI3,,,0.024138381810736607
PCSK1N,-0.022651413935672857,0.03737452662672816,0.09851686100665288
SFRP1,0.01367093385742901,-0.056782166038688374,-0.034644405928257856
MICA,0.04462665653520035,0.07341358726765151,-0.011472317071237203
TG,0.05647825835527167,0.0691349394041636,0.11644648001447393
ADA,0.017675238641299048,-0.006735679196723267,-0.028726608439839825
LAMC3,0.013407817430327882,0.008620351911057178,0.0815128240043905
TNFSF15,,0.0262147316320415,
HMGB1,-0.05627306458676688,-0.06384881076357504,-0.04785399251998927
ITGB3BP,0.023933879627692455,-0.03292204467576466,0.023878948924052085
AANAT,0.14560537705638918,,0.021775877201539652
RELN,-0.01838619427290142,,
IL15,-0.015402905070260252,0.09533893442593325,-0.0022995992172805575
UTS2,,0.09805290998853482,-0.02733429278842514
BSG,-0.0047764222288935,0.012894616108101623,0.05952565857761761
ADAMTS3,-0.025594657057106514,0.08394408812055913,-0.09949672618527561
CD34,0.0036710819591079563,0.004870693340698431,0.2006231780756675
CCL23,,0.045557494094485625,
PLAT,-0.015531892980019968,-0.023407724439714193,0.021413123005198157
LTA,0.02831776267701627,,
CKLF,0.04903988920300286,0.030255379415321994,0.10389883976586498
CD24,0.008245223894514061,0.03819804114335737,-0.05384117925999323
HSP90AA1,-0.027008371670693594,0.015099494739886922,-0.10692515115043379
BMP4,-0.013124867620202077,0.0163466169230832,-0.06285628062985882
SCGB3A1,-0.010747944789858277,0.0972926372869655,-0.05116242741533953
IGFBP4,0.03140104177122159,-0.023448352859361546,0.11933347625987244
RSPO4,-0.005140576829883272,,
LEFTY2,0.051627776984884105,0.09136599881327072,0.07437046502198677
ANGPTL2,0.01329346775385548,0.01082171000271471,0.08588198352102824
LRIG2,-0.042152696650016155,0.019478251898549178,-0.06436935231348492
ICOSLG,-0.0029430963850789094,0.0018877376767592632,0.12259462469297634
WIF1,-0.051437434961165755,,
NPPC,0.03381704805450903,-0.04396607893704187,0.07868871496898243
LYZ,0.05578647140831947,0.01476477744371981,0.09866760042732389
SPTAN1,-0.03310921787412108,-0.01134073560297204,-0.06737770883189986
LIPC,0.006128807197250951,0.017164600347696443,0.007696742276649637
COL8A1,0.03419164290741656,0.09816990670250306,0.08435493994650156
GSTM2,0.07107216939962802,-0.01693764928176849,0.04495518228133125
IL4,,,0.023211551721671223
SPX,-0.041941463517529975,-0.05828547152679511,
MFGE8,-0.009741442580613744,0.06210164587699836,0.11623970283131381
TGFA,0.02069651403419139,-0.03500993335736104,0.015276218149031058
