,MGH258,UKF248,UKF251,UKF266,UKF275,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,-0.017996411471717228,,-0.019410029790197427
BMP1,0.009613199148339791,0.05799676569965201,-0.041049260488887906,-0.02469815950246759,-0.043948395171034875,0.026284625791488093,-0.05324523942922498,0.0013888873158045768,0.038865338185839295,-0.0660314290297263,-0.01852992622734973,-0.0032767479396920447,0.06362467202148245,0.04894572475157777
NDP,-0.07718697524832435,0.016617615297214797,-0.025760561892724777,-0.025422001628547502,-0.005430975064348065,0.06350185839527286,-0.05547695548445725,0.016983686185283006,0.061418273915903134,0.03699883689051926,0.05612675188479664,-0.02572032630894091,-0.028115815965554826,0.004912948277737037
TNFSF18,-0.022158378185175846,-0.018084836045809228,0.04192962052516255,-0.012024546231235793,-0.014222980643731753,-0.03803704194982985,,-0.04352269688758497,,,,-0.01855938149546518,,-0.032741250098940196
RTN4,-0.01533915745498879,-0.05582813512942986,0.03233071247370358,-0.023560647632933043,-0.044940787091728496,0.06306132694136533,-0.002742297130363248,-0.026515526883679936,-0.05323379593972048,0.018142014016845506,0.050303769626686666,0.00779152859716999,-0.03306155095434328,0.0034043879053480964
HEBP1,-0.06810658097294663,0.0301270488630035,0.06165950958679251,0.01808409963913157,-0.03118345471155638,0.02958941032709018,0.072772550249484,0.04591184322903458,-0.058720859799221904,-0.03337159488418631,-0.008688714815386115,-0.005241807732210663,0.00952080275942706,0.04545783560265414
WNT7B,-0.019520837161435906,0.006496720121879091,-0.015709239525174813,-0.050402983492878875,0.04537994246723006,0.032075481673094444,-0.015957536067421126,,0.06820692704380533,-0.0334858786319272,0.03870921248554466,-0.038809168121913346,0.020260511576395388,0.020047778425106383
PTMA,-0.10899968327315682,0.02751663185053171,0.0045783708594358844,0.04443058741026369,-0.07720449462039679,0.026395443729214547,-0.15944012813172195,0.01653981144218411,-0.03571543789021543,0.12310884224525045,0.007597928088313591,-0.052834714242156806,0.10165193845047583,-0.020027127817009046
FASLG,0.0786362843692896,,,,,,,,,,,,,-0.01683431221521088
CEACAM1,-0.0095884886059166,-0.02328924450472087,-0.012055896488437145,,0.06731604459381664,,0.010044300507113333,-0.030603842339149787,0.006079815298040368,-0.0187637893835166,-0.016893073170700663,0.2211438910336863,-0.012712569437745642,-0.023422472937053046
PDAP1,0.06929933794978892,-0.05681668664476178,0.026254680488357458,-0.01179593725580993,0.014279197836090416,-0.015812263708200384,-0.06359622021607679,0.008130965659876489,-0.036368852294267694,0.005942112227423122,-0.04632403105573199,0.05666061914440244,-0.012277300019536141,-0.038443746952811476
QDPR,-0.07656596456154703,-0.012266024863241918,-0.014035150670482756,0.05503005550072532,0.008499608725316625,0.03302281758020294,-0.054740414317396235,-0.04633546454422837,-0.04025544760138984,0.02402179452007559,0.02681081698940575,-0.05622837038270646,-0.011821004008459191,0.022159210884432488
POMC,-0.053985763273278774,0.016636600516659578,-0.021421404630910947,0.019335311068844133,-0.016503222012170735,0.032560899466315185,-0.03877486482889661,-0.031273349450361254,-0.02723709614854465,0.014069817023388201,-0.029130650929085133,-0.0031380941106163335,0.04975328764580699,0.019914244774473643
CCL18,,0.00881180796240346,,,,,-0.037005158862626564,,-0.024719267568987797,-0.03433750440404625,-0.04125176602984157,,-0.03462918817847224,
CCL17,,,,,0.045996681142614286,,,,,-0.013312000374670204,-0.02438621165947677,0.06293272618101459,,-0.015258413199555843
VEGFD,,-0.02906278590907395,-0.01726765295281577,,-0.004158639005070785,,-0.04169044794595765,0.0038342891571339376,,,0.007047428950642642,-0.025024903162282813,,
TNFSF13,,0.11790914845662971,,-0.011661301382452522,,,,,,0.11365311513097513,-0.026506978335800083,-0.025444384583131807,0.0885213807282483,-0.02486231074067413
WNT5A,0.01021981680697845,0.057730229521178685,0.05667575524798521,0.0034879911680659767,-0.009228079348422858,0.07057254156324733,0.07922528807430473,0.08215440085474465,-0.003914094981281071,-0.04742182689623873,0.028419650390750305,-0.03049852811937942,0.002474533750477623,0.07570678422540283
CXCL8,,0.002974630473103587,-0.016168406738585335,0.07295899128135865,-0.024657753766610946,,0.12594910661424563,-0.020734420755234097,-0.04352216243661201,-0.11359527408829741,-0.12579418188590763,0.02902192600878829,-0.003688511716383221,0.03757856410817395
GRN,-0.017619788211339856,0.019581466537113363,-0.028100286452989034,0.02290289610449537,0.03820472536493413,0.0920481030380325,0.04140309533863407,-0.034112333229767276,0.04354869515038701,0.06659355005768364,-0.02281978702041233,-0.007135160152172054,0.04510004011421848,0.06096391652691787
MIA,0.10687825623042943,-0.03021061304908577,0.06875255476085679,-0.021085881912199442,-0.017945434229634828,0.1192851469674059,0.10071543688716135,0.05164419359267851,-0.05777651856763575,0.006760877982150981,0.0635934303394158,-0.030139225919868767,-0.0010086755270993105,-0.006640072907428436
COL4A4,-0.022607514425365596,-0.03490415866475765,-0.0010638517771206879,-0.011095213064259075,0.04227257200377061,,,0.024928041345741336,-0.03125287782322112,-0.01089308294455663,0.03667546118088284,-0.03654987822541982,0.0033565543371712157,-0.044809162882652014
TAC1,0.09958672358936466,0.006403455733995786,-0.004624848139720437,-0.02653458758406909,-0.035074222285644864,,,,,,,,-0.021932803868577138,0.10640900262836958
RARRES2,0.05216716281795605,0.008481376599287086,0.00367443423630552,0.016184888479005174,0.00609508503188014,0.07177328777034583,-0.025115780486250242,0.04606971161652357,0.05938497205892746,-0.08693435471066634,-0.0682791037606025,0.07628608094307208,-0.018568982653519455,0.02791128742973234
FGF7,0.024203980428109215,,-0.0021770538259726795,-0.01963240757229073,-0.042218441492745555,-0.03468300086720836,-0.03281797760442878,-0.004820337609604681,0.03600387054756837,-0.04345624521425787,0.013417791872826162,-0.03149882984580198,-0.015168699804540511,0.020962942315943
EFNA2,,,,,,,,,,,-0.01605573551231141,,,
HBEGF,0.008052690590839273,0.01323001193032757,0.023094587000053696,-0.019006841599299686,0.023099974363076793,0.0840657814633619,-0.09199413802310624,0.05817191786769446,0.08277493348266662,-0.0610588370232823,0.07466987211972131,-0.04153786853742138,-0.038763455385803516,-0.03077240352448333
CSF3,,,,,,,,,,-0.05964877419104644,-0.059922404156355996,,-0.018225204809033568,0.03542512668664613
PI3,,-0.03057526640530258,,,,,-0.020380061737024745,,,-0.08016920189057354,-0.060993943216816136,-0.02016015082718142,-0.03075500339967214,-0.022799827249544186
PCSK1N,0.0780044426345342,-0.030365572377372065,0.014513611137504307,0.012459093388468186,-0.04009867408843082,0.053490192626586365,0.016271568387634057,0.09904781302199349,0.029704735133566886,-0.03518761405892947,0.01706920742658069,-0.021484088056563547,-0.0026871936039042687,0.07384715492878792
NTS,,,,-0.013544734228318152,0.07282286121604094,,,,,-0.003902634585441257,-0.019560866930408562,,0.03163486985561754,0.10232724835801792
SFRP1,-0.02840330373854295,-0.009861721864512306,0.0763023789171152,0.0818982621590665,-0.024121938032828846,0.05627017503989376,-0.014766479786368157,0.034456134733329626,-0.042821805211653324,0.03409900634685868,-0.005901342505703087,-0.03368669424983453,0.03318898004519633,-0.02323689922428705
CXCL13,,,-0.018184772961366738,,,,,,,-0.029901482184002105,-0.031186207812741132,,0.019964992106962714,
MICA,-0.034237909671866414,0.01790347154738706,0.012996044719003048,0.06910401343270414,-0.026290111745538382,0.05576556320622393,-0.022581390198960757,-0.013310750186580372,-0.04353682380822748,-0.018865005383535773,-8.687782357515583e-05,0.031366365191764604,0.04004987434984222,0.04789947601999487
TG,-0.022607509330675176,-0.03772310699023378,-0.016393590150347106,-0.015634193871226394,-0.017871195887804937,0.03286929151621621,-0.01680161110531184,0.09341074588982412,-0.04024874691407765,-0.01768832030709835,-0.006924610451649031,,-0.014999623616917264,-0.03132933689122091
ADA,-0.03895693793321784,-0.01138209174264682,-0.03386697456388912,-0.03054293345124887,0.01835837168987094,0.04149343925331661,-0.041638987038804094,0.01521322410192891,0.06219141918778244,0.01735751894312917,0.09289670305284135,0.003591877232793897,0.0367106672690452,0.018830453995255167
LAMC3,0.11120513694017355,0.013111449597202484,-0.029152192132817736,-0.04000578818780756,-0.03953584073720564,-0.011570763904250655,-0.04667908230081586,0.07319948302564665,0.052207224554835625,-0.02141301788978603,0.06755024097126483,0.04522243179101098,0.018965190352228368,0.034687391420354666
CCL7,,-0.018486381127083958,,,,,,,,-0.019951620137266056,,,,0.0073402456857369555
NGF,,-0.020868196758781453,,-0.01491921431009887,,,,-0.0777624248548427,0.040207712895858394,0.016137795561419,0.08665646886963996,,0.050748886589257775,0.027071530043455583
TNFSF15,,,,-0.018115196957430055,,0.021108834965755358,,-0.026618365929449453,0.0010652773232370403,-0.01945058926011892,,,-0.011317539298249142,0.07473140288409352
HMGB1,-0.03633084631927859,0.003944457927226949,0.01639977386100006,-0.019418262635972194,0.04560507722860056,-0.10064575639656062,-0.0883791972926633,-0.032132540769904884,0.07015648036566359,0.05972677353631545,-0.020976379756912057,0.06626468122965776,0.06804177560807245,-0.059308414992412274
