,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf
BMP1,0.0010917954801698852,0.03801687419380758,0.03379168491690731,-0.04765183096612455,0.09525417523862341,0.022377704476940895,0.022157383455021294,-0.04715818220521416,0.08420281541764114,0.22224276135956264,0.0027467711241471265,0.0555799148460283
NDP,0.02375684143917788,0.051061804347703965,0.023024122838912822,0.05542926925085912,0.040380254671120136,-0.04428166218113322,0.05963596789364872,-0.00771508516891553,-0.014363738778570733,0.05147949907097644,0.08198845965053551,0.035900395578955156
TNFSF18,0.026066173975017263,0.06575075279260395,0.03304098802772891,0.06391745530808825,,,-0.016828659295471934,-0.011390333432518104,,,-0.0070548826856209786,
IL36G,,,,,,,,,,0.03423469138220703,,
RTN4,-0.04147292584952984,-0.03850268891826367,-0.010543669405971736,-0.029154365889901192,0.012133837134737974,0.009684508356079088,-0.11968856373553978,0.027235817166510773,0.031582682059218416,-0.20404759599692188,1.4895293302654901e-05,-0.1102704852331344
HEBP1,0.026009925169762083,0.03544644334607057,0.027501553706918678,-0.008351274778418412,0.08999282516099377,0.010594268381285842,-0.013184600854825921,-0.03058269693324914,-0.01575170623655773,0.11116680815444911,-0.02018344236329897,-0.0011347476230484995
WNT7B,0.024439542808085787,-0.05847134576025501,0.047117330626311286,-0.028314700052069503,0.1555989525882835,-0.008276466636413817,-0.05483393567533858,0.014341710786186616,-0.011246854873331763,-0.06875200346653164,,-0.0007734745888870949
PTMA,-0.04404104159797311,-0.04402839537529609,0.028043654087732083,0.05743782541843065,-0.0703891105330463,-0.006886114876253502,0.05815434351349969,-0.018373399145904638,-0.03157561711311683,0.30699292942082435,0.01572291475125113,-0.14306465067568663
FASLG,-0.032208267712579744,,,,,,,,,,,
CEACAM1,0.08619062576414112,,-0.03890235767595176,-0.021729829275430632,,-0.024642311419760365,,-0.01791428092422979,,,-0.02689774923782171,-0.02778747757713618
PDAP1,0.04671776532782778,-0.018921171505032097,0.0586439719295503,0.016214467701512074,0.012331279069040057,-0.07022856967647094,0.05181960870409742,-0.03550778463103933,0.009992262282017963,0.11923739978084175,-0.05705163025818444,0.07167442698978595
QDPR,-0.10633667845933474,0.10261720648695381,-0.00690019366966793,0.013429682832464705,0.02744817775550685,0.03662660576823876,0.012551401515354839,0.05333976729038577,-0.06070460229765149,-0.04933573907727895,0.00030652386384794273,-0.1266743499358435
POMC,0.023982380185358004,0.038826322261308104,0.025338935154411758,-0.00369146719487238,,0.11504534397737928,0.09447948690767098,-0.01321644218874339,0.03487581535924044,-0.09360476773040351,0.08010008322130512,-0.05140184973827792
CCL18,,0.03577090133020804,-0.018927260868705807,,,,,,,,,-0.056146247797750286
CCL17,,,,,,0.10016758104338121,,-0.014205963420152585,-0.01392045352532407,0.04639051965094243,,
