,UKF313,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,-0.022889443958808636
BMP1,0.018710011211642733,0.031300186242947496,0.0558873057105284,0.06597012432846996
NDP,0.04284338020187889,-0.002133806616632595,0.036967873130767596,0.021438567773274995
TNFSF18,,,,-0.038610399745986505
RTN4,0.013998549688730783,0.011088806249060303,-0.046994810777413576,0.0063843124759367115
HEBP1,-0.022273591242444518,0.03870656955212166,0.01232278014976526,0.01542822174500141
WNT7B,-0.019831710280253764,-0.031998369667257325,-0.0009136208069916464,-0.039955189217563684
PTMA,0.01576578475894267,-0.011840796509643132,0.0383372378379865,0.023127521172023907
FASLG,,,,-0.019852006936628083
CEACAM1,,-0.017930264743892952,-0.01822827754273522,0.03315043326844234
PDAP1,0.06137024238271094,0.04347463778229824,0.0194016213539136,-0.01679269222086166
QDPR,0.07808165621985205,0.00370927463503472,-0.01576516534190813,0.05585879448058369
POMC,0.016865874128215913,0.08626370748304894,0.03648008015754494,0.03206573836217751
CCL18,0.09422344579573091,0.049054481040107865,0.030731063626321338,
CCL17,,-0.012720654986583818,,-0.017993614518199405
VEGFD,0.02619781354173466,,,
TNFSF13,,-0.02440902624756201,-0.020469133975117466,-0.029319092991425964
WNT5A,0.013474816438147498,0.017786233164679723,0.04279692898506048,0.01597813483501775
CXCL8,0.09535953944895366,-0.029976173774893478,5.418018705992136e-05,-0.01419992572575152
GRN,-0.009886349074973075,0.028098075957349006,0.03406531048298744,0.07619106069354424
MIA,0.03777199035170998,0.06556313653100683,0.038965436510574304,-0.004012508486285867
COL4A4,,-0.021087619491344745,0.003181431009548401,0.04111336591999724
TAC1,,,0.016231600453666974,0.04885781433796324
RARRES2,0.05709789489010815,-0.004381683529260918,0.010613938129517799,0.04528204702289895
FGF7,0.00022063452963488355,0.013580538722045935,-0.018363570816946388,0.010505739298321874
HBEGF,0.032045117134880785,0.03809600019555664,0.023370397203543936,0.030668486218568925
CSF3,0.001676331675717077,0.008941750532618116,0.04823045484370815,-0.018944500244995183
PI3,,-0.07172487482279825,-0.01563298734485181,-0.041160105339165066
PCSK1N,-0.019008779447740883,0.052785311019317445,-0.04799423647250276,-0.009043448730762526
NTS,,0.0011073842705881408,0.046824364462195935,-0.028054221567719795
SFRP1,0.04541984562181385,-0.033127944772757864,0.002772878710206172,-0.027402312532225755
CXCL13,0.04245025945695874,-0.02857319919956785,0.029847916693772934,
MICA,0.011109665442424328,0.05794965695442123,-0.042012427924059174,0.05758002506408442
TG,0.0430249670985909,0.08632427457671879,0.013798935069711213,-0.014799121895974154
ADA,0.04247916580685637,0.048043403809944124,-0.03485422247637636,0.06903000480240246
LAMC3,0.013244336086414487,0.01606742844423499,-0.02310953626473968,0.06825286421547842
CCL7,,-0.01906532970600425,,-0.019851999877491373
NGF,0.048812787099997854,-0.022018929515389696,-0.008362086584592683,-0.0037682413297549736
TNFSF15,0.0277448487806247,-0.01858655561147061,-0.01622797408813067,0.07585052617615096
HMGB1,0.030481753974139797,0.010609676826423838,-0.008366951954619957,-0.0647096445346475
ITGB3BP,0.07394889879998645,-0.03249320927441674,0.06296225438394197,0.013033828010353708
AANAT,,-0.016725673719534907,,-0.0008977917363584937
RELN,,,-0.019601634035131765,
IL15,0.01068212093920275,-0.030642119533205673,-0.029672767810537265,0.10825212358234461
UTS2,,0.19940546293104944,,
BSG,0.07973900159711118,0.025989867104343495,-0.027933212665001827,0.062246029929304586
ADAMTS3,0.04061694035286393,-0.014744359444070073,-0.043263846078166794,0.010928356510362197
CD34,0.08049486414632316,0.01830057406248528,-0.004831265531169186,0.10737223471726054
PLAT,-0.0036230678740971542,0.06389404090824663,-0.08387750885845233,0.05085416706325925
NTF3,-0.03626800137212377,0.024131121597533237,0.010665274859946432,
LTA,,,,-0.013532263440449487
CKLF,0.06474351845519759,0.04697371278178776,0.016472012782799108,-0.021153936388272645
APELA,0.09301213807279181,,,
CD24,-0.04136162309541882,0.06237204691058828,-0.014388272588091071,0.0182456333592818
HSP90AA1,-0.013413660588708538,-0.042571662769159475,-0.014478666810378729,-0.10142517703187903
BMP4,0.013323834769965378,-0.04657267557599782,-0.03393012087960441,0.09798867462334515
SCGB3A1,0.05188715472450773,-0.029018237797153297,0.01109808886602348,-0.0315418404882879
IGFBP4,0.029164248793057044,0.033366241990885406,0.007771396602029467,0.08431071950739141
RSPO4,,,-0.02269577275830602,0.05638962286386806
LEFTY2,-0.01925198102854251,-0.016184305942302534,-0.018904352221317335,0.05093741897131237
PF4,,,,-0.02826854011970851
ANGPTL2,-0.05346119374772381,0.029600530104756887,-0.056359078133162155,0.08169730811730845
LRIG2,0.11437850142948461,-0.02908202424343433,0.03118603291810969,0.020233782920852556
ICOSLG,-0.004170681961957091,-0.014648827460043394,0.00025886222298384276,0.052569819458858975
WIF1,,,-0.021097919134654697,
NPPC,,0.0792928200907093,0.028972813220775776,
LYZ,0.070887228308823,-0.028915142318514424,0.002120282876666872,0.04426544297060935
EREG,-0.005672319802135518,0.04543438423213329,-0.014494005595851551,-0.04269204360458526
SPTAN1,0.04164626927158788,0.04935396173988987,-0.06896854643177112,0.0022611876265966457
PTH2,,,-0.03609383959950905,
LIPC,-0.02814859790454793,,,0.08186052561268531
COL8A1,-0.010936117763234922,0.018774206519145298,0.022032310665749708,0.09982969199011206
GSTM2,0.05391166735241639,-0.045870342383651785,-0.03943757870412307,-0.04870239026592299
