,UKF248,UKF251,UKF255,UKF259,UKF260,UKF275,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,0.003950305240011203,
BMP1,-0.08880936393058936,0.004588455663741236,0.008131253835957858,0.03407262103961744,-0.011247280457200463,0.0575532506224498,0.01671782932806677,0.0710261934162522,0.04590591342654967,0.023508979700854075,0.22882135503223405,0.01784783912137947
NDP,-0.04276827930580888,0.017415902650189666,0.06801617621854085,-0.029768506732207354,-0.04347963723012914,-0.0324186002699367,0.018673300326294974,-0.008917227989587708,0.06107210406445141,-0.03826721593141842,-0.06392453812532572,0.0020735291919634353
TNFSF18,-0.012000400647322461,-0.02528979802809401,,,,-0.011674763729586283,,,,,0.08273880420223292,-0.019924572934130923
RTN4,-0.053401374315664094,0.03542150440239107,0.07370593209513591,0.010697716932710924,-0.009125143749079039,-0.01504786590200917,-0.05552405986805633,-0.06665606517933188,-0.07868048733019598,0.040114196124764696,-0.058620504270724745,-0.05959942968166647
HEBP1,-0.049401505450893106,-0.027976508501023022,-0.04048153935430581,-0.04949773488175352,0.10796669921836827,0.010622173801211946,0.06245321645604709,0.001583966820998633,0.06599088677614236,-0.017513182039833174,0.016418938141522288,0.009707051258270833
WNT7B,0.0475685663366342,0.004749149701442117,-0.03184275648737226,0.025155507390148428,-0.004224345491896031,0.025149528802829304,,0.18290287853789408,-0.007479532298768795,-0.008942353021231992,-0.014245123071630523,-0.009528346924977973
PTMA,-0.016142699688657197,0.002182180668759258,0.07496562279232405,-0.008199455584014931,0.1060977898518046,-0.011135092232986053,0.056610410540991855,-0.09271417706640799,-0.08518867615650992,0.026027718818663084,0.1974979707153552,0.018832375277752552
FASLG,,,,,,,,,,,-0.028106206131377064,
CEACAM1,0.0636785592013685,-0.012055895765191327,,-0.018754719312437655,-0.016207965802437024,-0.01836162202054,,-0.03379762350240434,-0.014552362284419989,-0.01652755521707875,0.038571536961711214,
PDAP1,-0.0730239744460078,0.04702352964570468,0.05797214064324896,-0.020699855918609067,-0.02415215187664994,-0.03244952504696065,-0.000410237295548612,0.07680884038779366,0.048516872065265025,-0.007101766202576036,-0.01574918132902921,-0.11908599328697644
QDPR,-0.05749618884158946,0.023891992012189046,0.06819242558220877,-0.015955830128005853,0.004969678249373493,-0.057418203249980405,0.05822803398790595,-0.04188170627288497,0.011431226678671911,0.009793451033861056,-0.05038528138159495,-0.017573134211232827
POMC,0.03363544341710918,0.010906125886022251,,0.08696418307514704,-0.03261425992677566,-0.013546472613243234,0.01898751284807217,-0.036711055493502336,0.00472795891430113,-0.027036909182412118,0.05430667894169586,0.011450232399649922
CCL18,0.06644656847241638,,,,,,0.0885750289946311,0.028745805767007904,0.04286553625402904,0.05863472949667844,,
CCL17,,,,0.05122460966056465,,-0.014560703377474485,,0.2199130004857813,0.07148253183978785,,0.0031782141893891645,
VEGFD,-0.02592959057777989,-0.017267651916911243,,-0.01860448194539237,0.030892275300798955,-0.015513197887463172,-0.020426085870944685,,-0.014554602008089133,,,
TNFSF13,-0.019567301125673536,,,0.08949306190410755,,,,-0.03660525046035162,0.07474604015321792,-0.018559336790127275,0.021833941788965184,0.06912321744399416
WNT5A,0.07423430611352483,0.07319180772610781,0.005037928604465388,0.052060622984424675,-0.10485397997822138,0.011639805133019883,0.04147867964602913,0.05450873422932296,0.008574964947100321,0.0033272469738829646,0.10995007213187276,0.018487628300388574
CXCL8,0.111521506708626,-0.016168405768625736,-0.11162548960834348,0.014792672718328997,0.14519696498317605,0.034885950943913974,0.1204900099543679,0.17008398021622928,0.056154300866234984,-0.022328192553652006,-0.0020107689392597113,0.08856539330227918
GRN,0.03219634584364137,0.024873331798042093,0.048934509093961596,0.04503403788121908,-0.05532082142738353,-0.008166703781746184,0.14815310583395863,0.06352568711533911,0.07809434884747009,0.002424899271861185,0.21873454342571566,0.03995487827462364
MIA,0.022142512610316478,-0.01535664203924748,-0.024421247487983057,0.02864839154756418,0.011304678967688378,0.029957008165736283,,-0.014207979854256866,-0.011647767046566105,-0.01023631227345183,-0.04406739666740831,0.010315472263953244
COL4A4,0.024795828473442322,0.059700148254268705,-0.006558958595300842,-0.01050689958001915,-0.05661910526199601,-0.015201824814901932,,-0.055121124949626656,-0.009173038183375169,-0.02103874114446537,0.1480786837804726,0.0961148824408452
