,UKF243,UKF255,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.2828830715542091,,-0.021486811675186155,,
BMP1,-0.03655498019799142,-0.06591020342391746,-0.005785229301087239,0.04360843315069513,0.01542654463471188,0.003328608252927329,0.01006978324216643,0.043444806821393026,0.008373949783074453,-0.045635682695446746,-0.07922425101774498
NDP,-0.02858159406932193,-0.07256482023528345,0.008064584267184281,0.016078133839682655,-0.025088851295911384,0.01536768588171547,-0.04133964504567471,-0.055506188869872276,0.05964513602538371,-0.06256395586302012,0.04736402672860504
TNFSF18,0.09764342388047204,,-0.02773833228209194,,,,-0.020957887093953947,,-0.03624440984842724,-0.04019320748963199,
RTN4,-0.036772005487268375,0.049173869345051094,0.025929732759488008,-0.08908160268533707,0.005858774358484969,-0.016031702780568976,0.010748920784475632,0.04780923769774153,0.04990415758031492,0.08088729353937392,-0.07469093227914868
HEBP1,-0.009613827841172786,0.009960836584524816,0.05211362015334175,0.024457610638081682,-0.0181640522582265,0.08044272244312212,0.0035237781302527105,-0.013984004735951789,0.03336408634501003,-0.06776604247657872,-0.03112763595436495
WNT7B,0.010116058624647591,0.005842784393270517,-0.030537196431291908,0.04170515246289323,-0.04875035495032382,-0.03389254855721853,0.005845407476316932,-0.022607381851255458,-0.027179978348828626,0.06127672598836875,-0.041926200203288716
PTMA,0.0811560351632434,-0.09288924714436093,0.05779429147985384,0.03540772621016527,0.09460113218464664,0.0215005231120723,0.12155072791744348,0.04423602431941025,0.002435356922716145,-0.11379896037191312,0.09615859560939721
FASLG,,,,,,,,,0.07185724296336363,,
CEACAM1,,,,0.0034849558940314306,-0.010816842911861461,0.04071611450575804,-0.030114295720984292,-0.015004848129667786,-0.0259285673646812,,
PDAP1,-0.07852778932070571,0.09153628827242538,-0.04356057859342042,-0.04475366462387504,0.08524045171400806,-0.024931515744692875,-0.06890179971476391,0.005309986705541174,0.032531961413999166,-0.016519220555143068,0.12642413870143168
