,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk
DCN,0.027629562833656224,-0.06698965546372362,0.018409409047187686,0.0754140507656475,0.03901058951640813,-0.03232560002058072,0.08144684125314001,0.033037825039325015,-0.0009649718277732698,-0.022186507266698498,-0.02290120538785616,-0.016000707318786722,-0.08038566845955084,-0.035248762277119414,0.025736679514032922,-0.015772055879070664,0.051041771359168375,-0.014536379241297151,0.012801370279695372,0.08291361362409569
RARRES2,0.08407521019442679,0.03430020932574156,0.0007210522138591526,0.014720390467069577,0.047084460033174846,-0.0060760724815238434,-0.05371587783375715,-0.002327590617031927,-0.030753116141664236,0.027993411343408717,0.020094572820435846,-0.09116642606857871,0.07209502839428544,0.022011706362687386,-0.007333188048709453,0.017446212216125342,0.05782685712557058,0.011735058596041934,0.06769154550991029,-0.05146476583505745
SEMA4A,-0.020531668371720123,0.02144263166752975,0.02164858070833474,0.06870966534583985,-0.03622686687607445,0.08578709444366205,0.044610075251824116,0.0866618785306024,-0.02630291607638739,-0.010318969141338953,0.07455796882801896,0.04156908646254353,-0.007398800261263527,0.009418909777867543,-0.007869328949214898,0.10649725203552567,0.024109602353566708,0.05034428660818077,-0.07845439538484349,0.08120537456130787
GDF11,0.050269968455247824,0.04709903749199103,0.004015001080654559,0.010010697087784216,0.011950600282961969,-0.005077052967389949,-0.019920778833158258,-0.07997249012859224,0.02046562179551512,0.05674436051296272,-0.06690071421844922,-0.05754374155524205,0.07815930811659896,-0.007486455806736342,0.017895122283606953,-0.03442033789016296,0.05344906113639533,-0.05425177962001039,0.00958560423315828,-0.05265365858149374
GPC3,-0.03684168072988071,-0.049362441653892176,0.017668456387058305,-0.01701648950863648,-0.001343646785572012,0.06537090508346118,-0.036622389959540265,-0.0842400901076004,-0.01938122472509483,-0.015810352834024908,-0.021325650769115575,-0.026262234060867244,,-0.0327914815161421,0.00039809953326137924,0.08891217759692054,0.004586989540732484,0.04131283421032564,,0.028489511140115
OSTN,,,,,0.1451125901921832,-0.0061319826604247715,-0.012855571868624892,,-0.014860823176117328,-0.0019300130836845146,-0.029604662664109115,,,,,,-0.031748964633405534,,,-0.04985428268484521
GRN,-0.05464525201176752,0.024789005075749344,-0.008830837383004964,-0.008843107348087036,-0.002008526567980591,-0.04298267731982224,0.020814710749293426,-0.06806466687395459,-0.07703979291776057,0.011225902243313563,-0.06224176782262919,-0.02846736845580289,-0.08413775504326895,-0.01783994492127866,0.0681920435114622,-0.019787391911966795,0.013831094412466374,-0.04817447530098488,0.008618272083588969,0.08296716835927416
CALM1,0.0543957722601122,-0.016313837601665118,0.06685852314922967,-0.028571825156586846,0.06945767422194005,0.023249523053282733,0.09759896654905201,0.10116762714469613,0.03492201833760553,-0.023664096441811475,0.03497698829705927,0.10984719347997844,-0.08542882798333602,0.026310305701914817,0.00793175352003319,0.045816443332189184,-0.009023281656162603,0.05422108527205785,-0.011670301497762253,0.07342974665444049
ANGPTL4,-0.06138598221310729,0.03310972797789152,0.006953920874451305,-0.033533323499456424,0.03630981315939216,-0.005608198742320739,-0.00799710448182865,0.015131864919039903,0.026667837434776118,0.005211176754265388,0.003744138263680046,-0.023280587067895993,0.061828672466062835,-0.00905801780602551,0.05896486493025795,-0.03214785615259869,-0.01952685757093071,0.0036879951012372355,-0.08443413920900672,-0.02147093610193451
BMP8B,-0.0287732596130544,-0.022128935536148253,-0.04123880660144143,0.06342634515271449,-0.059363937244326016,-0.0034787055831914508,2.9349072807763246e-05,-0.09197426005965177,0.0027370354948040225,-0.01796189390565631,-0.01596724418032286,-0.050132360679313974,0.043645218760080415,0.01237838235871147,-0.008867772395878189,0.02623081812521072,0.045584447675169046,0.01925092364296959,-0.0060650697482946435,0.0058105127230935055
