,UKF248,UKF251,UKF296,UKF304,ZH1019inf,ZH8812bulk,ZH916bulk
DCN,0.03633901969325608,0.0447735246146432,0.005427874903003156,-0.06227686544304663,-0.034334161115080974,0.0893929902277466,-0.05194592781972739
RARRES2,-0.016099996667018498,-0.023392656729808236,-0.04608891595063925,-0.000784533435829618,0.01748358655823994,-0.008513520739110979,0.003962266094247276
SEMA4A,-0.060913327993209705,-0.0317164083147322,-0.0018482570884216943,-0.06207070016539986,-0.046363118083309514,-0.034619531123284676,0.04758984087368155
GDF11,0.055335468621201624,-0.027458186969308594,-0.021774384131932646,0.00985229429568757,-0.019618373665820695,0.042929446710748276,0.07566105486780172
GPC3,-0.033018927749727194,-0.024555637648744265,0.01698474550648775,-0.01826954356310366,-0.0244933527216338,0.10012131710507814,-0.03697647992278426
OSTN,,,0.011444382483134957,,,-0.018506056407681135,0.007971633032469005
GRN,-0.007857296257333292,-0.016722655313319706,-0.07278550914276295,-0.06329639678551753,0.04752322889487198,0.13127058122155463,-0.0498866252547438
CALM1,0.019351059986985438,0.02127569192943517,-0.03946931062453464,-0.039109321220154994,0.06100551238528438,-0.0848911338731804,0.07070555896879682
ANGPTL4,-0.05145010054084517,-0.05511960723428609,-0.03171533678447771,0.043456511363218535,0.03542066393211269,0.04991765835191474,-0.09728334603198725
BMP8B,-0.012653073952985492,0.029491655857123367,-0.010172363183250151,-0.05408765273726602,0.0892404089195067,0.009753754600577097,-0.015354604006808312
TNFSF4,0.13137547688075327,0.026187683027843335,0.06894112082686066,0.11078066312974115,-0.027969764987224033,0.10195217910125995,-0.013207749269278939
RBP4,-0.07122470245698098,0.042882653786899365,-0.05364502633654307,-0.050881953494624155,-0.04501063560786272,0.016300722163894395,0.0482620388757554
DKK3,-0.025577437402367786,-0.027087371123338835,-0.029027081002510034,-0.05371087029318569,0.08403661931951194,0.07514534182665923,0.04453142279220204
COL11A1,0.013712804763295772,-0.005917594385116705,0.028482050707482345,0.040829513622387986,0.055616351428743764,-0.02505380918980198,-0.0397505182977426
COL5A1,0.009864264158236859,0.01685001437349015,-0.021968385657221364,-0.0493523083777405,-0.09282350159849075,0.018115184918058497,-0.05556287572612669
KISS1,,0.022665844282117008,,,,,
MEGF10,-0.02577567204970328,-0.047945110974169224,-0.033938718595259355,0.019274088576810112,0.013094676469549467,0.02182191486407325,0.05572324239324978
CEACAM1,-0.01534064914285071,-0.01714421499030372,,,0.020422116665299864,0.009355263298673887,
EFEMP2,0.019321416196630643,-0.021101840332329737,-0.0024377075513544264,0.030926955001028926,0.052670874934646714,0.025254231315863514,-0.06075157986743853
IGF1,0.10008320465905018,0.01932902669615229,-0.009422351847445309,-0.05424335360634182,0.052050556696480545,0.0008419231020064695,-0.05165259953005423
COL6A3,-0.005745272836009992,-0.024096316739790312,0.02325561124372589,-0.05066822340339014,-0.014758404606789923,0.13920688404641415,-0.030902341007803542
RLN2,,-0.01649725531845224,-0.035292358490003964,-0.022390108679886004,,0.004483692946595389,0.029474776935675857
WIF1,-0.02272865715583109,,0.009395715061241736,-0.03960499645646044,,,-0.033904417115253715
PLAU,0.020872664295761716,0.006252858140162602,0.012838602235599178,-0.06026455478972072,-0.05426447107784227,0.052884049788413906,-0.024711129142799895
CXCL12,0.016819058056328426,0.083340933380818,-0.04549151216280078,-0.07635579283809273,-0.024157869471143435,-0.04100438946180761,-0.02711117971439454
MMP9,-9.615358044795998e-06,-0.015594996881155752,,-0.026447336105866318,0.05737684530557128,0.06074289707996052,-0.03153222972119516
TNFSF14,-0.01595107412828047,0.031240455443253583,-0.011490346092830313,0.05523222895926899,-0.013392149832299317,0.06110230632301496,0.07526032739347893
HBEGF,0.015473195111843259,0.05800291550831235,0.0042523690821589764,-0.03516043313114088,0.04725044685920789,0.03489609104863464,-0.10908408480546612
NUCB2,-0.030728268149932764,-0.013724954905825103,0.04481143459623183,-0.05198308690954773,0.02249427669020003,0.03130787014711396,-0.038378756579317864
VCAN,0.029884167292642504,0.015129299203812483,-0.04948821606153744,-0.023631870083697794,-0.004858474278126675,-0.006319234883227506,-0.04846311808722513
VEGFC,-0.007853918179699807,0.0035982134182523462,0.005825980680846572,-0.020097750378550768,0.12284976758643161,-0.027598883258250845,-0.0340991347780022
LMAN1,-0.01708613436392502,-0.00011943560689402249,0.008848259804192666,-0.04009794149538759,-0.09401264134493359,0.0223170263732734,-0.07818777761141345
IRAK4,0.021419148384816143,0.023153040973080602,0.009648137571735802,0.09766260900745875,0.0792234011081372,-0.03862431758614219,-0.054432133533269644
MICB,-0.023130701039082546,-0.03522656936036714,0.035949927754133686,0.022529591105831682,0.06915694475287339,0.06303101216516452,-0.04838306653115148
COL1A2,-0.04111352913912425,0.007190858534925087,-0.008050467337343584,-0.06329362295540973,-0.03316407499441485,0.11713910216779454,-0.04688160939982469
ICOSLG,-0.05492819248186223,0.03509630403884591,-0.01988717549439792,0.0256342043560874,-0.024532139454637846,0.024496698381938097,-0.01949382953620301
GNAS,0.027433713731914455,-0.0036558182113033385,-0.010076541765533463,-0.038377388193505106,-0.024495815021473286,0.059215932773169215,0.033273111686575665
C4B,,0.0513332563498133,,,,-0.02117664871921045,
COL2A1,-0.03649982120698272,,,,,,-0.022067615930879823
GSTM2,0.01865379801339647,0.025342007380705515,0.04737010219314261,-0.028288356419766902,-0.013105682674641822,0.015517651360081916,-0.04429029696495526
NLGN1,0.010152110975686138,-0.011470600781737898,-0.015134517255594972,-0.06081670362164753,0.03524215153865424,0.02162671856562954,-0.0356508438733694
SCGB3A2,-0.019547490705690965,,,,,,-0.01870528492869522
LEFTY2,-0.02176179198255122,-0.017354773815761358,-0.011490346092830313,-0.017289349803067407,-0.027717032179023257,0.07830114771952547,-0.015620686592562468
ACE,-0.010087974044456209,-0.018824231108418465,-0.015425377784432256,-0.04722876226593427,-0.03379309040917663,0.11728871260637895,0.04640920689972592
RPH3A,-0.004154611252728504,0.016241276369718366,0.019205918224014754,-0.00828291275691085,0.06777632191224749,-0.004129231463842668,0.04427806884616374
NCAM1,-0.05906835475069958,0.018905485730088666,-0.005592716591984356,0.09160586291226608,0.012887560153917786,-0.07179599918771166,0.034167747507690686
EFNB2,0.006143927689699311,-0.019998750588787983,0.017034754449558244,-0.034568116269540164,2.080073553001913e-05,0.02496635712487997,-0.047922778802468334
ICAM5,-0.032819541434377555,0.03567947657588442,-0.00376670886735515,-0.03292167039479815,,,-0.06917211415814423
CCL5,-0.02645936644389803,-0.02246752185217611,-0.03230363706588346,0.07810016105064085,-0.036234174991077825,0.06688178594589754,-0.038301077990222886
PSPN,0.053579895552118624,0.012164289637819934,0.0022323775031932226,-0.04097865915841822,-0.03937273564730519,0.034900766541299026,0.043876418676218
PENK,-0.0326861614458741,0.00609891625477812,-0.036146642898511425,-0.034578735967130673,,0.061863512652365026,0.027937404590660443
EGF,0.02225392235984131,-0.00985034438601769,-0.002209365444351707,-0.02485673171161425,-0.033906611900504924,0.00859470163839966,0.10831127299936119
UTS2B,-0.013356998609663297,0.05155099731247399,-0.014238237247777482,,,,
F10,,-0.022504355637010958,-0.011890604236584647,-0.023934259233409565,,-0.02191908712432283,0.021033054904801826
FN1,-0.02698295924222154,-0.024896261339722725,0.008423240938048634,-0.04644654857295211,-0.0300219050579075,0.09929850922476242,-0.055365830539427556
