,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017106948111880644,,,,,,,,,,0.012166379734666435,,-0.020753585466282125,
BMP1,0.013737330077936967,-0.04030152531451425,0.019485738311792632,0.03261440986987501,0.023143008556031092,-0.0012350242963348004,0.07563880030133466,0.03846258182006515,0.02628654649924413,-0.007107075775844442,0.007798137922016045,0.047849108684527235,-0.0429827910755419,0.03484565955000374,0.0126129410117113,-0.03952400069621117,0.05991456207998156,-0.02292016996335519,-0.028696587361287898,0.10315308817969643
NDP,-0.019221253600162292,-0.04556627020659922,0.020682838873949536,0.01850431026586641,0.06270868524111654,0.0207058053221253,0.0158689202849501,0.030886481656248528,0.03298550700843989,-0.03219109960858773,-0.016370882443143223,0.005539227931317353,-0.04190812705968693,0.046567811654095556,-0.03744647403323394,0.0654655851893828,0.05646599335608771,-0.09875364057079243,0.09627143736901206,0.0017699110822569125
TNFSF18,-0.01898585621235091,-0.024830497843100936,-0.0049913342635701475,,,-0.013800787930681695,-0.009776131858377564,-0.016401181003842684,,,,-0.027738332629365967,,-0.05237698915013582,,,-0.018092163586960985,,-0.010598678660743578,-0.03415809934616697
IL36G,,,,,,,,,,,-0.019986682225645393,,,,,,,,,
RTN4,0.10727900804970587,0.06859232970974449,-0.009283124824625632,0.025791360233230802,0.04092971300880947,0.04605382460619996,-0.06486159537900754,-0.012161767834289228,0.0006974975873016087,-0.003870429604021649,0.00949382759948495,-0.014825996422389846,0.008861425594585613,0.019456285195556575,0.036215374888675746,-0.028395312411063193,-0.1303751045416229,0.05743537790424985,0.009312890140281539,-0.05114646859628339
HEBP1,-0.0018155753920897652,-0.0003640156240538317,-0.0115451458812116,-0.051383455648913286,-0.04994240697775333,-0.011114834947417704,0.05825731756602636,-0.06347316455744399,-0.01496227762209513,-0.03873453447774039,-0.013832154857699595,0.015411588813995559,0.04232957072076838,0.003087874927347686,-0.0022419345437487614,-0.015120997551468843,0.08967955209182785,0.09393517000979137,0.06372385729814038,0.06364619048916045
WNT7B,0.11777116452959197,-0.036746413163789335,0.053918860845131956,0.04084488753445541,0.03287803852512391,0.053368987232604734,-0.03652308809570505,-0.01683625750475043,0.09015722838070721,,0.025226441238866887,-0.006676509424131702,0.09255292279256712,,-0.035377414848327765,-0.03289608142926979,-0.011893947806746751,0.013823878240009592,-0.00597060350493448,0.13985754658850702
PTMA,-0.02507803947844907,-0.01594443171121442,0.04315717630512287,-0.032822905461563905,-0.05897205888382526,-0.051504491133848064,-0.07575329419331585,-0.02319097285967714,0.03067062503625461,-0.04768951275372755,-0.0005977192674258647,0.021708289602663782,0.03622682616947855,-0.053367926617823906,-0.027193949247593288,-0.04617223205064769,-0.11457523433476047,-0.05456022892135172,-0.03560073198897654,0.105643444571059
FASLG,,,,,,,,,,,,,,,,,,,-0.017999577594718496,
CEACAM1,,-0.015803931380032228,-0.013691702057569841,0.0666817231255571,-0.015610029403326205,,0.00262939642497063,-0.025795150399475546,,,,,0.013133677130235777,-0.0368299125003754,0.06576953255526383,0.02598212373533361,-0.007110323170707969,-0.01793007749822078,-0.02504376856630605,
PDAP1,0.030766069596602146,0.02256272935380488,0.0062545108952115295,0.0018785949091126937,-0.0059866353972893305,0.04271311653402204,0.05580170202858214,0.02100471299730211,-0.005143507915822311,-0.052116168231713236,-0.010928103037569392,0.06009293434559595,0.014879208479604625,0.0023725667215418267,0.004370042127479844,-0.016462359485302377,0.040955946614846986,-0.04874754340182981,-0.020745158719991243,0.05623498430661047
QDPR,0.04376878133936715,0.022556391160061005,0.03507060069998541,-0.02710499897743811,0.10706039556418312,-0.07567894956038662,-0.0643860084708487,0.0478548291218979,-0.001249037699506756,-0.04127884545927228,0.02838147450994657,-0.07267644047182142,-0.03298639489535798,-0.0136279197077662,0.005310115235169355,0.0624826443930294,-0.11211627650217343,0.0024295526893260287,0.05365508944615808,-0.07821646463610459
POMC,0.0646610645153986,0.013356534108776134,-0.01055055597134334,0.04502197771138322,0.06316298058340648,0.05387265941892391,0.0010210430840370043,-0.0190306334620164,-0.01978879036725604,-0.03792649132575493,0.05312136784364205,-0.0747539034461305,-0.05789153735091683,0.03863829824796278,-0.008608330808911671,-0.0022620053762246006,0.07000108651575059,-0.0025856621984809928,0.03172715075515065,0.017711553418008855
