,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.0316567647603758,,,,,,,,,-0.01731273677686955,,,-0.028301770219150396,
BMP1,0.0032611914408977346,-0.012947656045564845,-0.02197597924132723,0.03913000961069504,0.016807600581731565,-0.07200432729123853,0.01939290400809847,0.048504981771461786,0.00837508148239364,-0.025806814746064295,0.021197271459430667,-0.04973043585365918,0.14748126028197747,0.05175784331018036,-0.016852974137974215,0.039951959532407495,0.10836248065094128,0.03612379748558449,0.03322042226260372,0.036481480816097756,-0.09025479967707517,0.08356911418161245
NDP,-0.013633847024571115,0.009954915753253551,0.0034384596228202316,-0.050479346307861064,0.03273146612675302,-0.027421732295316574,-0.010523942849700327,0.009622968982497726,-0.009398594627237892,0.011890741297788002,-0.015330764645146674,0.07996967541592491,0.0146855228540004,0.049048106834695765,0.04942804861329871,0.0170789650705367,0.018217341633326625,0.03603207536506186,0.03520941200939343,0.010046158892973275,0.03672378446807693,0.030163299301578666
TNFSF18,-0.018128368374248294,-0.025165630746696248,-0.015537531670733774,-0.03570016122776664,,,,-0.01917867556560787,-0.04700934530703716,0.008675790628991839,,,,0.12009003296934358,,,,-0.0178543198502358,,0.029638266218766664,0.0154616795669864,0.03996741303994839
IL36G,,,,,,,,,,,,,0.01681884945177312,,,,,,,,,
RTN4,0.016249071626239057,-0.03238520477060637,-0.03744327627159766,-0.022746460679859384,0.12830403856592562,-0.015414717250294219,0.02190846234692273,0.03548442550485759,0.024117154981436968,0.003531291334014618,0.04379189715105358,0.020487111633089226,-0.10614836631398378,-0.07896126723714587,0.005966351720563541,-0.0828456378686218,-0.04877514678180193,-0.05354121903056057,0.04287270115039741,-0.061581269407194925,-0.01715362456987443,-0.15680254220822581
HEBP1,-0.03073750773609355,-0.02918356208536822,-0.015759622053555543,-0.02516092268998729,0.0719644996489842,-0.012954872422352444,-0.02223523083218207,-0.04017847694962783,-0.00466836836946849,0.019845678088481623,-0.0032099115570629485,0.06788831283382894,-0.023130133633860066,0.06086396761197502,0.06798667297683489,0.010869366659401747,0.004897923575624,0.08893249907676476,-0.006543600802220889,0.08628309592946656,0.07897456639077002,0.007265043710707368
WNT7B,-0.015970524741426025,-0.040910463669858475,0.027969336138043564,0.006927288401322747,0.01761380709844144,-0.002354748278910095,-0.03933810401260901,0.03408136257321176,0.04278848578298462,0.006178209139438508,0.002014196917266963,,0.027421627980467267,-0.032362137853855465,-0.047154657464540894,-0.01770711667927037,0.06893959263319757,-0.037334827183735764,0.01435741229473578,-0.03410682400952024,-0.03951300888962495,0.034485617361801335
PTMA,-0.009542693815977096,0.03383865534985607,-0.0994239825112759,0.039489288694819095,-0.016971180548901097,0.0015922239735028094,0.06168590562823428,-0.050254801683947053,0.04300807127330146,0.03509114480951928,-0.008625539655330142,-0.06900188759890133,0.14148155184248926,0.026063471900025528,-0.08833133750798264,-0.018980683486124864,-0.0268838070859771,-0.06861037867189305,0.0418325132175669,0.010910646644406297,-0.12770195440100188,0.090393493120127
FASLG,-0.015970529256252457,,,,,,,,,,,,,,,,,,,,-0.02454611565578071,
CEACAM1,-0.0017310761157624589,,-0.040024820848867756,-0.017018618420137566,,-0.002299430569864951,-0.01959943226561933,,-0.020165884806871225,0.011816992985653033,,,,,0.10249426306001559,-0.0253087488914568,0.0008260398536429325,0.014421858903575797,-0.01002600312958539,,-0.008465077519580337,
PDAP1,0.06362435976605663,-0.018840343379752888,0.032424164537541995,0.023447081812644082,0.06897931468242466,0.06537134616880405,0.030560756913847766,0.010724569877203561,0.038937246417582796,-0.008522914265432134,-0.024121487117952357,-0.011561440405891252,0.04490300236251482,0.04444900428997212,-0.006957142729214866,-0.023381382505219594,-0.029127785125005114,0.06003305450846773,0.006481964787835841,-0.04860202265637189,0.03663305839212034,0.05128690503880812
QDPR,-0.0007933863914312492,0.01472416345695423,0.0352001709277635,-0.03230350363119326,-0.04811167430975362,0.03637138945463558,-0.021320079059025384,-0.015942909316647408,-0.09120819140468273,-0.009039143423214742,0.08022108860184764,-0.040191514031010504,-0.08445721881593343,0.04066993164704,-0.0373223670221547,0.05083851893378819,-0.0013622282564700783,0.026953885873335148,-0.006198015006893749,-0.005446518024006747,0.00010560596578513291,-0.08643459142696557
POMC,-0.022407186728166953,-0.0487634007892695,-0.09380861850824501,0.013152749654702402,,0.0001702985479062976,0.017079547201093864,0.04975420436588984,0.011653382538447365,-0.016672446698723347,-0.016452403364385394,-0.05783037074195901,0.01950751420406674,0.10639207788790322,-0.06694879933360261,0.008588132370447319,0.06716272354059083,0.0033551197560696367,-0.022205428042856693,,0.044425343154014856,-0.017831582869019542
CCL18,,0.04246233027850787,-0.040424408796396666,,,,,,,,,-0.05334974921783275,,,-0.04971786666269565,-0.06040796006254709,-0.006045036220892687,,0.019106198680337305,,,
CCL17,,,,,,-0.02375667414032736,,,,-0.0026887324163290005,0.04521396349552901,,0.034711904505239956,,,0.008205887135849046,0.11061406237183348,0.1323664815710703,,,-0.022248296831608744,
VEGFD,,-0.00273800798010252,-0.03694218565393687,-0.024375756452221262,,0.041484031478567204,-0.01875162710798126,,0.014287693997438762,0.027350755578272205,-0.02095308877973182,0.08393057990573759,0.0323656987210938,,-0.05601273432657966,,-0.02810503200941576,0.019844427638517775,,,,
TNFSF13,,,-0.014624878425838126,,,-0.01638682213193058,,0.021042604820115638,,,,,,,,0.08343048088364671,-0.014769671184594128,-0.02447776510497649,0.024420305767624544,,-0.03625174269722319,-0.051957090221401644
WNT5A,0.05602148410256854,0.03303848685754438,0.04587928963307499,-0.006218858635886806,0.02256050425053539,-0.0015029399614401942,-0.015056796630731067,-0.012321761182499827,0.001097527989989845,0.05050409524826967,-0.04882818254720313,-0.031013208768058336,0.019965730015817338,0.008729666012524359,0.1542064992032918,-0.00081100058476402,0.04713567320991071,0.0447150635460066,-0.01889962933468285,-0.047348768988933324,0.0072285123068814156,0.030624906483408317
