,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.04996353169301701,,,,,,,,,,,
BMP1,0.04362994648697215,0.0209162810301426,0.001491007322865846,-0.02504145899214166,0.0381824490731689,-0.0653882388747353,-0.036201371589232784,-0.34882338639549193,-0.09512624674805426,-0.11661738281574584,-0.020035668316392367,-0.19526640441588544,0.0793802960920787,-0.020886305836460433,-0.00929068248630814,-0.07751061137432597,-0.006578339976133876,-0.03638815080622084,0.08721674098499355
NDP,0.0069176596675020316,0.044348071724083435,-0.00782793210484549,0.06512071577297034,-0.013205135654638819,0.1524976528237507,0.054282793241950525,-0.12299806173799252,0.04078331983730068,-0.008199284692676277,0.006438958969932121,-0.059652485425743085,0.1130174791225751,0.06147994755413335,-0.016003424644694474,-0.00938058075364282,-0.11313594686688817,0.03030193578194702,0.061459485847475716
TNFSF18,-0.03292737357288319,0.016993007718150297,-0.03090858064164083,,,,-0.018893781520380435,-0.07419434461780577,0.002555166227677189,,,,,,,,0.037570823343099614,-0.02479375908098628,
IL36G,,,,,,,,,,,,-0.03128312688948293,,,,,,,
RTN4,0.2166665294832836,0.036885732753532706,0.011170578786868326,0.07826263079749222,0.06719225821574593,0.17629496483722024,0.15440781604609624,0.4839912455128713,0.15715912232995508,0.1083406010857475,0.2550118259720214,0.29166340435989163,0.02829232312631702,0.016081683308160608,-0.0017236179896028313,0.07236017033958618,-0.01146959881623992,0.2378348529506407,0.051965286232630074
HEBP1,-0.032905520319971716,-0.05396728589552332,0.06850730883577583,0.003920889392327684,0.012185934064619649,-0.008026835134533915,-0.0865629867996875,-0.215515883556649,0.021451260816375235,-0.04118858337680002,-0.065035003988424,-0.0066519680909848675,-0.050961329414716074,-0.023791355911762825,0.015568221509758241,-0.02815547100335441,-0.0013735988333347712,-0.03191045902811115,0.00619168785709773
WNT7B,0.3267639755758431,0.042737626704595355,-0.019199452167022388,-0.034398320715094945,-0.0325734118452482,0.04215307826497714,0.11456450589237177,0.35452938344460405,0.0007686568403976016,0.08367439726780321,,0.088370416542254,0.12954275527842563,0.08380349507258068,0.009004154800632502,0.05030569576533876,0.04256453305827288,-0.023249848188338827,0.03496196257610994
PTMA,-0.061586633945867414,0.016356294823034565,-0.040439368724065915,-0.01985221537695473,-0.07371305743320725,-0.20097335474088177,-0.16598201230827767,0.07366580882553513,0.03580604069638893,-0.06806872670876314,-0.32451999556989036,-0.29222682024744445,-0.19631851626525884,-0.03791814762303403,0.026092457216652685,-0.03775616641693716,-0.06884244472677536,-0.121068755295144,-0.13758146777790184
CEACAM1,,-0.019836470700077553,-0.014734424768900219,,0.019224560141992128,-0.03726066247726154,,-0.08207165937881496,0.028700216648876547,,,,-0.048921731431381205,-0.0026123067688616523,-0.0001132210934325567,0.0681704313258328,,,
PDAP1,-0.04231973601760056,0.04576011818042453,-0.006339981572687425,-0.005545618688942267,-0.01563743921616927,-0.12646479240263966,-0.04700108373385562,-0.2145924853284309,0.003823898683856217,0.008166560742429907,0.08499889372542281,-0.1406419065428075,-0.040437084881783665,-0.00019908321533041105,-0.006705149185004295,-0.0019415016114293355,-0.06764303960558829,-0.01111423915000895,0.05154848949608103
