,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,-0.023331106017983834,,,0.025808972507805786,,
BMP1,0.02441939030099837,-0.02434382352672613,-0.007137467043483897,-0.0304305875183837,0.0011017125197088403,0.043039319284124994,-0.0028179249512624875,0.018462271776727976,0.011456292481381455,0.0336102791898516,0.05513177501352804,-0.021811063287725106,0.051790333851339576,0.05630758291783706,-0.021130109909073012,-0.03797177012399887,0.070656720047871
NDP,0.02794578625506128,0.05413469296008994,0.0049489498152432716,-0.03370816423489297,0.05405052436632946,0.029190277139226093,0.0616061125001772,-0.0026406414826924598,0.04763396089392154,0.07054962414231969,0.012818055048315397,0.03231930081993009,0.04917356951372131,0.02701307839100364,0.09132699402354547,0.06720183005724813,-0.07275400009461724
TNFSF18,0.00858496198363114,-0.031230430687874303,0.0036790652222046926,,,-0.01893053477955955,-0.007489419640182416,,,,,-0.02406095781814147,,-0.012038421082014127,-0.005109668497360147,0.05209258721791652,
IL36G,,,,,,,,,,-0.010374005070187374,,,,,,,
RTN4,0.023095768434997176,0.028780383330505657,-0.012949892658003972,0.0031649046271746985,-0.019555924646534825,0.004068079478345127,0.018460388758428096,-0.01155580175382507,0.03697574853326989,-0.0024393058524679614,-0.014609512913944052,0.03787309161009237,-0.07375047676707006,0.04051703759009441,0.00447939665208294,-0.07462482264984535,0.015871094102720924
HEBP1,-0.012998242800191065,0.0005097879311692018,0.034768893099783704,0.0031330619553533927,-0.012349649049485167,0.04791594441577943,0.018501938885690072,0.02450824816331207,0.0013686647879248993,0.026468439717995246,-0.007286336158575051,-0.0374869049603861,-0.06236696973259079,0.04990224659327569,0.0466691061547366,0.023906383076518253,0.04134242402534572
WNT7B,-0.022240877893721204,0.06014545393287395,-0.021346574986657055,0.0241400517184728,0.018670310748331514,0.03158419541973592,-0.02547257742849273,-0.0009438183400470415,,-0.02674585212048321,0.06238442393829809,0.04475101734748355,-0.020366671197185545,0.013683403847154503,-0.04057563308608543,-0.047338909407087675,0.04858745596876123
PTMA,0.03658302534271013,-0.03871531060945412,-0.029206818073150904,-0.038191373819048954,0.0356687754647609,0.01818788498939372,-0.008856814981184324,0.02522921770779631,0.012566438878814059,0.0023581481987196163,-0.03687269436806713,0.08982731392932888,0.06816617198907901,0.057938896196143015,-0.06945813675453315,-0.05013493429539,0.035091307387284866
FASLG,,,,,,,,,,,,,,,0.009104276416051415,,
