,UKF248,UKF259,UKF266,UKF269,UKF304,ZH1019T1,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.020560844562445068,,,-0.02111010294978847,0.03325354816351999,
BMP1,0.019091281290352195,0.011443936289609984,-0.014186985526254246,0.03536532355483746,0.008326889238247126,0.08075724261262232,-0.07910251033709699,0.038200479101885274,0.003010232571906297
NDP,0.030682231207654054,-0.0516626268315948,-0.006358792748307367,0.003176253344590726,0.010985633428192703,0.11743957425375894,-0.008657824761342369,0.009100707621495072,0.015650215199905962
TNFSF18,0.027373415365284506,,-0.01597625260161934,-0.03053223692176255,,-0.04723472382276898,-0.021770476556917943,0.06346956963592575,-0.033635490363734144
RTN4,-0.027528595407876937,0.06612796144472702,0.0361535032510345,-0.07273588608467328,0.11494767901215973,-0.019183481993872775,0.09055145225080019,-0.018100679822008,0.015588138622144148
HEBP1,0.01743978572307106,-0.05262612759486197,-0.005171687396573936,0.03197505639411673,-0.061601250964377074,0.04756350883106593,0.026441213624517186,0.028675312468775676,0.03700167715260646
WNT7B,0.0035146823778146137,0.003960652269229646,0.0057379407290472275,-0.04192217672059957,,,-0.045523827666242224,0.013164164842155355,0.10947775678190745
PTMA,0.06966208464021541,-0.019196302895738048,-0.038429816932063876,0.017984265403999788,-0.12291937858283287,-0.052110325953699646,0.09041462365722934,0.029496717927690316,0.010775462714210806
FASLG,,,,,,,,-0.014443461413019153,
CEACAM1,0.048187094200435675,-0.004462780298481611,,-0.020527804105206823,,-0.03321402725890494,0.0507587829963283,-0.02009595519786866,
PDAP1,0.05214583809275683,-0.008897856542573775,-0.04047103838371664,0.05746400560849484,-0.007652660269108758,0.025495053931500967,-0.03225819356197891,-0.006774325821694918,0.0031282999392480844
QDPR,-0.011290825811199034,-0.008750759686828336,0.05162074733321754,-0.02683122753124704,-0.08384908085916136,-0.050475257181224045,0.07666604605225666,-0.014580168519535282,-0.027006021223786484
POMC,-0.022023998296189132,0.05329769679284288,0.02903181381537279,-0.006060026551681726,0.06228878983891131,0.02198028013196126,-0.04099694685032664,0.04027095130350309,0.012893806866972966
CCL18,-0.024574382680103323,,,,-0.035408790471656376,,,,
CCL17,,0.0757547336054196,,,,,-0.027832451313796004,-0.01309137548682004,
VEGFD,-0.024574390483620815,-0.020527228020262328,,-0.011575856903452302,-0.021300078832940623,-0.045153742212006895,0.006118130423295575,,
TNFSF13,-0.018544623646505175,-0.012708993738619471,-0.015493632189272844,,,,-0.01163002455960082,0.057991209051585044,-0.03659061575995231
WNT5A,-0.023367185237687688,0.048921332775442666,-0.024206176298212458,0.0366748681415639,0.09021109897760522,0.013945571402471947,-0.05735231629010767,0.053850100536191735,-0.013221376706298985
CXCL8,-0.037835377457152,0.048320620228979684,-0.022038686885339748,-0.02665907989755728,-0.036292218218769545,-0.09851590052492053,0.01275759569069215,-0.03813696051675853,-0.03351475713902305
GRN,0.03188553758018521,0.0370717630172028,-0.06092774367720145,0.043032914326939245,-0.10573802502424667,0.04158335421661067,-0.02348358943102495,0.0348290789949588,0.01032045259386381
MIA,-0.04896066436648707,-0.03879638361880482,0.026081798365079754,0.018042721971305915,,0.05015635339908911,0.07691643546080104,0.013942644538255358,-0.014002367220511966
COL4A4,0.017615355198237075,0.005164578307302111,-0.014741506512979868,0.01766442403142593,,-0.035356269420250205,0.0753597093519114,0.14365287019850445,0.06071967416619048
TAC1,-0.02544157712626774,0.02631655865993064,0.06190161478477567,-0.03933274763526855,0.0672518716842442,,,0.10491861029739974,0.0671149302007508
RARRES2,0.03682731211486953,-0.051541412170837846,-0.036711182441449025,0.03728403415687718,0.03586263711076221,-0.12143344912229243,-0.0036112833184540403,0.01582372569301127,-0.011631178242903502
