,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,,,,-0.019085623756259912,,-0.026703425919462537,
BMP1,0.0063537505179228045,0.13541020829133055,-0.027340373039392882,-0.0006940337590730468,0.03759908072948523,0.03565120288665553,0.00931921266876253,-0.026116751431519505,0.025078917678789347,-0.037949626418699416,-0.011354170530764629,0.049942024502929734,-0.046245949254089,-0.03922295564182044,-0.057716338366353453,0.10635761481419985,0.0058867070221053875,-0.04425329336963798,0.0499527719909393,-0.03227466023643754,0.060953550852363814,0.028668772435536245
NDP,-0.017816503088338796,0.08971689997801878,-0.12490458126522998,0.03683260743668853,0.037402510664995066,-0.005005416288218806,0.08519593451122359,0.03791946843401924,0.001265654616485291,0.020529935769249642,-0.0037267024401492245,-0.014330263899836205,0.07503763146334329,0.08966453937053764,-0.06221670480433138,0.016540212215464065,-0.007862495532803833,0.08325662010150645,-0.04474588770926915,0.02779275385877885,0.042312725391764776,0.07498310516586128
TNFSF18,0.016853285273231045,-0.02181208549573401,0.08270505755454512,-0.037760827810189856,,,,-0.013633038280851448,-0.011674764661574738,,,,,-0.041805007119060836,-0.0667201969558615,,,,-0.019682666898788198,,0.052589244898737744,0.08035801051266424
IL36G,,,,,,,,,,,,,-0.016140239957270843,,,,,,,,,
RTN4,-0.10094679888380412,-0.025974437071625202,0.01571180982991645,0.006090857048794191,0.04271487563671205,0.03099070889260553,0.02925127521924785,0.05788642886516989,-0.003234582946475573,-0.056632904551545855,0.0020293221010699437,-0.04652771102628235,0.0637299927592511,-0.0016087137989709978,0.11778734523026883,0.07142767685486956,-0.0268606433692807,-0.031387666121499076,-0.05849243213788235,-0.009614107348637196,0.03596114703845464,-0.09168094680201372
HEBP1,0.0007639583316193549,0.0037053395935773086,0.01860681640373191,-0.022248338008230818,0.02359282312669725,-0.04276464276309127,0.016606514592568403,0.03645262336738594,0.03521754282559186,-9.041959626673988e-05,0.01843955777665272,0.022997138211203767,-0.022957927824172344,0.0036167098834204406,-0.022436774331997242,-0.01297219077648646,0.051105801176597285,0.0024429471430828928,-0.029133801261083198,-0.05026728253839721,0.06384587249331068,0.008812092194914776
WNT7B,-0.009525488378223477,0.03317570578363664,0.05169490797949558,0.004303734570433413,-0.0348453325502421,0.02227367262978621,0.0612590520985521,-0.01157518282649237,0.003724431271492105,-0.013333401414620373,,0.003795182486506732,-0.01773998373688136,-0.04602323244323178,,-0.03318915259115997,-0.013028266521657261,0.059022373804338786,-0.041158048771686405,0.01759760886450938,-0.011877495691282974,0.13555327701587622
PTMA,0.04678483308790916,-0.15579694895759733,-0.03146306221499343,0.006699915063882001,0.04048344332517151,0.01939672411075208,-0.015257104246566313,0.014234113715966069,0.014410093851134459,0.08646038550988658,0.07425568971202394,0.1334698451112092,-0.06172564716102479,0.03429075179989031,0.03400475804911401,-0.029948004811379544,-0.08725720490785098,0.00960805811379328,0.02087816578343926,0.04650525705904032,-0.055335428909167844,-0.08695685888935335
FASLG,-0.026936094205611247,,,,,,,,,,,,,,,,,,,,-0.023159872189944464,
CEACAM1,-0.012598352244986904,,0.01854490547016797,-0.01800095847271171,,-0.025242571528984084,-0.01456208686720011,,-0.00262780557327079,,,,,,0.04240046518643335,0.13950272326720295,0.05196534387362601,-0.023340006422108074,0.04115580127476431,-0.01351765766452986,-0.019248097548236538,
PDAP1,0.0074456133933235935,0.010733247255655887,0.014336651779698282,0.024522795577290337,-0.01759776405425573,0.021240693185168105,-0.02792403270583851,-0.01761396433243651,0.03049428828252197,0.038121115478810794,0.07354502051037011,0.044150000416580314,-0.026359719570516662,0.005124017012541462,-0.0679413685664812,-0.055813271185697774,-0.03757778244644956,-0.06135200308583267,0.013254216833850769,0.056384315144327686,-0.0034185264762967432,0.014869080270279013
QDPR,-0.09135176406652935,0.03396565486771508,-0.03013041010932067,0.008571590179718307,0.04055841907810665,-0.014158704729671599,0.02791951749354298,-0.01347402635519012,-0.03740696108381724,0.00030375929280766664,0.04984237214656667,0.06448724577745664,0.023077822981574743,0.08785676703741145,-0.02505414863930735,-0.02808888896231422,0.04433617555428477,0.06380548461472066,-0.02800004991028935,0.05937690578116528,0.048779300663488775,0.003774541981436599
POMC,-0.04022085274875201,0.03227373764349499,-0.044358038876450165,-0.011888489952338342,,0.002748898546224358,0.037518432678613135,0.05054470627256124,-0.013546473694648937,0.07277841976840499,0.018049107384164043,0.011274177358301642,-0.0147200407276147,-0.009275602478412267,0.15551717076036048,-0.0075597689247276275,-0.053171257325915176,0.074975180306417,0.1292236174337303,0.04797987870410695,0.043682818813584816,0.035535988864091074
CCL18,,-0.009577351586853163,0.033461847778355605,,,,,,,,0.03691969881508227,0.14956288252708805,,,,-0.021103565001360795,0.09262677752489573,0.00652345150781246,,0.005717112876235319,,
CCL17,,,,,,0.013079724409588128,,,-0.01456070453984554,-0.01650301322610816,,,-0.01474456742222394,,,,-0.023050107860387647,-0.03369276454270324,0.013882849350300371,,0.019695559413313288,
VEGFD,,0.038347413008141845,0.021630095861671406,0.027005853645028912,,-0.01432053189841795,0.011709510435709595,,0.01922272180661521,-0.012105159779312022,-0.02241637951516321,0.24767974923505667,-0.015802209594849553,,-0.03345209471223922,,,0.11573127162927237,0.04825025405723279,,,
TNFSF13,,,-0.002435243698700832,,,-0.0198554257511526,,-0.013221203120209756,,,,,,,,,0.015129959839082772,0.011174104174879958,0.009605480643769995,-0.015179423569579693,0.016773972367529952,0.1236732269421013
WNT5A,0.01130904384309425,-0.011282734783498926,0.04270257973456637,0.013717689928555552,0.0851907151599721,-0.012731426372698765,0.05456181513523031,-0.020773151796492532,-0.022582203754449966,0.015575178106351891,0.01546296018263242,0.014801833628664345,0.023871193629282753,0.06059533566276988,0.02688687106126957,0.021515521490606072,0.015268228315893898,-0.009241156649047162,0.045899591148482244,-0.008375221225731552,0.013072886719912226,-0.026459069123467474
CXCL8,,-0.13726748308211623,0.023719117191062,-0.02414144966741635,-0.06459973808013869,0.0657189049741658,-0.04156948103704826,-0.01880630392242807,0.042066747339654764,-0.011272851136341204,-0.04008813413371884,0.058946525038460526,-0.03313782058375386,,-0.048352180154820706,-0.037156148798402046,-0.020526332714819916,-0.12479589041668401,0.0062731671210168,-0.030949847478967164,0.0018979031125314258,-0.009961465745536573
GRN,-0.0495152001855025,0.037949768196002244,0.028324781936550976,0.0007178871516299217,0.023422529220557344,-0.01586132039332877,0.025717999425044782,0.020099627400042328,-0.004355159382354431,-0.028375998933855635,0.0067441768473160335,0.020272299198811447,0.028491330260147312,0.01811752099121792,-0.03651914984879032,0.05219452263584087,-0.0430651718320726,-0.04379767348658815,0.01594558063310975,0.02072957665592368,0.02791902293264114,-0.007070652569468394
MIA,0.0215535560667439,-0.005918714984235874,-0.0508069980869511,-0.008328447761846844,-0.03415259289020488,0.012751346050296012,0.00208095962563639,-0.00746694018262489,-0.02861925738073749,0.06834223508898525,,-0.03519665252576157,-0.021641850216858775,0.14742282769961856,-0.0017673927966360852,0.0007024579233157615,0.057840356358793144,0.11794830471401503,0.021226316174191164,-0.030952827492112332,0.007567953639767155,-0.014442188442856638
COL4A4,-0.0005675725476787999,0.08610470681770993,-0.04351126939903622,-0.029755156441075438,-0.019691509772139664,-0.0031697464172468237,0.050052316895839756,-0.012579390650627614,-0.015201826028453276,0.027858048153861593,,,0.010692086850347164,,0.08343263726182339,-0.026681500039644628,-0.016117279013683088,0.007644158847427732,0.04140239065775695,0.031079646383513543,0.0005379041945636848,0.10261840148344975
TAC1,-0.026936079550790703,-0.04155312052152777,0.024420954707866028,-0.012570652122352177,0.0522141609844266,-0.004589641267569054,-0.02487254161171087,0.06133401158960298,0.015209914843460093,-0.03780853166101851,0.07224759849309044,,0.02120060797078318,,,,,,,-0.02332181041532054,0.09249554684710633,-0.0024523402359881603
RARRES2,0.0633763147379626,0.017693143227588474,0.03510952592899761,0.01479682016023433,-0.037366817471295694,-0.0062997164798026094,-0.04255635991957842,0.005477014236147947,-0.008752847655367518,-0.006269138537059778,-0.011229363162107353,-0.07256684541603682,-0.026260869807748187,-0.014754042434025458,0.06072321987465471,-0.043949205405422714,-0.002026315727368234,-0.03736513686811461,-0.010167891725485906,0.019228356071963663,-0.027529441999781013,0.044958550062855575
FGF7,-0.05312168090484493,-0.017506967519712195,,0.0951933331600669,0.08614236802828354,0.0007305967193585568,-0.02667607328418973,0.008109765797962411,0.030062725824500963,-0.021103333365094522,0.017181773653233683,-6.94554044959094e-05,-0.024613989495195093,-0.030934935314827418,0.04163367867698513,-0.013777744691982823,0.05502202870381963,0.004698410969499608,0.04431337468438679,-0.008735191878015025,0.04668940306047957,0.05969975187990561
EFNA2,,,,,,,,,,,,,,,,,,-0.022183114119162618,,,,
HBEGF,0.04646837982667138,0.0740451087245836,0.05773808687479465,0.02309357890762324,0.06814858684215876,0.06906933900275247,0.004444488848603414,-0.029906362177404413,0.04391220646205416,0.05570111152676155,0.005985980813396569,0.08409649268267144,0.00805564778662815,-0.03904535574670434,-0.0244167587631807,-0.014081580435201652,0.050943900460422596,-0.02244630720899683,0.012933730723042311,0.016779876546996968,0.000607731203884568,-0.021345772218880576
CSF3,,-0.03317818301554339,,,0.062274728873656336,0.0684869470699804,-0.04641835323573768,,,,,-0.038989564921776715,,,,,-0.026872946157128947,-0.06691069607710952,,0.0570448491377759,0.07425004093093762,-0.03895616274671892
