,MGH258,UKF243,UKF259,UKF269,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.035155298128523464,,,-0.015471715879038039,
BMP1,0.06765350568498019,-0.07462813217767443,-0.006578623966716352,0.03133183005599533,0.09256458305235599,-0.07909173915662739,-0.030053657796310522,0.036953764970218454
NDP,0.034130478877132324,-0.021730308899876014,-0.05851896473218915,0.01909396010441219,-0.009530649602295943,0.0059066002031641345,0.06300952710233827,0.0010048842697772903
TNFSF18,-8.716938001203974e-06,-0.023106330268686564,,0.012204964866390187,-0.05505943760550251,,0.04128486971061413,-0.03146930327413383
RTN4,0.02561896840552971,-0.004033228753511966,-0.06438437596102282,-0.02830412974361332,0.04017738616610751,0.020298636403422554,-0.045076911131648995,-0.0992609725735151
HEBP1,-0.060362507854523254,0.0032145748340885673,0.06178510444881207,0.03438620154752504,-0.011135257774712082,-0.0046356979862263725,0.03351076447758608,-0.0647689735586551
WNT7B,-0.019303091792748132,-0.03117226892697014,0.015893209128846054,0.04392246823191885,,0.039314123329793414,0.005632127774106264,0.15160932552795917
PTMA,-0.005498871007238344,0.10793434285596562,0.047966198740764035,-0.06897067318591589,-0.0788683870880278,0.009128825527083414,-0.040877069046018594,0.07703749752092219
FASLG,0.029280884060062625,,,,,,-0.013418613903637551,
CEACAM1,-0.026802519465853745,,-0.009370284591224127,0.007499963320370829,-0.014393711390072058,-0.01603498306079712,-0.01867003041126483,
PDAP1,0.0318880818751801,-0.008811597146647119,-0.07032255529682159,0.09662019898579727,0.022650907969255993,-0.026733108705352976,0.03237677872074714,0.0326817920384177
QDPR,-0.06386742523489998,-0.01386009024084153,-0.01664476189294091,-0.0735575105407503,-0.01608683681527178,0.027139411652498176,0.022337512930277515,-0.0933824080585818
POMC,-0.038050029015617465,0.015192754871885273,-0.03322229784597372,0.021360178564818633,-0.049570158314110796,0.0324250506277576,0.03140568562848053,-0.054634954776408486
CCL18,,-0.030987488790443832,,,,-0.055220404122309136,,
CCL17,,,-0.020677851981950806,,,,-0.012162466330047321,
