,UKF248,UKF259,UKF269,UKF296,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.011819349162044425,,,,,,-0.020187813056287394,
BMP1,0.02665701247386592,-0.0782538286581849,-0.05326840205727484,-0.0054286144934913745,-0.016431428367109584,0.03255623282596422,-0.011226938995873133,-0.07729981395965035,0.026834019360415778,0.028862572675154786
NDP,0.027643925874046526,-0.010948695782274328,0.03339872635487255,-0.02152639862328917,-0.018067459447859667,0.08932905789419449,0.01940642268541132,-0.009002051645579521,0.06460818518159803,-0.020168323093658954
TNFSF18,-0.024830504610871256,,-0.017551378679050808,,,,,,-0.034053231415459496,-0.026674492887896424
RTN4,0.08354038749373605,-0.0007497177688333867,0.13180055330705528,0.016712639903263018,0.1415825139370882,-0.0011512248136294112,-0.06603989939655551,0.04368183498423109,-0.050747805852140254,-0.03698943619345183
HEBP1,-0.003336357326928179,0.03354285145759149,-0.05748386681275946,-0.04693488334446882,-0.07118942953748042,0.03724033923329293,0.07889311064214155,-0.009887670830376047,0.02663729345216252,0.012850343304205336
WNT7B,0.08495498119249618,-0.021742156805744,0.06440218853661762,-0.013333402474102975,,-0.01762842454856119,0.011418036047007833,0.0582779481231151,-0.04308918525357979,-5.907137303165657e-05
PTMA,-0.0480804497582882,0.019987243626005763,-0.02081757718441523,0.01967506385336941,-0.16965568851537857,-0.10875061872345607,-0.05399548942715744,-0.05298842278838101,-0.051165334176298885,-0.035217140436396496
FASLG,,,,,,,,,0.031229182075697935,
CEACAM1,-0.01580393568753256,0.1143842268794273,-0.023096614689847965,,,-0.025733320198205217,0.08414790967051207,-0.01291832078226419,-0.024361039631581528,
PDAP1,0.06699416204587802,-0.021797411016309675,-0.04106958404346398,-0.04558449332425552,-0.012201357242779947,-0.0007963962225916583,-0.046609406177132745,-0.08531587983438388,-0.0001446923601087033,0.03214585347498597
QDPR,0.038128989941581364,0.003590594713459851,0.05157631226868359,0.024592107936011,-0.12432293648879364,-0.042120025038693006,0.05568607351196502,0.04690139451948365,0.0266524241948113,-0.028040751743044674
POMC,-0.017910630228054045,-0.03400647441105747,0.040594304245752034,0.00030963369272559344,0.0031431221178117984,-0.034200006221396094,-0.010386925233751532,-0.02113267577641636,0.05429140789559478,-0.01876859033790254
CCL18,-0.019721818518551773,,,,-0.06869924805440335,0.03608059110308186,0.10790380766213115,-0.033897444043666375,,
CCL17,,-0.02116593041095332,,0.05226271805747362,,0.07823289462091187,-0.027291047972494206,,-0.015869836189730452,
