,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.030418431199136904,,,,,,,-0.015863883390005298,,0.03389509445921804,
BMP1,0.08612194225042825,0.04226425295805601,0.009901606973741879,-0.0163473643618674,0.02584951958200256,-0.013744106492006015,0.08683256887951558,-0.02796562685134385,0.0768656875112715,0.027661501987428068,-0.010481113677183082,-0.0017132217933954498,-0.0166671414355525,0.09057888954642981,-0.030721973378857664,0.017630867765642627,0.006456602136506574
NDP,0.04551068234287969,0.03551511133140647,0.029783122789716825,-0.00970113090273725,0.015897326046000852,-0.018134212859269205,-0.0028944762337517805,-0.03122332766454488,0.046548032183955895,0.010560864373454394,-0.1599520812794422,-0.0013305468427067435,0.022762158503731738,0.11033626825961396,-0.033645534722949524,0.028490292782125407,0.017805254302253416
TNFSF18,-0.02450430544503359,-0.021812105275174132,-0.03557822323620196,,,-0.013291557185702648,0.03967973447357971,,,,-0.060131225532736955,,,-0.016360142926126798,,0.04102026377785732,0.05624929640825094
IL36G,,,,,,,,,,-0.018834871484907954,,,,,,,
RTN4,0.06887060701437522,0.04791366842842239,0.05538898842989615,0.013245969934484639,0.0029152890331855556,0.015564687669436084,-0.10463374428960122,-0.017683584623964837,-0.05847648055318957,-0.012732445533680208,0.0695394750790639,-0.003191191680487242,-0.09914577633694911,-0.10227438291402396,-0.014349245284887164,-0.003268265631831245,0.04612548816598134
HEBP1,-0.04676215553358897,0.06254664276860583,0.03723454613601591,-0.011861397090009176,0.015939447582756644,0.024301884287554542,-0.0064836122401289095,0.0407714016259871,0.024416925025609985,0.0405892834617357,-0.0005241279061737379,0.0693379787172069,-0.037913567017742456,-0.04910762151485047,-0.016796643278833998,0.08016063821244672,0.03432288149443501
WNT7B,-0.021587525600885574,0.0006788812329463356,0.034419521714176164,-0.037807125447690514,-0.00750021037473315,-0.017150922933902236,-0.02931029949840941,0.09016842744945679,-0.0341250154081261,-0.020701694318862887,,0.009515448859498657,0.05197373325753532,0.1310578688272875,-0.02126805946146132,0.09268459686393872,0.044121411882205176
PTMA,0.02097176997163746,-0.0050357957666528706,-0.017026829793218182,0.01573150051089146,-0.0518399061171609,-0.02192016308669253,-0.0260639660773151,0.0010362123153914997,0.015298558852476402,0.014756580434703731,0.04006208208089749,-0.04660316559376416,-0.04025871773681528,-0.14578541259594555,0.01765358700192606,-0.0679563845383926,-0.13102648141462306
FASLG,-0.02158753170362376,,,,,,,,,,,,,,,-0.036921560093832725,
CEACAM1,0.03515694373891306,,-0.022644564043834917,0.004367232126701365,-0.02617303879931009,,0.061919573472288006,,,,0.04496097222014169,-0.02362118636989427,-0.023187182285643867,0.08376414113735138,-0.02189438095797156,0.004199980610521511,
PDAP1,0.01776732351533935,-0.029154137427486144,0.01838385147295388,0.024325687072088875,-0.07191880256366753,-0.026115136171472916,0.09391205100863742,-0.010655877482345122,0.044259378945869045,-0.016750404349423743,0.0659370855445001,-0.01570992359707571,0.03307653193767283,0.012626717038310418,-0.004849379504645039,0.015251048201230136,0.010363492964076453
QDPR,-0.019589022226124155,0.05409359318688427,0.07317617355293561,0.0047546997678256766,0.030377886972341034,0.008054214845096292,-0.0488180146877441,-0.02224089257344783,0.03736948865941843,-0.02322491549810163,0.0432531989992758,-0.018244616408082247,0.06448043315806509,-0.1619780398296283,-0.004704886492299672,0.024001017450785606,-0.0024595464670359598
POMC,-0.02170615066708044,-0.02619679802382171,-0.053670146221691084,-0.04065460236531443,-0.03847020267433403,-0.03506580863553004,0.031655368016083665,0.036639149546448035,0.013478268035009879,0.020368017335261952,0.07908164401910789,0.07849803942041893,-0.03140806844627062,-0.002590513284808386,-0.035816331078059996,0.057812737193318905,0.03767008932902602
CCL18,,-0.029251826657494567,-0.016002096084889242,,,,,,-0.05182872531174561,,,0.09633412854556428,0.02954680929536214,,-0.0025353376388064825,,
CCL17,,,,-0.025303784042647704,,,,-0.017336620097392837,,-0.017206189823283573,,-0.016758088431882395,0.05738898143671567,0.07369225267483265,,-0.00725111857508194,
VEGFD,,-0.032958258780041196,0.02013272094764347,-0.028191209713308244,0.01924018802787423,,-0.027891992106946036,-0.012716620500561961,0.06314320802012285,-0.018440406566724764,-0.05748207328965992,,0.15244297995830133,-0.022059517045191688,,,
TNFSF13,,,-0.02132460892849067,-0.01745398391720911,,-0.012890037694890352,,,,,,0.009053492706054647,0.044478345908965954,0.021991867096953648,0.022046546433686136,0.008441795512440856,-0.026444435395783682
WNT5A,-0.02710796474309831,-0.014843131288852753,0.009590555257293708,0.027966394498305194,-0.04585566581534112,-0.009345615245284055,0.13542961563419054,-0.037952890724531785,0.05211492007701489,0.019199990502229924,-0.06977428992542078,-0.020477941948894556,0.0027394315419031587,0.05797393366222186,0.041390940379876624,0.014723402440430432,0.006221841871835574
CXCL8,,-0.038561717042447735,0.012154489768033287,-0.013237350810055898,-0.030456771498938537,-0.018335242584021062,0.06747625505741743,-0.011842269947165208,0.019318914826031482,-0.02261531653682531,0.03136831289877686,-0.053595350120168195,-0.06386776459295206,0.0547698877565049,-0.049026285381747234,0.04290488219701969,-0.055269270296622555
GRN,-0.006630324620424813,0.08757382894471032,0.009105710887792008,-0.008187938675059713,-0.04069768697988029,-0.010746050575590423,0.07921920005721021,0.027256910824512013,0.0734495500025606,0.0486584714051581,0.07780122027640611,-0.00279108610839103,0.008631811642107814,0.1147953754828277,0.010406651918790427,-0.06120502659311911,-0.07552607333488913
MIA,0.039115037569118834,0.0201031271885131,0.0164537681922392,-0.053281280143430976,-0.0014996089501073723,0.009844839077844404,0.012163509531940179,-0.014462477724048288,-0.030343965324779724,0.0018713175325793237,0.09777223681578207,0.13824248609545656,0.14059196470878177,0.09320912987606854,0.04282251863940528,0.07854189245219258,0.07832208876258162
COL4A4,-0.025000992139523108,-0.033178239369197546,-0.0339379603370158,-0.008745888000385163,-0.03170252469932079,-0.012264301379462408,-0.01640661908080718,0.055832616249871986,,-0.024498269352871135,-0.04500959545105784,0.06982561482348662,-0.03712630436192599,-0.03221881245592719,0.007293095979710947,-0.012359610650022421,-0.029555660714268704
TAC1,0.06308171215094685,0.01826969673313026,0.08302554445465352,-0.049541175076500535,0.022320561116457673,0.009690028864960966,-0.05623470233806672,-0.021804158211598715,,-0.035277081173162236,,,,,0.033732648524044395,0.010204169378559697,0.11858268660973371
RARRES2,-0.014677593389803054,0.0397805224620283,0.029498588193672463,0.06189719911139185,0.045051380769228024,0.0334314074769613,0.08196359955217017,0.029948630191847687,0.0028047110567713898,-0.015310703174906992,-0.0699111135917654,-0.016939637210519873,-0.009145573021804024,0.004672379929609296,0.0074238766594847535,-0.005496326201272886,-0.06913815995088964
FGF7,0.009681999041943789,0.08474458663028461,,0.009055447227955146,-0.012853254683764742,0.04519614779385707,0.02537499482022654,0.021602942516054074,0.050642825246407876,-0.016087032078788505,-0.06806010184307111,0.057054265225686754,0.0665934342585184,-0.002716533096796264,0.0024127485799969135,0.10680354060711464,-0.0013001821910910059
EFNA2,,,,,,,,,,,,,-0.0032372196514676185,,,,
HBEGF,-0.029152093864276103,0.11902105087340314,-0.013472163811671758,-0.006919931365477298,-0.062427255491353355,-0.03231993405399148,0.060559721738561605,0.02963814913781284,0.0887921701117818,0.01143583306796103,0.07557843779968934,0.03441103998474114,-0.006864000954711041,0.06392001142808772,-0.005283558175703803,-0.008311476649093812,-0.037289445878096864
CSF3,,-0.033178213101886324,,-0.020613310410520523,-0.020251480089451372,,-0.017357887199290385,,0.026453934756490154,,,0.010704112889427271,0.011166854727937858,,-0.03138858584648151,0.014867016619460506,-0.03108917343431642
PI3,,-0.03930454098694694,-0.029728898167213722,0.05440259701227938,0.04827065690819192,,-0.019545210085714162,,,,,-0.025881413954298816,-0.11259764788228341,-0.017771225243985136,0.04434406310046914,-0.05436670104718701,-0.009998452063282887
PCSK1N,-0.02275164875081023,-0.012445955980281757,0.03509342673400903,-0.059820812229942205,0.051765840454260574,0.016237192366223514,-0.045269464447291574,-0.021212534710196147,0.013906483064752135,0.009074514288448621,0.046168559237407474,0.04435828109203356,-0.0026039620406331765,0.027954443031164528,0.025601490128614606,0.02476572456702337,0.12478375342141022
NTS,,,,,0.03054498674723506,-0.014971925434755689,-0.02133493137186906,0.008066661433820375,,,,-0.004748312502848072,0.06473723770459062,,0.024044805864338954,0.0812432574610719,
SFRP1,-0.03141038683611572,0.019106429230320666,-0.009009663268049608,-0.022078529659316323,-0.028567309466669074,-0.006773951413543403,-0.044086884672040715,-0.01733662027198684,0.007098359628581497,0.004206314253858009,0.11441421693675348,0.027906342634132213,0.030717690905838462,-0.05941721798107096,-0.02225251591838239,-0.02449275408973385,0.056926199084601795
CXCL13,,,,,-0.02831056850267622,,,,0.015951957593688046,,,0.06480769644054776,0.08211748541758507,,0.04351944639526591,,-0.02521754277505676
MICA,0.001608782423032373,0.07003973025542456,0.0229836843273373,0.05723348549970198,-0.04502442477736813,0.017270947671744172,0.13148912912067529,-0.06065189718749852,-0.015642695654955782,0.045217285989731064,0.01054411786859622,-0.002077883228888337,0.09256458039485586,0.0787603207657304,-0.009958733619832683,0.11107700616996484,-0.03013921097151337
TG,-0.025000986505453272,0.017583408508903022,-0.0001211993846980302,-0.011768266873768633,-0.060590167104631124,-0.017281548750003112,-0.020949416874519074,-0.012546436678110463,-0.02213344012408508,-0.01197683584732015,0.004651906934640585,0.016912130957876966,0.0046725063438606525,,-0.02583328848689549,0.03599361986267424,0.009541824511614408
