,UKF266,UKF269,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,0.05824261156952618,,,,,-0.03819876095958578,,,,
BMP1,0.0342503794421219,0.061280138832081145,-0.006151002526828795,0.01018977620968986,-0.06230269962764321,-0.036108274857596656,0.010359747094905709,0.021070672200301333,0.07788302376777229,-0.06081494947182963,-0.06709057593718766
NDP,0.00147480058277493,-0.04205817943237222,0.11126076237065718,0.02403895241566795,-0.002820773114146834,-0.0029239793720402664,-0.0706611691363323,0.011747355916451895,0.014218544032597301,0.092468473433374,0.11509169003686646
TNFSF18,-0.014925472410996005,0.048099288167996815,,,,,-0.03939370792989465,,-0.0403164137249862,-0.02430872483716642,
IL36G,,,,0.04187735290583678,,,,,,,
RTN4,-0.055860771937713084,-0.03286881144255427,-0.028416383000750278,-0.0003566209454666785,0.08207881864384976,0.007980254933319454,0.03257127644421764,0.1420065122189854,-0.007769997617909912,-0.04144110104707048,-0.03386245935007674
HEBP1,0.0453784809380485,0.03846150600607743,0.05214879628824813,0.005041096841039917,-0.050592417498852016,0.02718359016964355,0.05497267972522657,0.03664912988436391,0.0545718228177826,-0.0029718915839572284,0.06865528531444913
WNT7B,0.007443532458784008,-0.05706543400612823,,-0.024460407068396226,0.2230701113969968,-0.005843890935096036,0.04957884171671817,-0.005429001705363738,0.1426356126666177,0.032419007662815254,-0.054494894271573474
PTMA,0.07230837795892667,0.023657262631066208,0.11609359090318368,0.048435201967182005,-0.04122213977059178,0.0037323481388304475,0.06362647202067462,0.014397235098365902,0.06685211120365694,-0.02948022000635469,0.0769349956762447
CEACAM1,,-0.019185222464104267,,,-0.04643488054963059,0.005850176895555652,-0.004568413132615661,0.08557425715101807,,,
PDAP1,0.013918875516593848,0.05916342154955614,0.012049870130123826,0.035536348285033145,-0.019303056546311148,-0.031527146265403795,-0.02214564930604034,0.035342476034439595,0.035478488963590966,0.005085044182489567,-0.06599272238615737
QDPR,0.04494756440872151,0.051411193157009386,0.17118901917135607,0.05992038504348283,-0.026158032040269067,0.038612401285351705,0.09512088386171257,-0.0016078874438776845,0.08739130665420963,0.06712323966993514,-0.03656196533169573
POMC,-0.008746244399744885,-0.05016103128563644,0.06755595687259382,0.05981577288025745,-0.047557672550376545,0.05250589010503077,0.08638563443168705,-0.024254466153936075,,0.020497481006595306,-0.00025081322531790383
CCL18,,,0.08116822464423058,,-0.039815482461729466,-0.007926866898028167,,-0.0510592427816258,,,
CCL17,,,,0.013387773502654502,,-0.012920608412071832,-0.016025025476792534,,,,
VEGFD,,-0.0333598777383186,-0.03657152210805135,0.0708054850351511,0.06097475931611073,,0.030222924356739053,,,,
TNFSF13,-0.014474594609481336,,,,,0.04894719513022423,-0.044616653270196094,-0.01664934416055476,,0.013083694199085122,
WNT5A,0.08387756488748226,0.09474963011588025,-0.03966603812937679,0.03953604685811422,-0.08337682129854289,-0.005060843392852905,-0.008681463350653387,0.06084732179692303,0.0527716017267485,-0.06590239007889838,0.08743774551981785
