,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02216677436415819,,,,,,,,,,-0.021684187290618027,,,
BMP1,0.03924057088559511,0.0996849097403882,0.03465039000232564,0.13388997775218703,-0.06674467677365745,-0.017226422371987786,0.03600744332213717,-0.03179808954950803,-0.02167024237889015,-0.020067837495014406,-0.09634353991256242,-0.04553842942313109,0.10310036365325322,0.14743113415894227,0.12054324974051427,0.020812498666112463,-0.05211827044021506,-0.04805384339475415,-0.05721264986244051,-0.04374741021626165,-0.008808744445940271
NDP,0.026337605980351737,0.039762258423892805,0.02828314285362685,0.09702676450122505,0.03224829680470275,0.19758126722060157,0.03743067918670201,-0.010395808671258513,0.03104394528620295,-0.017483343703229928,-0.041189082301643434,0.03527871142917664,-0.017192985263809746,0.14683323371018345,-0.0317840598654321,0.07667510753851597,0.09128082304509687,0.018394228620298075,0.0925712518537567,0.08055449113505739,-0.008622976415271287
TNFSF18,-0.020895700484328438,0.04790727591381945,-0.03593711929421725,,,,0.011467984256901485,0.09782883423370595,-0.02315391050634595,,,,0.17017722164021568,,,,,-0.02236251960443178,,0.013181780466824188,
IL36G,,,,,,,,,,,,-0.0033525278332125854,,,,,,,,,
RTN4,0.003131556891949722,0.004873547321947241,0.029734390428392658,0.0016720803177972747,0.03733948447712174,0.10746037505792878,-0.03065030747758729,0.03247533237500016,0.02212383255329631,0.04931638760909468,0.1734832922446468,0.12219308547706949,-0.05645842189940712,-0.09240014314543735,-0.13019870678156742,-0.000290537768816291,-0.07357511038988013,0.03430513800071592,0.02565489289117589,0.08367016321888089,0.013121088609480571
HEBP1,0.0731963813945373,0.0616004568201415,0.018220918639035508,-0.006429780448984607,0.005017761820573032,-0.010102273502790006,-0.0014677090500576143,0.001370959668191197,0.06622088646976729,0.01850801525702807,-0.14104893081868772,-0.003475153496110441,0.05557090540570975,-0.015016931013220795,0.022268458531574067,-0.03905445968697745,0.10434088722568148,0.009227988350977174,0.0262455709947975,0.018549184960935043,-0.06976375581247665
WNT7B,-0.018408457655154684,-0.009052010680368892,-0.03698859540807776,0.00550089238721504,-0.041168563473675805,0.06502233866850751,0.018362234662408494,0.0483944365757185,0.0366426949270643,0.02582444319203485,,-0.007394176247480429,-0.004390875820764109,-0.0682498762480927,-0.03093602584602106,-0.04227793756851188,0.053890432328811966,0.010440885733439065,-0.019625660610964518,-0.03712963633583321,-0.007156434862418413
PTMA,0.00704803282895251,0.010596211148170992,0.08794579423745535,0.05024827249088435,0.0023207946980795834,-0.08127145729583281,0.03450541181145471,-0.06295679232902386,-0.01351918361156949,-0.013854223769399208,-0.21801638162746015,-0.10335679249660772,0.05639485717013682,-0.07985565792304977,-0.03973285732362271,-0.022976895057341188,-0.09257891755574646,0.05807270587814151,0.013908798178129582,-0.01910179039854171,-0.17076240786888813
FASLG,0.03192411976766855,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.025560311785078272,-0.014266655987270163,-0.016214763575712537,,-0.014555950347948519,0.035746933684173074,,-0.0056890902003971285,-0.0364155851769002,,,,,0.07021767975421428,0.04847849817472997,-0.007365398776529686,0.03733396281967984,-0.032132605992921996,0.06904206200945473,,
PDAP1,-0.00037188715479083564,0.01802371266054693,0.029277154411581963,-0.007232242807701058,-0.007195448004240971,-0.06190524039415182,0.018970316588717936,0.046696798956781735,0.010029787216287674,0.024486754942737613,-0.018038061257247627,-0.022324332199629968,0.03985477104824548,-0.016320469575133275,-0.03970435235370993,-0.016426433628510734,-0.0943024060155175,0.04409756133192828,0.05930866845635792,-0.044054942319106644,0.011876142895212457
QDPR,0.0624018263601267,0.01407359996255435,0.0005256364714354358,0.06662536460660957,0.026819562167416697,0.11451197349991561,-0.007179562691045853,-0.028763703269174136,-0.019520956474237693,0.021010858241395314,-0.15347282311759414,-0.002045090453162018,-0.03952704633844207,0.07848139632515191,-0.06472055422243433,0.057076780826081974,0.16727603062142893,0.009200010684906184,0.03163017641647683,0.10305489030666361,0.005722890445940907
POMC,0.056883514769989214,0.03842351386200609,0.04432996109878251,,-0.00879912377014501,0.03371130812637307,0.08664301449829698,0.010813308100154182,-0.016214597302439435,-0.016722988561965704,-0.04338119846341323,0.01187829491629525,0.1260544357896117,-0.022626556945493786,0.09715507672208276,0.019179772058832385,0.029606897030037126,0.018164264400643875,-0.0025170807250463603,0.03497166682535821,0.00561272053202391
CCL18,,-8.072474853436223e-05,,,,,,,,,-0.03717555022647132,,,-0.05369472860881658,-0.019670897909552967,0.04417570483372721,0.044700858947879014,,-0.027827650327976548,,
CCL17,,,,,-0.02254974972858484,,,,-0.028877434329323298,-0.023865865770222223,,0.01768159440708772,,,,-0.042719096203844203,-0.08212183655540133,0.0085800014030093,,,
VEGFD,,0.03173607549253287,0.028982711324399044,,0.0329909389390845,-0.023544138810226246,,-0.01523452921195695,0.06029436087171744,-0.0007836775605377112,-0.004562052437710343,0.00986288032457214,,-0.06049311384794585,,,-0.010505062392374495,-0.030152938431827286,,,
TNFSF13,,-0.03886476644958303,,,-0.02195022231997681,,0.0009262919280911313,,,,,,,,,-0.05888515718125896,0.08639761116759813,-0.014202898107180334,0.03735725275765864,0.03921173083029961,
WNT5A,0.04542684214780188,0.004955211692749452,0.036822995926419716,0.026959414627441426,0.03193498313428727,0.02447608172309219,0.02968876282468872,0.00022318538798830445,-0.09145674477268595,-0.039089492621808,0.046040785759734346,-0.06109514560797545,0.0555932760423173,-0.012466311192845988,0.09112972774829405,0.03433379608649078,0.0150926840234846,0.0770887537739926,-0.030777296206712653,-0.07179155870089596,0.02752150489153615
