,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,-0.013794949105930949,,,,,,,,-0.020566575689225566
BMP1,-0.004928783375977556,-0.013403939173167758,0.018695230170381414,-0.016180640133853876,-0.04778873068320202,-0.022311931749402283,-0.021513271179232313,0.04825251146600124,-0.034087307406532937,-0.07000276051827418,-0.0014615326452421978,-0.018409551882245242,0.051892298630637136,0.05908296711832913
NDP,0.030211740968640308,-0.049268094754426894,0.03870094076294833,0.040944347992384396,0.022475947421828027,-0.04548522150275597,0.05648910242795917,0.0005400762673671284,0.003615859512539271,-0.022187694219758046,0.02474310686104745,0.015706289434386674,-0.015494855141575642,0.06702778636029597
TNFSF18,-0.028831494563194192,,,,0.033944550721071005,0.0541974253756802,0.010257119862166073,,,,-0.007837528039058725,,,-0.009662444136338391
IL36G,,,,,,,,,,-0.014145036348498287,,,,
RTN4,0.056622459305304976,-0.0336013195978814,-0.0022634340109714862,0.02797011713890676,0.06600379854061275,0.008583167020648081,0.059237504702046084,-0.0983532172395358,0.0694887376474614,0.12101943668734437,-0.015866791077837953,0.04562359266126608,0.039087328890074234,-0.036597612762973894
HEBP1,0.03659184012960259,0.1209377596410255,0.017166282015217096,-0.008327263603141894,-0.00905872247871081,-0.0069711895142443026,0.06083840895490722,-0.02668171930376936,0.009364663958660096,-0.002681712612025537,0.05090941591053117,0.002440260778220051,0.024149435095888894,0.05677529187644392
WNT7B,0.05410630386590399,0.008027371621089793,-0.013026111308699968,-0.004469421066208176,-0.05969445036656731,0.10907378923067676,-0.04806410493426166,-0.07332953559189585,,-0.01554702504078419,,-0.034557649710012815,-0.037322518445901696,-0.013592418153045231
PTMA,0.022366520785008996,0.03416417801046586,-0.07385244934386251,-0.04205741191605666,-0.04694974779971116,0.005612407716085756,0.007197250278307077,0.03340051409886882,-0.025048532741085008,-0.14955595602219837,-0.06385086922977938,-0.0004342449270457402,-0.06450280312272534,-0.05431253048793181
FASLG,,,,,,,,,,,,,,-0.01783738407887665
CEACAM1,-0.01835045614226757,,0.022281363464143254,-0.012907663614553078,,-0.026957205493930752,0.11681436453628843,,,,-0.04228244602055416,0.09252945672627376,0.05008799467855588,-0.02481810011090349
PDAP1,0.02568889240466877,-0.047304872580084804,0.008418936702213633,0.014324565236492002,-0.0595594301096788,0.006800755576017453,-0.030497309339623524,-0.008857886106256012,-0.04093052718582089,-0.03478151762937063,0.1143967022435849,-0.0041775488595207026,-0.03368851832707625,0.05634184835236551
QDPR,-0.004128048797704735,0.08353197509199023,-0.048456105706254235,0.0038302415043700083,0.012226878295523989,-0.0787457257311697,0.006699715302037615,0.0006889519874551999,-0.0058906064408627825,-0.055647912516019235,0.02897503166579806,0.008399406598448527,-0.011149167745483704,0.011441040659601769
POMC,-0.0358015802599272,,0.008456354608243375,-0.01927986166927534,-0.009533897853955186,-0.00943499578823131,-0.021917283099324544,0.05406899000124891,-0.011746037075358986,-0.007425040793278958,-0.056900611948384756,0.006687608427710733,0.026963497282469707,-0.04246537645682306
CCL18,-0.022899635440553234,,,,,,,,-0.026393642939669667,,,0.01528945135966479,-0.004724247627775858,
CCL17,,,0.024733043098740796,,,,0.1314965305426078,-0.00520950389959535,,-0.012921892281798963,,-0.01796587935297696,-0.010671342310446948,0.009648947464344935
VEGFD,0.03972949912634295,,-0.039734691900185165,0.03379258280913855,,-0.02311024016151577,0.019257311440595507,-0.001995604165039996,-0.02374401159130389,-0.013848792192525175,-0.05748205879470173,,-0.01808102259065089,
TNFSF13,-0.017280805235895595,,0.024942733121311206,,0.03589111096018895,,,,,,,-0.03447382396188359,0.0006389949807313536,0.006382513429463435
WNT5A,0.005575447122112588,-0.01622471760718985,0.018749911658838672,-0.035068894598166644,-0.031176876221796917,-0.039108345733197575,0.019167892359748896,0.036159576905593654,0.02218260300184881,-0.01899776385682995,-0.0954989989840762,-0.002043301448980745,0.009150733487345459,0.01283038210509384
CXCL8,0.011024326192272262,0.0010519816394776575,-0.03475817568181486,-0.03453428085418542,-0.021012760926923925,0.022849333499576362,-0.07561348884621596,0.022726795085424488,-0.033473354970091074,0.020513178721568447,0.06295301230582626,-0.03531391599361188,-0.036148941788131994,-0.005607705117212751
GRN,8.570366719030236e-05,-0.06132370223078259,-0.021262134830511713,0.0040143086911773075,-0.015566188320638732,-0.0026149796795268037,0.0035464326793640563,0.040088434098262696,0.011811776988954328,0.02377266814633349,0.042896478589159695,0.004167760816126288,0.049651691044669106,-0.0006603425222531274
MIA,0.004870166386310973,0.01763176301552812,-0.028938202884082033,0.06841302461790304,-0.026711322865572627,0.0016255143815647633,-0.019694144146882666,-0.004074421000590498,,-0.01896655556402184,0.024471257206347213,0.08578641651503326,-0.052107425615310954,0.015305875479980907
COL4A4,-0.02750227610992487,0.00982987392228424,-0.01971403564543344,-0.05396014685413396,-0.014055272606372562,-0.013593898411491997,-0.0019714082715302475,-0.008477220028441073,,-0.018398262539212507,-0.022554253132039966,0.008950052774194944,0.13223877172849688,-0.028509620404156912
TAC1,0.060012114177079065,0.05397554768307203,-0.005635237298879772,0.014472723739990387,0.03869341067568503,0.07337652005552514,0.07653903953570895,-0.03362447616769348,0.006569385819317586,0.2001003620904931,,,,-0.021253934707472007
RARRES2,0.010149008992363638,-0.07993133529672677,0.0316151099577244,0.05834537292985305,-0.10206129433444384,-0.013803557175201807,0.08200405895167881,0.036960481536408116,-0.10390898708499528,-0.093671916672708,0.008939276241123388,-0.021257181617106335,-0.010368830620848537,0.004907485934913909
FGF7,,0.06997861247551564,0.04562459985639574,0.021076600773815138,0.0317221169693199,0.015541381243450232,-0.002601044632943905,0.00016350249238786005,0.05318039689447816,-0.03351075180349591,-0.0322789462925036,0.011594350726888686,0.0444282276790595,0.0596589346376793
EFNA2,,,,,,,,,,,,,-0.01718480193474339,
HBEGF,0.014568521619081913,0.07131545853272835,0.023097772379536304,0.06529432882822035,-0.02870430173171123,0.02866104264874733,0.0009326983963379944,-0.015674829525101772,0.08651571772519089,-0.06125110770961818,-0.06723485074598576,-0.017339708773782585,0.04977603178822931,-0.04677663688933298
CSF3,,0.015447859758074844,-0.04250950973363407,-0.04394900133226228,,-0.014382082869305082,,,,,,-0.05527252099028488,-0.02680093881603697,-0.01702197304942855
PI3,-0.024091381972262765,0.045338270245760114,-0.029495081825070074,-0.05851104141225638,,-0.016194415133784855,,,,,,-0.06419754141559798,-0.03836413512810505,-0.03698309244024537
PCSK1N,0.02968676675277597,-0.004769005204577481,-0.016021452473317137,-0.014276140743620404,-0.017458552017626985,0.024371950174971794,0.03199034621905311,-0.04944628427356246,0.07727443275072136,0.11749687657007024,-0.0046450782170288744,-0.01565270459243141,-0.034819012921775375,0.061467537535593274
NTS,,,,0.11137201902519614,-0.0171582943795041,-0.017677309886752906,0.03198823811199558,-0.008646320254607699,-0.021377237652089286,,,-0.03180237138074347,-0.02093642011063188,0.04179262390129801
SFRP1,0.056401982259207624,,0.05613953195983214,0.17950086543680666,-0.04363091567901612,-0.009127008401166533,0.02816279026963094,-0.009393274213896175,-0.007490833731334281,-0.016973826481875454,0.050760475692543605,-0.00706609621765974,0.02931336268013928,0.0435115558807491
CXCL13,,-0.028831844000892556,,-0.029124915810146732,,,,,,,,-0.04035504854816239,-0.03496684988841903,
MICA,0.024435311764309124,-0.004384625062665921,-0.03548868598895067,0.04317942040974741,-0.03641904262246072,-0.004702734884678563,0.04586205896275284,0.03821892113356944,-0.003174473284296688,-0.005922516264991513,-0.16587329147941177,0.012013496344431787,0.03121814444537771,0.07005875221039641
TG,-0.016038710411480046,,0.04512006102632771,-0.0028188225668084816,0.03781090184340693,-0.017357887287415316,0.012708994810964618,-0.012316268221847344,,-0.019410505524237738,-0.05897306201961614,0.01298264753795295,-0.02578549006086473,0.01795194720929399
ADA,-0.01289802299647562,0.06796238519039188,0.02689958994142505,0.04425554150716231,0.03525821594550219,0.017442681747190956,-0.05444554709922965,0.022611668265990214,-0.002782836205030492,-0.04281895024865652,0.070952479793248,0.030362893634763147,0.0063738502741786844,0.06074183805540541
LAMC3,0.013261530529937754,0.020378076172375213,-0.02538827193137322,0.04263368226099541,-0.004428309718469334,-0.03562351415679577,0.021933177074895602,0.0803214416483584,0.0028497345319079123,0.03469881992642896,-0.05425420535618459,-0.0031691562202355024,0.0027877069679347263,-0.015617017162288069
CCL7,-0.014566102650218323,,-0.0009715943718277223,-0.008648041219940575,,,,,,,,-0.02692671200374932,,-0.017837377736115784
NGF,0.017945521034568996,,0.04661932978741107,-0.00429225172059552,-0.018899467994609193,,,,0.07801523080010028,,-0.01863204634378915,0.03784638560132836,-0.01695380928527915,0.04535409030398198
TNFSF15,,,0.01971058846557937,0.023266217463474133,-0.006340563382026034,,,,,,0.02698565648590085,-0.009995243162829721,,0.04457469331489071
HMGB1,-0.026547828251838407,0.03187313688977737,0.04141936292998317,0.02060614381840911,-0.023800727417532475,0.018595957278465504,0.037384775877032185,-0.012499034394810708,-0.08156027961143615,-0.02435947939250957,0.023827395798811674,0.011517606374409598,0.06451278541846459,-0.01111577176641808
ITGB3BP,0.011441704917815921,-0.005341396541545228,0.028075550014109576,-0.05904828480095563,-0.015208986416289426,0.00118591002637492,-0.007443108712980845,-0.010770412996280461,0.061933620357447525,-0.07663885275756824,-0.08331834329939732,-0.015503915770121607,0.010311405774220829,0.07291297120538971
