,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF313,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.023178482235211365,,,,,-0.020557848476828122,
BMP1,0.024558083483210216,0.05042155756023019,0.07654646520158598,0.011463770322120826,-0.017028786028903276,-0.024088861942029416,0.012232550248989343,0.11413819780384411,0.059616489962974945,0.017545965033503193,0.007542999341225177,0.04369907190921899,0.026355624117179344,0.00904137829251799
NDP,0.08378071651923713,-0.007725496255379497,-0.0106163484648031,0.022363637703076093,0.0694869317638875,0.005078345738340204,0.0179909014322667,-0.029482762701844054,0.050989658936606085,-0.013086451344921786,0.045880087147534845,0.04810650766659366,0.11999175817915855,-0.03255444387733568
TNFSF18,0.13335399102242337,-0.02360610628953138,0.0643570923531397,-0.02528979701665318,,,,0.10003647463184029,-0.015456149220647695,,,,0.043099591238007315,0.045735466558808356
RTN4,0.016906541294594846,0.0062785527268123765,0.028820302410501493,-0.0016362358843382422,-0.011059081817423997,-0.016003223298687613,-0.024670578656878522,-0.14045274770071883,0.016811889795337938,0.01837174482115978,0.004845524097627819,0.04433165086962421,-0.004038528168699465,-0.11698154474567853
HEBP1,-0.04305774214398926,0.014695271374566094,0.006559856265301036,0.045830082395641576,0.008323927313190302,-0.038546971227946404,-0.00661008531751013,0.08056727957337875,-0.032488356876056695,-0.009885354502659361,-0.007760429776050985,-0.003084456989511726,0.06993760377716862,-0.015915709639979566
WNT7B,0.09803350835333864,-0.043629045733062116,-0.001961709740932544,-0.015709237954485446,-0.009434996663120247,-0.02697617601385748,0.0036154152421309935,-0.05623842329413868,-0.04430361296416301,0.02219545811633858,-0.030376907579043575,-0.02233890984864436,0.04327842637519536,-0.006944297183563837
PTMA,0.015141719436883591,-0.10713793616209039,0.03617553752869853,-0.06281203059526083,0.16759595105711228,0.012873851828776104,0.054053615866113396,-0.08491592801129971,0.07098013503881574,0.0478243696636235,-0.00967541148613058,0.018587682158363303,-0.07705722446566098,-0.004903007905554467
FASLG,-0.015970527120657326,,,,,,,,,,,,0.025082988700356117,
CEACAM1,-0.0015980681451769603,,0.0520955704286393,0.04033977116817895,,-0.031149749345137374,-0.01620796560470426,0.08335464077136025,-0.012591905002717937,,-0.01471619748723341,-0.014826659356958415,0.037589168125076663,
PDAP1,0.04225636436445082,0.044748982765242556,-0.0248322837222916,0.00022294379740894874,0.022964898584704154,-0.012773829811287666,-0.03309916084938971,0.09355332754621747,0.0541166785129489,0.01027037938531492,0.017066234694814723,-0.0073298007452716855,0.02689371429250756,-0.05717404876534228
QDPR,-0.009188485689946293,0.012506522259816242,-0.020062249974847516,0.010057319150369974,0.05455925265864056,-0.060454016247183495,0.02043547138588559,-0.1479336510607968,-0.02739585014647599,0.004685573203811301,0.02132737751895854,0.009294456239552499,0.0358094966495666,-0.01394689857327348
POMC,-0.007800029093036667,0.07660160540937386,0.007157634357942778,0.08490531232830723,,-0.018796664335507102,-0.032614259528890584,0.02918956067545788,0.012920896305374074,0.06341439808263184,0.024241633429746227,0.07276543672134983,0.09897365133691906,0.11495857140993032
CCL18,,0.039822012200818255,0.0014414296877379303,,,,,,,0.027844792206990286,0.021115450195566248,-0.020662435248905934,,
CCL17,,,,,,0.04616818937943972,,,-0.019276827297969628,,-0.02124375494736873,,0.14101795320921398,
VEGFD,,-0.0037339659361592292,-0.03209876463327525,0.02010977513734732,,0.009021534947292369,-0.015506863825414817,-0.01811280561785242,-0.020537829029501416,-0.024810533108130903,0.09400004755936008,,,
TNFSF13,,,-0.024222757835584537,,,-0.01245378316172494,,,,,0.10370513010689379,-0.016649344737564884,0.009143973994121408,0.02040623864899425
WNT5A,0.024254975425429755,0.00017691758950652437,0.02332389564023927,0.06654860242979951,0.09236378730569102,0.06582101718863273,-0.002112520912318403,0.1069762663388075,-0.00528095111722707,-0.018051740904006672,0.00767657435841504,-0.0518040184342232,0.040447158135871686,0.0023855703687232386
CXCL8,,-0.009625656917002698,0.06782598432456495,-0.016168405121986102,-0.09055380235108419,-0.04128355118167427,0.021509683573230128,0.08493252924558622,-0.0211584629844498,0.02112614034785749,-0.012160077001918741,-0.014028224481004468,-0.017954691597250026,0.04632151538583592
GRN,-0.039161377325846666,0.07202588160986867,0.04204806740590823,-0.020524280103624316,0.10222354087096881,0.014186393987646565,0.0037727569314825998,0.12123443222823634,-0.007799668795907708,0.016260211260836484,-0.012483159473911596,-0.01693201131057501,0.049143562086363064,-0.033792559777487456
