,UKF243,UKF248,UKF255,UKF275,ZH1019T1,ZH8811Bbulk,ZH881T1
BMP1,0.033210267793841924,0.006715875406647892,0.031997814301129364,0.06540702305689086,0.03958168105661474,-0.0692448180560538,-0.011715527145625695
NDP,0.05192266301576886,0.012519891431824243,-0.01846533841432379,-0.024138521166690262,0.01234415715279014,-0.021140071260834323,0.09123272355202022
TNFSF18,0.014328584780207475,0.09157861742479842,,-0.011674764661574738,0.14424635711206307,,
RTN4,-0.11002792635380909,-0.012316991309710413,0.07266187691793266,0.002101784370444261,-0.02390842295622767,0.06044203100915854,-0.016581212462731382
HEBP1,-0.05235996412785473,-0.007805190394611539,0.033040976084089055,-0.02708700699338136,-0.0018606095306248208,0.0057489059714455155,0.012406666634644604
WNT7B,-0.02485138359211041,-0.002463795535403859,-0.033945885224147994,-0.015975857006027074,,-0.009787006515264719,-0.02415945712353435
PTMA,-0.09548706534424894,0.04283750995451094,0.0760468456116954,0.018050708098778758,-0.07991826321129271,4.510523637375843e-05,0.016608180025937495
CEACAM1,,0.031111931224500164,,-0.01836162348633581,-0.03014970691426088,-0.01626885978769485,-0.01603498306079712
PDAP1,0.01179196699625656,-0.0023332662448416405,-0.016725023029418622,0.06138152425190829,-0.03576402911790781,-0.051215667860826646,-0.0008142709621484094
QDPR,0.11281386029195235,0.014383100020716506,0.12300522463960134,-0.024634387028572992,-0.009944056743908651,0.0027122838325044215,0.022021215513998698
POMC,0.03996169128881601,0.0024227145336280136,,-0.013546473694648937,0.016290652432616893,0.06870360637143073,0.01661499790951002
CCL18,-0.0033487425616880767,-0.009546540627483094,,,,-0.01957794459006026,-0.03225354846196061
CCL17,,,,-0.01456070453984554,,-0.023485120453345068,
VEGFD,-0.041595113699818755,-0.02116297974397375,,-0.015513199125871216,-0.04098786585445171,-0.01626885978769485,
TNFSF13,,0.0323933852805143,,,,-0.025527523002063124,-0.018006211272057714
WNT5A,-0.05223735154996871,0.024639894498718652,0.05175897412427956,-0.012492604930310595,0.04557333329997452,0.001967868805346725,0.03699982142856997
CXCL8,-0.07122963551015252,-0.018183617152513085,-0.11571609052610943,0.016878640227011854,0.11381200704475934,-0.043739586407235215,0.032521040744393444
GRN,0.08311509101051087,0.05120536123067134,0.05938700411326217,-0.04840481868184966,0.1113639212334613,-0.03109828870380591,0.03212836595962578
