,UKF259,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,0.19240997676954064,
BMP1,-0.011004546953940719,-0.0420614956289783,-0.03822522903155826,0.06581804616726784,0.028685554699960918
NDP,-0.03342264471547503,-0.013638069809278033,0.01802578467639786,0.03220228271111761,0.015922441240589787
TNFSF18,,,,0.013845809215539235,-0.027943147694126813
RTN4,0.00792964707656411,0.01993501239490228,0.025819636193759755,-0.03829835261329709,0.07608807620974889
HEBP1,0.03058108241472955,-0.02777958322091267,0.04038447534486761,0.02326676446591307,-0.012685393471574786
WNT7B,-0.012881711111525477,-0.02641605458519796,0.09201636131385042,0.05665398995174156,-0.006942717688807239
PTMA,0.02656305342762368,0.0003922547347893087,0.02015403162969343,0.08223508699399844,0.015804023956114258
FASLG,,,,0.07231980326365657,
CEACAM1,0.012492971780534354,0.0902948904421827,-0.02862111830220795,-0.025928575017243462,
PDAP1,0.013072752052820196,-0.08712548055596664,-0.008965923216197056,0.0020452385765636284,-0.00042928607049140007
QDPR,0.028537137297943004,0.009540139332804174,0.05979759075975835,0.02540519209017716,0.10579052879485482
POMC,-0.004037766260900937,0.04485002333690526,0.08218050342839224,0.040168895091819284,-0.019568218628554807
CCL18,,-0.002453527400803585,-0.03126211704642526,,
CCL17,-0.016496630936280652,-0.01840033984059652,-0.021088735189633525,-0.016890996623286463,
VEGFD,-0.018379068581359667,,0.07892134802641587,,
TNFSF13,-0.011379006814343985,-0.011153437982511843,-0.015578757389765486,0.11019464264925322,-0.030398158889391624
WNT5A,-0.05138555534990544,-0.03878222284412637,0.009545559699778846,0.0606858033016329,-0.008679901802191862
CXCL8,0.03543179302930815,-0.11368534046075747,-0.14722682212425564,0.03733777200266003,-0.03091057851381111
GRN,0.0060054251827951054,-0.09285497297993879,0.01155078899481377,0.037909218919581225,0.03917655861615774
MIA,0.00025238080152837234,0.10703913858173754,0.06544972427374193,0.12018931964177614,-0.05568482525619994
COL4A4,0.020325246511530053,0.1170468319515712,0.0007686951681074301,0.015505347419456668,-0.03397454538267577
TAC1,0.01730669640366914,,,-0.022204932610138485,0.04262022659930225
RARRES2,0.01649549753862988,-0.07257838996102357,-0.00023954096589877505,-0.010424112515009987,-0.008659656568513243
FGF7,0.04582346005914567,-0.0003095119725168491,0.031240641473374617,-0.045099029470934596,-0.0009973935992260649
EFNA2,,,-0.027202457532939612,,
HBEGF,0.06575220892005441,-0.003572326244435743,-0.023329628346008626,-0.05641966132310539,0.008544015146452932
CSF3,-0.019662545684689108,-0.08768851841493264,-0.05862452120939219,-0.01778361370053871,-0.03573733451487808
PI3,-0.03393161754449917,-0.13129234028756154,-0.10650176227449204,-0.03863788454480704,-0.04200497561699935
PCSK1N,0.0024751115879491957,-0.020209064339545633,-0.007777265843550825,-0.04745827801769663,0.0987953698808981
NTS,,-0.013176950210401463,-0.0199298355487535,0.00651139843507071,
