,MGH258,UKF269,UKF275,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH916bulk
IGFL3,,0.05825784362213715,,,,,
BMP1,0.08221864675107456,0.1012886164056802,0.04183791088429438,0.056629027882597716,0.011308279248596247,2.1565729545161723e-05,0.014304284619952964
NDP,-0.017975234213555517,0.016544844578240306,-0.043951770336089005,0.09517011522344736,0.057154887866692296,0.07715451152834331,0.023353742825483675
TNFSF18,-0.01927998321590006,0.021388708785883438,-0.012490943433128092,0.06764245065964943,,,0.13033896094650219
RTN4,-0.031146450105216106,-0.13440143053169024,0.008465255631987297,0.04452869581517064,-0.000707511840684189,-0.00740415312622062,-0.10435671744505862
HEBP1,-0.031142929795994683,0.0271742445038922,-0.04678055212200099,0.025827779437809673,0.07958132912275091,0.04282542128763854,-0.007779378796385257
WNT7B,-0.01698506134734137,-0.052635455283362526,-0.03580412659831777,0.014732629905889775,-0.05465996530490059,-0.03132425383673825,-0.017898982445753123
PTMA,-0.018539637705642407,-0.08738975986741633,-0.04038977594381071,0.0072812515593348,0.0004268491409734049,0.01222495609729597,-0.017376890076377296
FASLG,-0.0169850661489747,,,,,,
CEACAM1,0.13879078542223386,-0.009259512981490192,-0.019645278252425232,,0.011770774191646736,-0.015175142644200086,
PDAP1,0.04363341101091373,0.08092664441346001,0.04434688185097233,0.0063429294982132855,-0.13943116199499672,0.003352386632129357,0.06406134523929877
QDPR,-0.10277896366016755,-0.12222136043401033,0.011266717850291309,0.0574894856814856,0.10212994026989264,0.00461696370141066,0.006374028859633567
POMC,-0.004172426457703757,0.027698725012257668,-0.014493502999262525,-0.015752148149429813,0.10655735046007107,-0.03554994118548992,0.030468412064269316
CCL18,,,,,0.057872566491164776,0.04187967329441089,
CCL17,,,-0.01557863837309846,,,0.053282047463216756,
VEGFD,,0.01303920196475431,-0.01659772152717402,,-0.062407041069251004,-0.015175142644200086,
TNFSF13,,,,,,-0.023811367727344306,-0.025665216758463734
WNT5A,0.06128623900245553,0.07809053548303022,-0.011423935928702814,0.07455538505510598,0.06488617724835621,-0.007984215728732298,0.018886295485416458
CXCL8,,0.008163413966517773,0.040006472192344586,,-0.0685264888207545,0.02236837032707426,-0.047084913064077964
GRN,-0.009010854450093326,0.1449220881194724,0.04238737062974861,0.12125739102938636,0.08960593720839227,0.0315273534468033,-0.049437382329338746
MIA,-0.02223198659047734,0.03506193450806854,0.025443896567009266,0.03346457720388714,-0.03642210773050141,-0.031859446279116535,0.00017869522133390542
COL4A4,0.0768279684876658,-0.020008049171614792,-0.016264580443889794,,,-0.024297776142167857,-0.028684765899455032
TAC1,-0.016985056908099077,-0.1055979569011209,-0.005659295197742413,,,,-0.07146764151732955
RARRES2,0.08700527654846428,0.15102647707527747,0.022831553629851876,0.065998867442925,0.00826665648505365,0.023037144132259203,0.018085070882384598
FGF7,-0.004267942774465729,-0.019948797363628375,-0.03707719062059763,0.032628479390211323,0.05188726038404159,0.0637758450809144,-0.03751931460313513
EFNA2,,,,,,0.04135074022830837,
HBEGF,0.04257548775068939,0.08858415111327225,0.07360999531140056,0.022743274623824573,-0.04957450153868308,0.02036714762083326,0.0401863740416022
CSF3,,-0.002016446511241782,,,,-0.013324337561478074,-0.03017309173333391
PI3,,0.04460552818942317,,,0.05544973828676367,-0.011993848602876429,-0.017436260537069204
PCSK1N,0.024680580196260644,-0.038871402426913906,-0.01760176813559079,-0.022989235884685606,0.16559186281803603,-0.03133997876742882,-0.08295900087701037
NTS,,0.036251042611748774,0.011081646246865178,,,-0.01757163678353111,
SFRP1,0.013916311101521174,0.01256869502462671,-0.026113513706015192,0.05319970648207295,0.057582913086637655,-0.012965077743608553,0.0035538206496176666
CXCL13,,,,,,0.017643032968811923,-0.024474476076008604
MICA,0.030241781688435894,0.10183410438066125,0.0027932120315454652,0.08312041542902746,0.09301725584836225,0.08656229818049957,-0.0042601916260330995
TG,0.005031930632373671,0.03464587625889346,-0.015694888610799193,0.09921133165625039,-0.006892836454230776,0.11090481803949966,0.10121921207910894
ADA,0.062421713748429836,0.08497052900925364,-0.020164927516284185,0.032766451261769115,-0.0245626002650865,-0.03450141565101067,-0.03293787061315373
LAMC3,0.023194500443205784,0.06642278170210701,0.003635717721159505,0.019079486885853723,0.00809921383836744,-0.03904768593671186,-0.017866752292177823
CCL7,,,,,,,-0.05109287529404189
NGF,,,,,,-0.014229088702079512,-0.03419537378283598
TNFSF15,,,,0.00975016186055828,,,-0.03339394496610759
HMGB1,0.002000220101170435,0.1055908007408904,0.007210958505077044,-0.03950862358984324,-0.010920653891531722,0.019373263940435686,0.02119518236154909
