,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.076787419182289,,,,,,,,-0.002609125578879088,,,-0.014282055308779509,
BMP1,0.06658291133743408,0.011440552059413338,0.11849259376450136,-0.023293825728324166,-0.05016313206618254,-0.05733919784438381,0.07756653995440803,0.04068783285514032,-0.0037505212642199113,0.05364801864199397,0.061140590787957416,-0.04322250522344867,-0.0024946372692405414,0.06095708617612209,0.16330777028912138,0.18250369038069025,0.02257222108546364,0.18166529911029225,0.24544677067385834
NDP,0.030044221932417133,-0.03299304281715376,0.03823239085075529,0.05514498916560644,0.03438106968843897,0.024287739254990406,-0.032189716670629163,0.05069555196464729,0.007156174802892302,0.0324248218627023,0.05951116441638245,-0.18405685857105325,0.026363992306006112,0.056383182400747446,0.053886787579670824,-0.1131334633859564,0.0033113985233915993,0.05222771293181126,0.02957608966684832
TNFSF18,-0.012746544159014203,-0.01708490361464367,0.06994457176266643,,,0.017845678829547264,0.039260475919960965,,,,0.046810382915824976,,,,0.08277112361845615,,-0.02899473226137701,0.08453516159612653,0.06322719715932985
IL36G,,,,,,,,,,0.00781341077716463,,,,,,,,,
RTN4,-0.10311007567055709,-0.0011361945819364618,-0.04243355269484859,0.010521114310778784,0.08246328620634846,-0.010840030872875732,-0.09090474143736994,-0.026807045683493482,0.05396422809526467,-0.0030191675801472012,-0.06980909883792313,0.04158487129468063,-0.08709386444086173,-0.07547127657150801,-0.2204801581271962,-0.08175034659482554,0.059709790243176436,-0.10951470630421875,-0.21505966135661436
HEBP1,-0.016610541818133692,-0.016580438463489146,-0.008904159107219766,0.01477741559094799,0.003112592963609273,-0.042751359738360126,0.036166197366847154,-0.053038245939981986,-0.009031152654563586,-0.009847265537117773,-0.08672279697752214,0.10444929677030419,0.0012223707642519137,0.1057183671653583,0.04251003529171127,0.08346316520428598,0.010305321329192329,0.06341704286557724,0.056197843343594435
WNT7B,-0.03141503917142049,-0.03987635495523472,-0.03759489941269291,-0.020398486140621508,-0.03369068264087926,0.006676020180286907,-0.029675266216181044,0.01381905820784993,,-0.02459998842577283,,0.03367006678760028,0.07501298207599127,-0.02363793531448852,0.03163749719617657,-0.055059878926942384,-0.02899470219601773,-0.06336369865504939,0.037412976941651
PTMA,-0.06126970034254616,0.01872436922015856,0.07874334986768232,0.06450933973543796,-0.10853535572145424,-0.02762052672902669,-0.049198631024054564,-0.011371101138029218,0.021310128479607,-0.03834859091033552,0.014739238427570916,0.15638345774331494,-0.06985115151026063,-0.09185865671858416,-0.2158963657815911,0.012177121445200466,0.07749864897728348,0.1264446583046061,0.08576509678662134
FASLG,0.036808325151371585,,,,,,,,,,,,,,,,,0.06762316900163268,
CEACAM1,-0.06106249502455521,,0.041239037084729875,-0.035103530369073134,-0.005845443624382286,,0.025975755745446465,,,,-0.05416896199331179,-0.0476197247746525,0.015560492725560435,0.005610191856428991,0.059708343868590676,-0.07782110856341606,,0.029253109756808938,
PDAP1,0.08688856642410385,0.10793555900757777,0.026448613005910424,-0.009395421323733603,-0.04972346952514619,0.021808889170169293,0.07627039555388127,0.010376917831341006,0.019140162168766392,0.011404464652907701,-0.024002712718026526,0.014901052871967425,-0.014876950737795252,0.013990142610158249,0.01905609989194959,-0.10748348843838021,0.10778431668853976,-0.05084402126182828,-0.07583191930130585
QDPR,-0.2567195894891181,-0.0781351044707892,0.013667941762011413,0.013869267513357328,0.05062291673090745,0.010343960021715172,-0.05725955259684967,-0.02174677345822019,-0.022727399728747252,0.007159573541591227,-0.018794307806026447,0.10748159775694908,0.06810011376225115,0.09773372753567854,-0.1934622636970825,-0.11647358356172686,-0.12693221559344472,0.020691628322526464,-0.12881725743781472
POMC,-0.007204559683273066,-0.03225914926739977,0.040677610819687716,0.005618839418800302,0.04688487847303447,-0.051244403111275406,-0.003629787183023851,-0.037461482416625065,0.006933859320646707,-0.011618778697101578,0.03851732196198725,0.013965648769354322,0.06417601334413069,0.015959828926819776,0.03171738009473208,0.037009370895431236,,0.1724654973932878,0.0702613355663603
CCL18,,-0.022912260540222856,-0.03655537981501509,,,,,,0.09034579004936814,,,0.41589795414981323,0.10224987095713875,0.04195129422120093,,-0.006724184568452026,,,
CCL17,,,,-0.02034644037717229,,,,-5.032474527083354e-05,,0.06419619627102577,,,-0.037170265987059345,-0.054931627373270946,0.01862385404496583,,,0.022875700658186945,
VEGFD,,-0.02581542072439828,0.012230086144762363,-0.0095423231662311,-0.004480743218240265,,0.014647352975438432,-0.038762398028128524,0.01737400445378433,-0.021912882159342596,0.02400651151140645,,,-0.01696518109458657,0.020676360847969578,,,,
TNFSF13,,,-0.0153605662217509,-0.014034519205391543,,-0.018837218175177323,,,,,,,0.1107488823457482,0.07943215344850083,0.08188294629202411,0.023724894767482026,,0.034139972357526055,0.0404221075982941
WNT5A,0.08773816100160997,0.0015225212610370836,0.075521381328023,0.00822475046624579,-0.12307680283247315,-0.0409895848969792,0.09340552990422388,-0.035814467931465775,0.024123394292052437,-0.023481281707964492,0.00793102079080615,-0.01918786553337119,0.019826739103887197,0.03463167046891682,0.0005558404906258565,0.12938290467467023,0.035003249384821,0.2695790420180368,0.19576547616691142
CXCL8,,0.021301698731257018,-0.0793107259076654,-0.03718195364635776,-0.006167484525446286,-0.02679472108812517,0.0058648433780629896,0.003566721540934723,0.03974395752951394,-0.006396393320569248,0.09264105955047287,-0.05944537270935925,-0.1942081906361063,-0.2029176682518355,0.0064072190592676485,0.03743882950203312,0.17892638013327425,0.0075715099002326754,0.12192452529261304
GRN,-0.19849975767436345,0.09970180425546785,0.105005326910594,-0.01705694451223078,-0.009676427634273259,-0.045132739971702814,0.08083643982626784,0.0315330847829199,0.003093129870660676,0.04186840384778784,0.055477425823583275,-0.012224231564167222,0.13846356324223205,0.028622221180842507,0.1911290601358295,0.18653725458800025,0.04217934877766551,0.28288421626459676,0.16387725124668723
MIA,-0.020480636930881882,-0.04877659114404362,-0.026120590224597555,-0.005421735935786521,0.03878079659741607,-0.022394962091226277,0.012895659698317475,0.000274567023602114,,0.0053634647017647115,-0.10543038544932712,0.016142709754306667,0.13349959062222916,0.16384120349725836,0.1100382593036636,0.034589956515877866,,0.006443121598062418,0.15010089549683955
COL4A4,0.10705932516519799,-0.02598772629121151,0.003250560092114356,-0.0063281088070873525,-0.036557691196514704,0.023152204376702384,-0.016558211291257563,-0.013570306695668657,,0.0663854420870213,0.03585077691266307,-0.04268719352231873,0.05367568770988977,-0.021179565164166518,-0.018756531992978897,0.055122523083809924,,0.1970418237159752,0.13306031562532553
