,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk,ZH916inf
DCN,0.15062535654092737,0.1455309955665091,0.03231526826576047,0.033518247883296805,0.08761043193311244,0.034579316275789036,0.09632002552554966,-0.007993201147861877,0.031282777051786975,0.009066311867556928,-0.04916726239902793,-0.07015544109850523,0.012150552592087195,0.04800849698848854,0.11295081732289503,0.010264889832794425,0.043518768656010856,-0.005818441812484002,0.07087727124828311,0.07548428677555044,-0.17282976364524974
RARRES2,0.03645310356148072,0.036132330814357565,0.0065535271658012165,-0.012689816255978127,-0.002780860501866571,0.05399913406403473,0.10122423290973631,-0.00807230785318553,0.029379988642710464,0.10244422551678264,0.04053706821312398,0.0873932289399025,0.01014187894129889,-0.005953714996455981,-0.11338485337122811,-0.03123236443949183,-0.019261950976694298,0.09860965741469409,0.04281732213146795,-0.05175497039468104,0.058986919535907824
SEMA4A,0.10743984609746149,-0.048137101749206976,0.011571659836149172,0.09078386536607282,-0.042989162624710885,-0.16981662970115544,-0.026199518466462356,-0.04354147231129795,-0.046199279703064415,-0.09538364903290909,-0.01206969141507041,-0.060659115618371576,-0.01622505265134921,0.10125175114243094,-0.008733038997006594,0.09539977348777597,0.02845438674833476,-0.014407367360749027,0.06639396153853191,-0.02043072415001936,-0.15601818025256559
GDF11,0.07413301456552239,0.04540549739216222,0.05048396617175589,0.008264070207161718,-0.015219824231506895,0.11895212733602026,0.099001658407486,0.05716211809360003,0.027023300829620754,-0.041754815664570975,0.04807370380782347,0.034374261843810795,0.08665642065303276,0.03612372455694573,-0.009931408991033553,0.10693774700988887,0.02170192837922824,0.03493649747092924,0.15004171248817386,-0.06284956654212498,0.032770496352641953
GPC3,0.021902058915734077,0.053804638474811706,0.009662894748114215,-0.03238230589689388,0.07152878468455175,0.14366471133667197,-0.027182709510203053,-0.0288635858523337,-0.009201455882271507,-0.003924640195518943,-0.022516550412899357,,0.01733595820390277,,-0.012906679840815182,0.0053758213634878755,0.0763525430627172,-0.03803109370834315,0.12829896655159437,0.06246425914655469,
OSTN,,,,0.006292322541972548,-0.018334174392398782,,-0.02084271996267841,-0.039777884698860046,-0.02577477861800098,,,,,,,,,,,-0.016288628145191372,
GRN,0.029467351329816184,0.11083433182807716,-0.0527182013973412,-0.010368723449020359,0.006938414590407344,-0.007580625266296404,0.08575977030292721,0.029493455629095833,0.020222729289630238,0.1986326178727237,-0.01259109473648021,0.024435226546114613,0.08643407659286341,0.11690193915121669,0.08156344449649973,0.09513256503985686,0.10896366824114934,0.0703535914363091,0.04231511806163648,0.057989568659917105,-0.08633705112523202
CALM1,0.24661752222494113,0.030830312150343566,0.015881151412099163,-0.07248831869046186,0.05241657371668522,-0.13712045788996258,-0.10937871691095241,-0.025407780788046237,-0.013496300411734666,-0.26711996799650034,-0.001964543379275822,-0.09222025294465552,-0.03651989316226374,0.016007958277080004,0.02277913083460576,0.001724019178889194,0.026122611762482845,-0.05187405215144709,0.09144547369012879,-0.013131455563233868,-0.14572349368600288
ANGPTL4,-0.33363100555070496,-0.049866709862945786,-0.03943585784837897,-0.011466441971602716,-0.03195491447093426,0.0797451278336449,0.05576719202170981,-0.03630129536189249,0.01496892754311292,0.08814405963272766,-0.04402605266859353,0.026298568413165788,0.055006072050552794,-0.07744507602791599,-0.26848256793962094,-1.2696262447256439e-05,-0.08379413953967935,0.08472460911232646,-0.052818519347069284,-0.052203420569352954,0.0986478781261435
BMP8B,0.06190356376663063,-0.013323707160376648,0.10371587480165907,-0.00890653102535487,0.012418702484850877,0.08668040169560662,-0.03459841738995666,-0.011717014847730781,-0.013901600182268818,0.13386004174202884,0.04855223358065666,0.0019645348824726995,0.07040536198719197,0.010394028234918683,-0.01696268572997041,0.026006926815961357,-0.03998894611005224,0.03388139892877872,0.05137468717293685,0.028519115813480815,-0.05324817780235271
TNFSF4,0.055139768792577,0.006265225635261569,-0.003718214966250775,0.04805400995848911,-0.028108342637542083,-0.03110397573890441,-0.031918982738864725,0.0037004195581588103,-0.018815482607697432,0.007727623110731636,0.030627110873299997,-0.03256982138581069,-0.024346687967045304,0.10622925769430436,0.027358466002176562,0.027620880201906995,0.08963194470728932,0.0006057374585004668,0.09089927463297007,0.03508993007908784,0.16424423605460617
RBP4,-0.026709901095268156,0.04469934023574032,0.047546907365969865,0.029935132804772016,-0.0565809932263818,-0.028780170450299666,-0.03808746071960279,-0.0453854803012784,-0.054129861079463375,-0.10869566260906605,0.02931550844610552,-0.1004047737697045,0.029543151467064734,-0.052519470411301866,,-0.034904413453497034,0.09666409875916805,0.04534871011761384,0.04118670436164892,-0.0022858758299018353,-0.08316045453030733
DKK3,0.2512344468393232,0.06462451716387803,-0.04311789944402424,-0.04016822405642725,0.011095534029794274,-0.13798432756071713,-0.07983480269891169,-0.05663298308310144,-0.09645182305326573,-0.2717449749179838,0.059732599087425904,-0.08331737806492973,0.012777235801962574,0.06436537716099804,-0.131087252073272,0.06447032742921548,-0.01689662823872494,-0.04324692796596831,0.2041153090330472,0.0022372275258656085,-0.19830190162978295
COL11A1,,0.05717991527690429,0.05401731581666754,-0.03411036539809181,0.03244747304187105,0.13789882579515395,-0.036558619297951025,-0.008986065308319387,-0.013682136321270582,-0.023531256887523465,-0.0301282268607511,-0.0159357534916768,0.10245289229668057,0.026530214413858753,,0.025816610829684825,0.026815454795956286,-0.07586391066122222,0.02088775570276354,0.025501470062996485,0.00875333181763708
