,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.026360768695931645,0.036281691173122105,0.001986430695936069,0.01699720044534169,0.008209071036233197,-0.023873131656125812,0.06663333665536485,-0.00937982083446041,0.012490883877022144,0.036106305874833045,-0.010096612276133055,0.024709827102966972,-0.02720667405999899,-0.002116602421945152,-0.04467673612025667,0.06790246725782752,0.009189221048047857,-0.006094203838072,0.030556830570271785,-0.03561512543376371,0.030141259723694882,-0.12008627696442764,0.00940204599407987,-0.07817059770321819
RARRES2,-0.01606357035682986,0.12630096168250407,-0.06262170806454646,0.046640754222174605,-0.022920664817031023,0.027809454224307417,-0.10938101617899473,0.08155391295665085,-0.0214122719532566,-0.048825612893778736,0.013912816918452071,0.03904535525876169,0.07746248220610936,0.06394285880144544,-0.03872841784754139,-0.10275872756237692,-0.00043690124504012964,0.02492437113490934,0.054438314927934106,0.05549377357440576,0.02996645809028527,0.08275089703902139,0.023356989961005038,0.0923036333510191
SEMA4A,0.019361107433774668,-0.02133778963376878,0.031191458036674235,0.022497260889645664,0.0024448635069596876,-0.029603681559758996,0.07643902315064595,-0.02898720784705793,0.07753733463247527,0.013329992228873114,0.06182493952256329,-0.10372094896101319,0.026617055834396185,0.03426110375820084,0.043101782020931234,-0.0007830812017782685,0.07153725181970656,0.07677062541447587,0.05192000786798331,0.049504702418559726,0.07221901896209793,0.02057220623322512,-0.029199965267408003,0.05258457292654157
GDF11,-0.06040513731566827,0.019399182452851133,-0.0015760418508608467,0.046052798918653104,0.04490582107434611,0.01574480967811485,0.06334848530631867,0.18114518598416152,-0.026696071170743907,0.06604005551453393,0.0532993437850389,-0.037471886240167465,0.03430905055196852,-0.008125279093527168,0.037037788814770975,-0.0070081164529766544,-0.0007720125660830259,-0.021242155316095787,0.06375427508015402,0.044128276474313916,-0.05539606476994869,0.0675659574251202,0.021708980311029427,0.04234672227291002
GPC3,0.06318090295225585,0.028100912194862764,0.008236340487590386,-0.021898086920159265,0.05467245700855856,-0.007737848320791889,0.017432779532264433,0.15384117691755622,-0.03296071111087854,0.0437476525211627,0.04642622560566641,-0.05263658509788179,0.03424837497516185,,,-0.007133697898437698,0.0721996266841607,0.13339595807534,0.03502784087271381,0.011819714361415401,,0.05209506216142654,0.004759633252918772,
OSTN,,,,,0.02058516314279859,0.040150629376396595,0.014825759187345482,,-0.009687046661642865,0.02996644681462681,0.010156815842329888,,,,,,,,0.01620201695735404,,,,0.031518397152688296,
GRN,0.03217762386378819,-0.014730237941489272,0.0019821092214426664,0.010065499991400719,0.04323495403334352,-0.003272315753855633,0.04190402328884704,0.038150963037757925,-0.060045258373601626,0.01678723236099489,-0.06773556837761921,-0.004620004550830219,0.01155979508042413,0.038069545184592615,-0.039570286858537036,0.03795575240346321,0.07440095856209816,-0.04868664099812906,0.007574532281662322,-0.032950099161517324,-0.030736582707556605,-0.03914124982399291,0.00870860738323138,0.06005458499125025
CALM1,0.0116104475974764,0.01398410581070407,-0.08369842904704389,-0.06342396856574058,0.020044354817330936,0.009378817704669555,0.09425926501690336,-0.10346352017701847,0.03172397275843863,0.0010325053228623657,0.1054776633121171,0.01857278665996241,0.08624683385927526,-0.0014701123030963147,0.03214704079627144,-0.057522622728398816,0.00029613825888992983,0.023099742717701346,-0.06476975343634693,0.05992192654990911,-0.08565583947246011,0.07297455297414326,-0.1030391703753315,-0.09980437969442463
ANGPTL4,0.01687263854885181,0.014182118665665454,0.01675916460622381,-0.03184525330101648,-0.05963115168867755,0.036854893871770614,-0.10323799433035234,0.024407934600131683,-0.03447022859882994,0.0029706052854727083,0.036502876213214935,-0.02636328455361093,-0.0924493400942528,0.010111811465381362,0.08342791739517824,-0.1314183692557134,-0.03590786150032826,-0.12745717799585557,0.042874309712297956,-0.004794655016748324,-0.017220745180504288,0.12461207630894612,0.05628761549705995,0.07208574046889757
BMP8B,0.04876598147202537,0.04261935877521073,-0.004917624593653674,-0.0030873470168389463,0.1754007019446743,0.019040613943454368,0.021843640577904888,0.10611006496104028,0.035364077879475014,-0.028406662409151746,-0.01425364418424607,0.08177403159679981,0.07499484696503834,0.06911876580849681,0.04411537721518019,0.030261343897246853,0.022895602931504687,-0.030058037295887383,-0.016724603031079855,-0.015601986798151916,0.08857699343420229,0.03996391486229671,0.01564321085513266,0.016755332075638795
