,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881inf,ZH916bulk
IGFL3,,,,,-0.013421980151256072,,,,,,
BMP1,-0.004910295580534966,0.020144435129575217,-0.044323241297991915,-0.05049374094753689,-0.09838239306449378,-0.03201844994874911,0.03739198817387341,-0.06283897678384302,-0.11975048072181947,-0.08133285328395903,-0.05923283513594549
NDP,-0.0009060303058423737,-0.05978159861571049,0.11793433601543006,0.08596836168832826,-0.017671162725085655,0.023960385519513096,-0.0170953380624986,0.0373886723059827,-0.008431166007373744,0.040548461868211615,0.069531913819445
TNFSF18,0.019390864286501656,,,-0.007858121935796367,-0.01993123758572938,-0.015129093225317206,,,,0.18614320027054831,-0.04931742462523927
IL36G,,,,,,,,,-0.015968593069512958,,
RTN4,-0.00823253301926319,0.06739979468824848,0.15088070671960868,0.1325531455903537,0.12978701232490675,0.0952930163430767,-0.02186508041065805,0.15502286980745247,0.10797469966495586,-0.12193379014601355,0.09648863294103285
HEBP1,0.028210687671119224,0.038720682128240085,0.01663901916763229,0.02208590674169267,-0.03805252563703054,0.013329994430457008,0.01325716557000165,-0.09323005424017101,0.012597278083518583,0.05381479652260286,0.05102075786484122
WNT7B,-0.01701862111464933,0.07304077250415929,-0.027774270469952005,-0.08186623000132039,0.034291117132808135,-0.013750297954712483,-0.028304213775354924,,0.06008707416787276,-0.03642665947040971,0.01686750138596949
PTMA,0.010770351347251905,-0.010300326581904877,-0.07674504206087598,-0.1489712944573562,-0.05033404232320924,0.054730791749340944,-0.028071690607759547,-0.20577660874640588,-0.093250089751031,-0.012763178958320005,-0.16245064907349313
CEACAM1,-0.013060768104359263,0.021511470734452007,-0.014562082928281274,,-0.026228373464408827,0.06173963839057548,,,,,
PDAP1,-0.011641681723185929,-0.02545351394028351,-0.04670644632496474,-0.03500129460255219,-0.09113649854065678,-0.02993416859962522,0.009166036124376272,0.0006383183284176968,-0.03734777797248178,-0.044791946809709125,0.012660687302726657
QDPR,-0.008055173055624414,0.0023944457755106937,0.07686460442904436,0.09361886825278386,0.08827990535855201,-0.003013134813463997,-0.0029236497941647383,-0.1890871665195667,0.024913543874641023,-0.024435342008214685,0.06574758299868937
POMC,0.06071191196822007,0.01400399992441785,0.15043311099725185,0.024540520610622684,-0.03380982748994407,0.01420522489334449,-0.037502221391901354,0.030427328342114337,-0.003461392596673509,,-0.042315909271536646
CCL18,,,,,,,,-0.08309645349750802,,,
CCL17,,-0.022722722270924124,,,,0.025772693087380057,0.009233114734680583,,-0.01458776311720362,,
VEGFD,-0.0007174694360121592,-0.02531562187367821,-0.013932176467459617,,-0.022485417115838843,-0.006101809854254944,0.05191436466862104,0.08771255045043758,-0.01563415756440673,,
TNFSF13,,-0.015673625272942374,,-0.007965317786275893,,,,,,,-0.03288691362761174
WNT5A,0.008379006724840628,0.032645489213231,-0.0440373026226892,-0.09661832682502386,-0.07914754666940425,-0.04077436065303032,0.018985819734990833,0.06679254041760661,-0.053402383427366924,0.00993576513612053,-0.0620868069456071
