,MGH258,UKF251,UKF260,UKF269,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.01649411881426715,,,,,,0.04616246298955945,,,0.09903766745726765,,
BMP1,0.015151284722957572,0.021336941280755996,0.02043058641553794,0.0014090177731802432,0.05265082117621599,-0.015560169491759375,0.027069385151093032,0.11538225715131431,-0.015451740243168333,0.03659371917865605,-0.04279253999261322,0.0017296373015527227,-0.028291738708045387,0.0594204021621216,0.16914643999568574
NDP,-0.03221209504170797,0.038388388716372644,-0.05021804035967622,0.044459708633483586,0.013138762782989581,0.039621925029491904,0.029478672377808303,0.004511754021409901,-0.031049496381064134,-0.035330610179081755,0.06346925237152211,0.10677343375268558,0.07167980627457404,0.0010611481892206863,0.05843778300200741
TNFSF18,0.051918403983296287,-0.02528979954525549,,0.0075330607159219765,,,,-0.04602617860543044,,-0.011631351522631094,,-0.03597300558599354,0.011687828732759439,-0.030335003384406027,
IL36G,,,,,,,-0.021998694103371654,,,,,,,,
RTN4,0.04709836096613437,0.021002874572576675,0.041026399793026844,-0.025930265654378195,-0.016308374073749635,-0.05815269114461418,-0.01733483724360645,0.036364453555260676,0.01696145042503827,-0.001770840842886774,0.01684117797380358,0.05694605314052108,0.01623518097324505,-0.10058934670192546,0.06021698548726867
HEBP1,-0.044135415217882966,-0.0013739654057458184,-0.024902794984383723,0.034937967505440835,0.040051019560162944,0.028597951859678266,-0.030492460963829137,0.010207423499289079,0.08569382132061669,-0.047422469731621134,-0.005811750864921001,1.7964956942565302e-05,0.040750749404424795,0.08107299818078788,0.06421500297813146
WNT7B,0.04659395723456512,0.024676489184499103,-0.03170767576425324,-0.06826864835533666,-0.01305482175440377,,0.04518458150573966,,0.03600960073822582,-0.045786752943287407,0.006024287203727992,0.07873660930439746,-0.03527772391058913,0.07753121545550115,-0.04797047530343953
PTMA,0.04656257393576066,-0.004793371304663948,-0.007238307957557439,0.03619445888215812,-0.008534047648580555,0.02037730766188055,0.07897719897773157,-0.06519254564371565,-0.012969150558558852,0.019972675505222307,-0.008205005511689203,0.10066290618704474,-0.09238154590791632,0.016390071877133223,-0.05742076654350346
FASLG,-0.025435273472547378,,,,,,,,,,,,-0.020864248085729713,,
CEACAM1,0.02032451967246305,0.04080521898560223,-0.018242960832514324,0.005651229442677693,,,,-0.03236421486362315,0.13382912899875435,-0.027114076432686936,-0.016034982149125996,,0.13273412545833937,,
PDAP1,0.013009802309996427,-0.030150621130465335,0.02882817750185601,0.019566075300607316,0.03504832903022503,-0.025242032181324443,-0.0026475300374449898,0.00013309597724937237,0.029220340759174956,0.05555002813059173,-0.005181052654859047,-0.03337928396841224,0.023609395634368403,-0.03295023885466321,0.05446162764786094
QDPR,0.13215083482901624,0.002541956895739166,-0.05272712058393057,0.07995464208783382,-0.061143861033475175,0.09235189439561237,0.009473976790367628,-0.02305225198066884,0.07489482284224923,0.04948654759616385,0.020141768684676598,0.07106934763730277,0.059508284524639306,-0.14450469072619254,0.08550486247073324
POMC,0.054461483982791624,0.03833315434821381,0.03816382361671347,-0.0019531628140355586,-0.02653154348916221,-0.052448959907587876,-0.047132437901412236,-0.026400545077711182,0.007752307706112923,0.012933782076191686,-0.026231124350413554,,0.01313928972175977,0.018067413040785046,-0.053615478756130396
CCL18,,,,,,-0.012342754921821863,,,0.005437623744095855,,0.05429232227768507,,,,
CCL17,,,,,0.019628954027836727,,-0.020096431606143845,,,-0.002493210098113928,,,-0.018911097425319906,,
VEGFD,,-0.01726765295281577,0.025661481284569083,0.0014871070421193897,-0.011852242223369343,-0.03474593338033678,-0.02153796820584818,-0.021394301281458614,,0.05011157009420874,,,,,
TNFSF13,,,,,,,,,,0.04279940503781616,-0.018006210248312143,,-0.03081405480939213,0.02739617365171278,
WNT5A,-0.01545229592050752,0.020389819985650322,-0.022176600613024317,0.014992394220051667,0.0379515528129777,0.04502412134297639,0.05316990252976288,0.022098181563703145,0.103986212839793,0.03016878159547067,0.05686000559568109,0.16821100671417571,0.007007786879181909,0.0856706563126883,0.04953142131614484
CXCL8,,0.023774389514765914,0.07340993283307014,-0.022275419797349236,-0.011037323311026444,-0.038946180461253366,0.011668968955413219,-0.038153255105412835,-0.042663934578358,-0.04153380086123819,-0.024473721924840618,-0.027221669837353767,0.0004444952663305477,0.08229861863258967,0.06496687890622993
GRN,0.05691208339032393,-0.04320045596974597,0.028023018017014067,0.031719488808064154,0.06801464374078882,0.07767111927420349,-0.0011700435445544857,0.015500319588035815,-0.030195964550323064,0.0053684826490240315,-0.0203769145180071,0.021446253544715885,-0.059180550720969824,-0.11431004400525396,0.017632527273743002
MIA,0.050571859214338696,-0.015356642960508524,0.012268934913189674,0.004952052403136062,0.13672919363077796,,0.007494285088665204,0.07271854173281077,0.1414467844390508,0.06608698674163825,-0.02467450250885185,,-0.010251147122472104,0.15669965172500916,
COL4A4,-0.02945714595277384,-0.0009756224269415394,-0.010954413735423848,-0.016253729812734603,-0.02264436952632299,,-0.0286134117765365,-0.006921940857721692,-0.030636592030033286,-0.05478914851558407,0.059501793669368724,,-0.04071056509771115,-0.02229721076980724,
