,MGH258,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.01911033577723094,,,,,-0.027914081069801637,,
BMP1,0.024536704523001555,0.07898917108129505,0.0361352014826625,-0.03841942618007657,0.059182108102988046,0.08341871578848245,0.06516724622337534,0.03777739029626187,-0.030826135859896017,-0.058573668309287945,-0.04069123938631335,0.04807742482991669,0.08459522075333889
NDP,0.08114860569844648,0.059494580115288145,0.044035814149292286,0.0007683353950702979,0.059460417520836806,0.0049860431692454596,0.03071041822036859,0.016253315635191442,0.06591413386808881,0.08325287664832777,0.012880562350575366,-0.011376522970154984,-0.01371271060040241
TNFSF18,-0.0034239945876960096,-0.023357430914575227,0.026011230277273322,,0.015784768477781784,-0.015054488533533873,0.07388073330182252,,,,-0.011711721965925218,,0.0069588762099151635
IL36G,,,,,,,,-0.01471457301738617,,,,,
RTN4,-0.009911348902484702,-0.0451158507063012,0.011143465756536,-0.017933404421113824,-0.1771015165927796,-0.1107388398563168,0.030432697529079553,-0.03156092259997878,-0.02110677369510263,-0.027496175687899707,-0.02872102895773422,0.0038245255975026286,-0.06486657421653509
HEBP1,-0.006208212140066374,0.028874825600347216,0.04968709875389827,0.005867150485463983,0.07358562280212046,0.02615639726988625,0.04146566598943644,0.021085239610032,0.0011612649764537206,0.08100146786930444,-0.07168465976455243,0.02335321537059041,0.032759743285402994
WNT7B,0.0228136471555743,0.08133852557040014,0.010012277218513568,0.04536946949777213,-0.042584546472195395,0.028441185766311394,-0.039782488672223754,-0.01617301147409475,-0.01735881327012024,0.08242901921754661,-0.024510595065954863,-0.0362551592372549,0.027423315482957452
PTMA,0.018199795666903513,-0.09510366461682282,0.07097081210134296,-0.01380745545552395,0.17834625989007133,-0.08020041391601086,-0.02889892170506676,0.07324082293711658,-0.014669304168067429,-0.030915032417469214,-0.10980319365881817,0.03615574103259574,-0.035142846618178604
FASLG,0.019586622273028743,,,,,,,,,,,,
CEACAM1,0.055567185141332,,-0.006220131122022046,-0.014343782285972643,,-0.016479084943035793,-0.037471666454905884,,-0.02500124001981902,0.03189981241544617,-0.016481217560132738,-0.024063076469941685,
PDAP1,0.03363672162162827,0.034347678790536317,0.035913722022742546,-0.02141543201908545,0.07185700764122664,0.10240390809613747,0.05341527316359624,0.087683663190364,-0.016278807270469743,-0.040946120910169685,0.04432612921610167,0.02637820037478804,-0.004132238610964687
QDPR,-0.06746990379296708,0.07409735305221445,-0.03648383822467412,0.010246350981906573,-0.0034356520321667428,-0.12879669800983973,0.01133068822596203,0.025351771090381052,0.03355043819949846,0.11466189473759146,-0.04683655115155087,-0.026398973465669138,-0.04453313315549592
POMC,-0.046039226061692515,0.15889109000068521,0.008990874276443822,-0.0019107090383275167,0.016054133134778888,-0.023355564144013567,0.00276520272363883,0.010555997705686491,0.09878700974351212,0.036338259546824875,0.06182809276817609,-0.019132607536364414,0.05613084761737483
CCL18,,-0.03132423540313693,-0.0923964005298661,,,,,,-0.04454149690865837,0.054775398375365256,,-0.029358392674896,
CCL17,,,,,,,0.008166521715159006,-0.013442180197968591,-0.037746473566065496,0.02169464414840851,-0.03680310343310731,,
VEGFD,,0.06437516670921252,0.0015993207247254739,-0.01372331877267909,,0.05487744640720264,-0.022426038892511786,-0.014406400867337004,,-0.013689402406898253,0.028354208690857523,,
TNFSF13,,,0.015679121451851075,,-0.02010114901116198,,,,-0.02242771080026678,0.1457596547379142,-0.011950272659869074,-0.027021222107353547,0.16220629098536846
WNT5A,-0.0011488371411471888,0.04414570966470387,0.03526151673898515,0.06864629413445159,0.16178988675361378,0.040325235541288904,-0.027496497375039015,-0.028897011439974862,-0.05882461821702712,-0.01042976908645908,-0.01316827984982794,0.020057723648914703,0.021434899878992764
CXCL8,,-0.10302384630158373,-0.11239791883023015,-0.0278058452016678,-0.015860185929454703,0.03076303212630842,0.004184664750741728,0.053515600075798635,-0.16215226734075258,-0.10808277240541687,0.04076348367696652,-0.024521753793804352,-0.04304823531871305
GRN,-0.011848395633166876,0.06678071923688213,0.06986873199607667,-0.04141402676248616,0.10012581804163581,0.052866507725638695,0.03754228951504586,0.0005214168223830988,0.020217543289843525,-0.014476735419958404,0.0083064177080824,-0.022872612550142307,0.043778267186039076
MIA,0.0422252323851433,0.053438261340988086,-0.0033032755617420527,-0.030642160363054102,0.04511682879318308,-0.03242497526928211,-0.047526599332385046,-0.019730226198021786,0.0853212614765677,0.12614118751535036,-0.04325399893612282,-0.00021673860726972537,0.18067006125000312
COL4A4,-0.03968254510952243,0.033529193887065836,0.007321419866649141,-0.00275222592281782,-0.019125355206998124,-0.018831817440594093,0.03407046190647444,-0.01913905138568445,0.11333178285869555,0.08424987258825958,0.010958723976236746,0.04684499658797549,-0.03246784852621722
TAC1,-0.00539955329147358,0.02057276260108866,0.07826246701648469,0.048930291118575706,-0.09959738374363464,-0.06059130983696243,0.04936974617376704,-0.033918404519256214,,,,-0.005272453270512418,0.013578619454902489
RARRES2,0.04654075515751061,-0.04188923772747467,0.06382512990192661,-0.04351855855209928,0.11010095371217977,0.07732563494400505,-0.0533755592574696,0.03267352022635417,-0.06640320230923091,-0.05584989598310749,0.002121857805674025,-0.010825142932328388,-0.11137895067671072
FGF7,-0.02280659436626368,0.07435658801650152,,-0.026276164324697444,0.03489522874748066,0.012358271782470905,-0.02374916418945711,-0.02020734943893502,-0.023512181653758905,0.040224527526649546,0.0052473456400928525,0.02676063245108018,0.013419291139118673
EFNA2,,,,,,,,,,-0.0411189251748192,,,
HBEGF,0.034672459198674094,0.041582219889012624,0.007796540603640005,-0.034936754635579166,0.10582872706087247,0.006970586430328715,-0.06105746151223807,0.030558914739878765,-0.004233385463941753,0.047017238440972116,0.025270845598193613,0.024348760288040627,0.04720242738345411
CSF3,,-0.03552879516304177,,-0.04572248187768248,,-0.01992370038467301,,,-0.046235066201146494,-0.06767668504490984,,-0.034497707103804336,-0.036179352209058435
PI3,,-0.0420891559594939,-0.057753730223577916,-0.042097612332233664,,-0.02243434959752347,,,-0.09580986533112018,-0.14872987916541436,-0.031270238816987476,-0.04078649724161211,-0.043569684646127836
PCSK1N,-0.018199879162437343,-0.001941407185313132,0.06255478060399217,0.035778927079663715,-0.027883175738152802,-0.02633854581106249,-0.05093236030554004,-0.062098480017349765,-0.032936198238443605,-0.04497904858712181,0.07867738656381737,-0.013012100527498793,0.022536682009135663
NTS,,,,-0.04597144285242528,0.007851782066255884,-0.024488624421874192,0.029307513058372998,,-0.031152967739474867,-0.012469475572858452,,0.039857249530585344,
SFRP1,-0.028760811274352076,0.01030074118509741,-0.020659494179674213,-0.015655930158813187,0.080289854616467,0.03969899070905245,-0.002239640537610481,-0.03838337783799817,0.003064000493014153,0.09125671334548026,-0.030463185794502298,0.0002606075138507721,-0.0006370897186987717
CXCL13,,,,-0.015515226722745178,,,,,0.07364422948675453,-0.03957905840525877,,-0.03406162902332038,-0.02072628815914781
MICA,0.04102043343451414,-0.024978949192513304,0.030729459704223423,0.03897741265293041,0.07924925774409794,0.05099713855888219,0.05286087511999821,0.028810992347891046,0.010957748152724565,0.039354761067049125,0.021239410749850047,0.002456379856182665,0.029099481778835663
TG,-0.0017650782378516826,0.054224078255298666,0.08928779638546858,0.02519532433558744,-0.026949415881473694,-0.02404612383116503,-0.011454690908182658,0.048216283957733586,0.09260185364236465,0.039202883248138566,,-0.028392143058235245,0.028003791158529856
ADA,-0.02802285659507071,0.11322979078644128,0.01403748206423565,0.04591682320754919,0.07947277089085715,0.07525102343501466,0.06523406812039839,0.07748359317883832,0.025800477982600784,0.07372554353570954,0.04870800818379733,0.06518620250541358,0.037518741768913275
