,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.034617030220083896,,,,,,,,-0.024031211279533997,,-0.0015431250448896016,
BMP1,0.02570361995903394,0.025781431068508286,0.019386138584900056,0.06239598517285705,-0.02811529610887844,-0.03106225323453898,0.01840305833617095,-0.002394729634222698,0.07334954165359539,0.026168562301400414,-0.022362502542085987,0.028950219509192878,0.056472063623520474,0.00295629615903629,0.08913178895960483,0.0061017555690693615,0.08348250432920815,-0.021978140643387444,-0.018392713979961738,0.12168713573433694
NDP,-0.04763696394063222,0.06194317904659131,0.026424884963931167,-0.025962579536799476,-0.01674395846243929,0.000788267858961629,0.013588478752158708,0.08353810757594446,0.006944557135521792,0.009243781457555323,0.010499044713161852,0.06952448026985053,-0.11822006710462202,-0.05313195712422941,0.05446580380892449,0.03893137372415722,-0.01306721838614998,0.006956784847307269,0.017976819756826978,0.05910060956183997
TNFSF18,-0.019279987219288242,-0.021812098187535236,0.06993434200638184,-0.027734216376985768,,,,-0.013800793168964392,0.01328917257592699,-0.023078298729960717,,,,0.03661624984661493,,,-0.024782964016794584,,-0.03563087144803745,-0.009915717416875773
IL36G,,,,,,,,,,,,-0.027139985978930612,,,,,,,,
RTN4,-0.029623742810144744,0.026864671319457235,0.006522693170922768,-0.06998878379925023,0.019786601284755376,-0.02430521378023104,0.044047515794128925,0.014540946051157216,-0.10300056844112919,-0.01565296347336242,0.026899571252914353,-0.04637137188462683,-0.013512160607660213,0.0060728016762709855,-0.011288173039522571,0.0184496567022105,-0.05234678242386785,0.07324561226515616,0.009556099264780784,-0.0982892305230117
HEBP1,0.048745488472910735,0.033384414701438936,0.01117432131000228,0.012717183222046208,0.03128374231169324,0.013135195334756001,0.0009700767838379146,0.013419892142185953,0.04986352826181418,-0.014060706266048573,0.06447025401754479,-0.02549522602476817,0.05193224788133313,0.027908268819882447,0.024147676200578314,0.07539754046586229,0.06527941321008589,-0.028560218948327165,0.03821518574069684,0.016263549380449174
WNT7B,-0.01698506487420097,0.12124283160240784,-0.005368319703791218,0.021475860433235412,-0.027527699954108517,-0.0012431221830220618,0.06339543554548392,-0.019400534589168513,0.07469156412697418,0.018869417229940507,-0.011560901179265715,0.052428295546083484,-0.0031968103386663454,,-0.029054784691075745,0.07907641103538572,0.025265341429694492,-0.02575892070590896,-0.025305688256234863,-0.006102784683654012
PTMA,-0.033337109154655466,-0.08810788138245856,0.020938047311537256,0.020320219620819577,-0.04490692947348053,0.083816239087174,-0.012788712849805452,0.02110483478511394,-0.03334309924025732,0.013535171695820974,-0.06546498090806543,0.04963706868617276,-0.05108424898793764,-0.035506869318955615,-0.060561298178762185,-0.030554502154982434,-0.07314783951763408,0.04169401375206106,-0.04307575248915582,0.08281034296152022
FASLG,-0.0169850696758353,,,,,,,,,,,,,,,,,,-0.018320046199937896,
