,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916inf
IGFL3,,,,,,,,,,,0.027078378790310685,
BMP1,-0.0800106332563479,0.01399240577360228,-0.016145755926515296,-0.026278603404791448,0.0027380906280639323,-0.00615622006036172,0.06024874423035547,0.025900780023077944,0.015436330330525124,0.03543590520786881,0.07143416217176439,0.029593115170460146
NDP,-0.04282313103575216,0.04108444408662948,-0.03368802651457402,-0.014791783407289044,-0.0006124519074382466,-0.019415145351205056,-0.041311155248468935,0.10225296943674052,0.029479701771402737,0.049218372587693716,0.0009708522127258714,0.037851671244807934
TNFSF18,-0.01927998481725503,-0.026202654054632075,-0.02656699386879763,,,,,,3.336283921458736e-05,,0.09327166524317752,
IL36G,,,,,,,,-0.020126434126609707,,,,
RTN4,-0.053022463596731004,-0.0419358071905802,0.02563815388885179,0.0744895169951962,0.00798425166578911,0.033878755879361185,-0.04480816570150267,-0.02116374774217155,0.001935009041606883,0.003918380492192708,0.005580438482588483,-0.00999285445232542
HEBP1,0.029940500965544195,-0.023600421934738724,-0.011229241609670369,0.03578330366149011,0.02778894187938556,0.0016687721746120785,0.08273214073701954,-0.020149398340934925,-0.019054346688410353,0.061879242081521735,0.023074290968409197,0.028841604038186516
WNT7B,-0.016985062758084944,-0.014972454605795443,-0.03931623680650209,-0.01119757242467718,-0.008012627433145002,0.008057442943471249,-0.012479995934470682,-0.022121270503579465,,0.028984068538578055,-0.038816843547583184,-0.0297428773077673
PTMA,-0.06456291699007824,-0.051935433869790854,-0.013976163439296384,-0.010597527811538563,0.03616887834013292,-0.029056342344741092,-0.000567472577340745,0.019787921398268914,-0.05413907441562736,-0.022800475556964957,0.08760432039105888,-0.021569500884671525
FASLG,-0.016985067559718677,,,,,,,,,,0.03599754186618776,
CEACAM1,-0.023583914954667863,,-0.016909163510504165,,-0.0017799165131019011,-0.015811712866293504,,,-0.030603842339149787,-0.031308721022404715,-0.021945614856038922,
PDAP1,0.0727633065934707,0.02712908025473359,-0.008485070714992125,0.023522359710825835,0.007360447662563685,0.019121666439673526,0.032173395778904046,0.0017187034832313814,0.036192635058496896,-0.0217297964947234,0.0023632100589208974,0.08088495027160375
QDPR,-0.03655875377233498,-0.021947324118764558,0.010063861301350488,-0.0004762056632168521,0.01814804690517877,0.04623327634529653,0.04241256269169292,-0.026052067926670867,-0.06506990187459939,0.04580764667461695,-0.02099317855025739,0.0015970618652795304
POMC,0.019139871584667977,-0.0007337309259991947,0.015392125374535664,,0.03187836845226678,0.028911194477970657,0.018389732980076977,0.031294130031814034,0.07341793209819834,0.10212001642974876,0.036039592442761816,0.04053587168020764
CCL18,,0.04883856915572357,-0.004780238059299784,,,,,,,0.019944571093283774,,
CCL17,,,,,-0.014324224577561192,,-0.015446736475098446,0.01855376429524985,,-0.022212022180702267,-0.014296323889098435,
VEGFD,,-0.03959241174392164,-0.021101045115812688,,0.0572039398316661,-0.01512775164040377,0.06228246486651753,0.014152144732581112,0.18926519846898296,,,
TNFSF13,,,-0.015923525772958105,,-0.009880529527989278,,,,,-0.011573789755349917,-0.023294666511615686,
WNT5A,0.02642455606028023,0.051006261758981465,0.011543361012067826,0.01334584800052905,-0.022982285169687235,0.019661379567872197,0.001937754568076851,0.027219889055892534,-0.09381689752519737,0.03461305420915289,0.05057420395686266,-0.04950717192974458
CXCL8,,-0.04899974856901367,-0.05971527093193076,0.002651035695270105,0.041339649533321005,0.030512574541353848,-0.010551331350240983,0.004003391812717531,-0.050726378017140944,-0.003259854494687824,0.0026471385610433687,-0.025508771181498316
GRN,-0.04737597620329831,0.049893643860581594,0.035992890746400635,0.01687546020154471,-0.00973772831026464,-0.020795426587403933,-0.006367910757968756,0.044719316788303806,0.04943693620056769,0.06781000965162276,0.09489612223270176,-0.013808791427663478
MIA,0.021660756009039845,0.05175792853723681,-0.04204056203900546,0.01640802084364564,-0.011372230958988667,0.020780871758547977,-0.012885907456318495,-0.02698679040216781,0.0685530735176672,0.12913429358455894,-0.011717847115081089,
