,MGH258,UKF248,UKF266,UKF269,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.015200534123239197,,,,,,,,,0.0117493919816319,
BMP1,0.0056716064522290485,0.06411703165046094,0.07270017006771017,0.12589050848226155,0.10951375222782146,0.07986478217883497,0.20867420045796875,0.10106075294092963,0.10255716242292932,0.033474204601724525,0.034470741229173575,0.12157377654314779,0.26176725423840747,0.21464470856616466
NDP,0.04060900400136612,-0.04242854033487959,0.00602219730214307,0.07404891539333033,-0.028134440706678504,-0.005204017314782299,0.08965244917676134,0.16717887248666494,-0.026874670865826112,0.009281498555183607,-0.0053586487404858555,-0.02660558943959624,-0.057794078781784206,0.012368207211000081
TNFSF18,0.07736584603624343,0.015118908909875493,0.05108318580298793,0.07906511910996095,,,0.1263189506880607,,0.14107482566360552,,,,0.02538405568934049,0.06478316679624382
IL36G,,,,,,0.02558717010656406,,,,,,,,
RTN4,-0.03252165642494726,-0.04753296414781055,-0.07712661106637535,-0.11964851844406166,0.06415130210584837,0.0187594230856273,-0.046673871885766056,-0.030064129375018372,0.0029350817373540203,0.009019991235084866,-0.08153353469021377,0.022533992460228972,-0.06266051972442468,-0.04172753489221482
HEBP1,0.02072231548971054,-0.03823051501882795,-0.0006179321947697022,0.01604303511176647,0.11807057953561562,0.024198018729642945,0.12422653454131222,0.04406689612061225,-0.02044215456175711,-0.012894835109529204,0.015726946065587857,0.05349529075311613,-0.007989523464532541,-0.0625883445074425
WNT7B,0.09211895595293314,0.020931612012630704,0.0167966773495255,-0.05039704090350426,0.02338009280001943,-0.01792677509617935,0.13839499721986448,-0.07895150017471625,,-0.011596023497931787,0.036711776863755076,-0.014631088812886746,0.05032303288248716,-0.012044028341098809
PTMA,-0.05441044163499694,0.07775398451215274,0.06509445637018117,-0.11146092449595013,0.3163338840943584,-0.019683460478215273,0.16517037193749348,0.12482734723471887,0.07012913045795431,-0.05690533673691501,-0.08232912231395688,-0.03710900165105693,0.19296880877699893,0.14017383847670858
FASLG,-0.0169850661489747,,,,,,,,,,,,0.06114219804034875,
CEACAM1,-0.023583912995837508,0.09346263120044575,,-0.0018035514518944544,,,,-0.06399618466327824,-0.0262693106301231,0.0009190694064915015,0.011006236247195409,-0.01866741410803369,0.02991072217437246,
PDAP1,0.014272530987324514,0.000352155590559473,0.0279147409299827,0.061886169466765006,0.051261959113128336,0.06273214645995782,0.0900011951509005,0.04720807312490552,-0.05622026717871379,-0.03199258845704407,0.006882859670624414,0.030325889759477836,-0.01982654622275677,-0.053844254546504745
QDPR,-0.041605866428835674,-0.05356917623479352,0.005180556154366761,-0.10809195913069325,0.24151106026786417,-0.0822408194374733,-0.13113791062702285,-0.0013188177227517277,-0.018439808924149367,-0.0002823163091518903,-0.03218145393787894,-0.05507829292016964,0.005910847816009995,-0.10410928567653574
POMC,0.012905424589045209,0.042479189263021036,-0.007256896378453333,0.013833150218451976,-0.04992640505228525,-0.034944750412365194,0.09820596999596987,0.016586875071354406,0.06835944972415361,-0.028856228013342925,0.01673971823114524,0.07815310706693208,-0.0022354884908565077,0.03612143738703071
CCL18,,-0.012011693075334139,,,0.2613321695638012,,,0.16186422804219364,,0.016023816748339068,0.018180130880025815,-0.03511962624020675,,
CCL17,,,,,,0.07501934000668369,,,,-0.014246134830099556,-0.022230505738322217,,0.01831553963011236,
VEGFD,,0.03046584640532432,,0.04928189087857701,-0.003709597289751602,-0.015968597357877604,,0.09356710963183622,-0.03571255214050242,,0.08902858565495328,,,
TNFSF13,,0.016248048880579968,0.11658369750160767,,,,,,,0.03764204091583079,-0.024163799700745715,0.013929664998909406,0.020141877666255033,0.053130529480281706
WNT5A,0.010457694300485956,-0.03274150635801576,0.06453467741107655,0.07423404562293563,0.0840706389014497,0.004027373194541077,0.12175999950443984,0.00560778018157812,-0.061963835705650096,-0.061045983509934634,-0.04165603040255415,-0.03978106049591285,0.1051035090201697,0.10710715214586139
CXCL8,,0.00885398038532753,-0.01632325022246994,-0.01571186814662712,-0.0018576091415324087,0.005905896498867608,,-0.14708243085010758,0.05616383940905318,-0.04899138782353297,-0.025551048727399592,0.04732660221108,-0.06224541590812193,0.042501342275741524
