,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,,0.04436157221307555,,,,,,,,-0.0006786272612024181,,-0.023059375832180526,
BMP1,0.09459823445023559,-0.024541475127515294,-0.005696948635492283,0.010120795287988059,0.014986906626330933,0.0941290745338374,-0.05039301157927545,-0.0003957051845748371,0.0012383753743752492,0.014709697223645438,0.006646789245128493,0.018740208922999668,0.012866300806923425,0.04769412299202574,-0.03626129285814183,0.012053950166113518,-0.007385061921523283
NDP,-0.012661637904861316,0.04145097533248582,0.06819569141811697,0.042022680844154614,-0.015649813448016116,0.02401591254835962,0.015429631293306857,0.04787096743604331,0.0532430279098525,0.010417402318455725,0.059025206112666616,-0.01925137900665882,-0.006271484613016297,-0.017192884955163936,-0.049877956318820776,0.10379894655397137,0.03380556220805929
TNFSF18,0.018559611588358668,-0.026872432202282713,-0.04160445814455275,,,0.07587135803984169,-0.014682541140939427,,,,-0.011158023211733295,,,0.020017826398890683,,0.005230992507633868,
RTN4,0.06540686485424231,-0.011376267538656972,-0.01497302347859333,-0.003809860314019217,0.04067645795171607,-0.1090709649381133,-0.00719428962483182,0.010783034302930906,-0.05133298883991971,0.017323459632183923,-0.020093905512096093,-0.04269847508911861,-0.037493390536053293,0.02338185710460627,0.015041894902512827,-0.007636042299512693,0.008566723302165744
HEBP1,-0.029187954449229312,0.04846847906664563,-0.015241984109961242,-0.0313242625105063,-0.0031233010986984,0.06965608169119832,-0.043130933428108434,0.030620715974350766,0.02984172453612196,-0.034298615181423284,0.04146942571761941,-0.04223453028985276,-0.020441486223427834,-0.045107460913346095,-0.016800364541640418,0.025625471253461988,0.015458580999571078
WNT7B,-0.019736369332076318,-0.023743361166049477,-0.013024781866231933,-0.03138330041684403,-0.06270704734804057,-0.054765934303476815,0.0020587759434766107,-0.017435754418444162,,0.04108652817185536,,0.01794043363424142,-0.03132425296003227,0.050898255290162404,0.062273071374804534,-0.024088250809606093,-0.023521413628458717
PTMA,0.04538042860037412,-0.03250054759952276,0.07585394731585614,-0.039425330937714526,-0.053822511980560366,0.005979288421669495,-0.012786322659556542,0.002154857531441503,0.08462099118334952,0.0539397160257771,-0.03158284702544167,-0.048937643701201954,-0.001904497650588579,0.05621923146668438,-0.008855283270502135,-0.022418939590857705,-0.056092086968752605
FASLG,0.07406918011653701,,,,,,,,,,,,,,,-0.019999388792430427,
CEACAM1,0.10589791109254865,,-0.0198332549038469,0.07834367331452533,0.03553108428173871,0.003835686029496556,0.1321048042578193,,,,0.057212976238959705,-0.021798918759668304,0.09261903676456072,-0.03377682642445451,0.061390540291028785,-0.012168063600853781,
PDAP1,-0.040982525440301024,-0.024803268715350275,-0.0051228757465292965,-0.02204178321607206,-0.05777231347881109,0.035077961268564425,0.03860932657137648,0.03981849749365014,0.03138188046018366,0.0005588957876653261,0.02369965321843143,-0.0464260121791242,0.03908314372444376,-0.014493755669001242,0.026672902874236272,-0.002511029217078416,0.10387619980034657
QDPR,0.01524060795230408,-0.04430101885392445,-0.008047890855935484,0.021550164929169825,0.0052761102836210326,-0.08539606317006525,-0.01230459567294685,0.004294258728541552,0.08047253876119478,0.06016808853834173,-0.00980799251646701,-0.06454712888707828,0.055900974078674025,0.059928706647124484,-0.07647567755696859,0.037709206856333416,-0.03312871007010076
POMC,0.008535111771333785,0.05302369831590525,-0.01627572573583664,-0.025112139785940023,0.010232583726497636,-0.03333071867408082,0.01482579018280453,0.004800607041376396,-0.012955440096800122,0.030624712939529026,-0.0028371700164065154,0.03004243164621751,-0.010101090221992617,0.061717332904528584,-0.03147211317180941,0.060523349439274315,-0.02183411846055909
CCL18,,-0.0029590912489765296,,,,,,,0.17460980811478843,0.0928845336544188,,0.21566252109984843,-0.03705669240770037,,-0.03642845545871028,,
