,UKF248,UKF255,UKF260,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.03879382010155043,
BMP1,0.07845806150515307,-0.128094852148924,-0.02646838845805042,-0.11869700740727544,0.2529251224177945,0.13716750118340632,0.16323423212681637,0.14676480908980347,-0.0025432204779639684,0.42758576385587216,0.02974330468863152
NDP,-0.05510357437603446,-0.03559349656181628,0.037294745027932966,-0.1757030333759341,0.13444125877389979,0.11392179754273461,0.166168986740054,0.01758695504963351,-0.03084198548942461,-0.09640793579249675,-0.10156121747102002
TNFSF18,0.03021487862720485,,,,0.10367784201780081,,,,,0.1934719107809492,-0.05969545802703201
RTN4,-0.0073847027168194015,-0.06556343708472998,-0.036130571109990475,0.14428929514995834,-0.12786206271165745,-0.07456558398142668,-0.050655561301636315,0.02762890308945531,-0.05312493158590419,-0.053219056230053574,-0.08200858116892762
HEBP1,0.001247753849053366,0.049938509533070274,-0.04480232125232884,0.08222545370642192,0.050082903613537594,0.05644644484328391,0.0032559977878243358,0.019095803778662525,0.022077041662056207,-0.007965087779099314,0.08299172885373449
WNT7B,0.023655631846491915,-0.032853012197573535,-0.002006464291518905,0.1172864362084863,0.13130726593265485,0.04266085425661576,0.0060170172713642405,-0.04913842128932834,-0.020366672272462638,0.15885924162522383,0.036336702321438444
PTMA,-0.04605426480908208,-0.30468708129728633,0.026675176322974996,-0.315220229829249,0.07644636268631237,-0.02808930331785592,-0.07613757730491362,0.003312268593745305,0.05881134529491735,0.34888168682886606,0.2406349433952274
FASLG,,,,,,,,,,0.049922868482749766,
CEACAM1,-0.023605604608262692,,0.013051315790043504,,,-0.04238501267343879,0.0412801045380569,-0.02784402227904411,-0.013517656594014087,0.019365101000481673,
PDAP1,0.020794792985543695,0.0423951793061338,-0.0049019513634142205,-0.35335853536429185,0.13907658381006585,-0.023962036355295948,0.02910625464386537,-0.03713114155520501,0.03252250066104414,-0.057790932738905704,0.04469669457742861
QDPR,-0.04020509614538885,-0.13566310615089233,-0.006906185980605091,-0.19686621012698455,-0.10888403984045247,-0.038084224648657926,-0.03456292438778465,-0.08290389032244357,-0.0024653099510452475,0.025278674815959145,-0.17587407658235055
POMC,0.040776666725562495,,-0.002003046372378037,-0.1357187770211778,0.14269831050415932,-0.08577548423369252,-0.04338847154730077,0.04400179735437272,-0.0045184189547611804,0.09330812969489098,0.01487638359900252
CCL18,-0.029457564198524713,,,-0.27653456611713745,,0.017514757563990718,-0.016162733858194996,0.0881418377997638,-0.028858831760703675,,
CCL17,,,,,,,0.3714218923708135,0.12285669545835351,,0.05137350069793152,
VEGFD,-0.02945757355268105,,-0.013296216954707698,-0.10181248747127238,,0.009270327195392964,,0.047929968336605046,,,
TNFSF13,-0.02222963029084354,,,,,,-0.056645970355735153,-0.03357710087300316,0.03311400311743464,0.0837040367952931,-0.06494014339201068
WNT5A,0.0034537745092465284,-0.15744956416959785,-0.04396409935777833,-0.0819677613425063,0.11494391411179601,-0.00833515504514095,0.07635279552932507,0.10261278467705798,0.0050304319039109644,0.17637969384998803,0.17320191305439353
CXCL8,0.016221822498683307,0.41207299774512623,0.07542718592838629,-0.05327087371622472,,-0.03700470820272309,0.20581175821096012,0.2032653850468909,0.0405214304849661,-0.06724979910374874,0.27930765988376555
GRN,0.04614519807683002,-0.2453832799795168,0.03038676021497221,-0.07189307493335284,0.09803756841734539,0.03548358399752198,0.08369528216196721,0.07888602108463394,0.06556909502354827,0.2835694253111776,0.010310275623849606
MIA,0.1081424982133358,0.0814027574935602,0.011006817052926571,-0.024591695647647526,0.17878058279507117,-0.12971509885831836,-0.0936787399199216,-0.07131914695512226,0.025190604947275597,0.003174818007248733,-0.010214876367500668
COL4A4,-0.01649769122187744,0.02506439396246299,0.0146643719127258,,,,-0.014134175687618343,-0.025940660461996303,-8.670265350036707e-05,0.027128820506548863,0.045513472196824396
TAC1,-0.01837443629118304,-0.15081638468770614,-0.0576563176441026,,,,,,-0.02332180856837586,-0.015792961560936195,-0.12827536367203046
RARRES2,-0.03409733784832975,0.05406416802117613,0.04479322757004649,-0.08066371750541487,0.015069509786043343,-0.03512223799975443,0.15169658797437366,0.12788979227728725,-0.021450558111894016,-0.11112568682397946,0.1940085817756019
FGF7,,0.03264251291826315,0.06251687478026685,-0.1805961785110874,0.017006064321942287,-0.026925968871759777,-0.10218356335497342,0.008017051254362976,-0.03457176809970632,-0.06967438843486484,-0.00718039962022226
EFNA2,,,,,,,,-0.02646387976857952,,,
HBEGF,0.021139472714218066,0.19208263870813122,0.059457540048975854,-0.23324440549615535,0.20867012373062696,0.03955283061050481,0.10311771737472668,0.021655211453550836,0.03132599728619526,0.1939911960937153,0.12562191183921007
CSF3,,0.28123285367718565,0.07105857386484998,-0.04017269189751891,,,0.20491370631757755,0.2413108148819663,-0.019379407221375853,0.03327661030140185,0.2717382327702279
PI3,0.013989380202755466,0.33233748588542167,0.17186486066975495,,,-0.06905537346362012,0.19275367085592565,0.15825181685727965,0.00456056909668136,-0.10983077285834526,0.25433993146075
PCSK1N,-0.0607759437293037,-0.248137138205941,-0.07490284786498622,-0.08343184624183461,-0.03078645166319411,-0.059278228748162354,-0.07357501176919484,-0.09752500613986828,0.0007574194130707631,-0.14737872613398367,-0.18672617094130317
NTS,,,0.028180865757419734,,,,-0.022345603219694494,-0.032241215621581484,-0.011154431090490961,-0.07802301919768886,
SFRP1,0.0037534910976800362,,-0.015168680948645865,-0.06939974232854937,0.022684537181586903,-0.016839118755878686,0.05681175126355696,0.02475358744765689,0.07564799091528393,0.08827579046667557,-0.0024664039574801783
CXCL13,,-0.03591652509993625,-0.015032356533012702,-0.15939021932886374,,,0.10297235283217625,0.24838744342249724,0.03024472216737201,,0.017423884760072023
MICA,0.025940713335133543,0.11475228619773978,0.03832670674213455,-0.08985117315304328,0.20044604020606677,0.06187304579460143,-0.02705455053863116,0.06210890131818645,0.024742073923013457,0.18895576757328209,-0.003271611838041807
TG,0.04975271465829258,,0.0044600840793459695,-0.06504093171601615,0.0001958127306243935,0.025390174644286844,-0.03922575513148921,-0.029082728299942844,-0.015949549938419617,0.06561375051375223,0.0611096828138169
ADA,0.02332517053764692,-0.07630630302364716,-0.029156857282182473,-0.27502393638204115,0.1478794030091627,0.10456192300484611,-0.02190820121853525,0.02108850015626272,0.024983749691670103,0.33941334162537323,-0.008336813004045015
LAMC3,0.0716368816036487,-0.10800085407828952,0.004963133129793473,-0.20282979313874674,0.3123416105639436,0.30382562219846504,0.03866729347234304,0.024283739170346604,0.07358794988500224,0.3080118763456883,-0.029818552855567653
CCL7,-0.018737499339454157,,0.016730861303429583,,,,0.07411477769618381,,,0.00856134371623871,0.22361620345962097
NGF,0.010240452438786494,,0.04930958319968201,-0.188191450666339,,,-0.03358385729325895,-0.02610816070204268,0.10283995367157038,0.09868474478957358,-0.017121484533290435
TNFSF15,,,-0.014756200163284976,-0.02284894329994759,0.09860334001315818,,-0.010606149949929153,,-0.012034279181103192,0.10181778514821963,0.05492405374549028
HMGB1,-0.09016135677845735,-0.22407277732301975,-0.031708266461962065,-0.3729960230328727,-0.04362808217456049,0.07997399231909764,-0.0746954540178634,-0.07099488912040403,0.049117073147638114,-0.07705406470434144,-0.029588388184573496
ITGB3BP,0.041558181485934535,-0.01297156077611092,0.005378486048122678,-0.1326149283546173,0.16074246767478378,0.15988857716525884,0.03806333842867464,0.047661645082138895,-0.012993792863971202,0.049551620712226366,-0.024964488416242117
AANAT,-0.0007394921895025666,,0.014408116652072981,,,0.026534650914015,-0.03881523204110216,-0.02352334622112158,,-0.002029716049884346,-0.04661697020280299
RELN,-0.02842648273573869,0.014475586847011451,-0.04002787757565833,,,,,,-0.014536105067922418,,-0.03603745972253693
IL15,0.05801535459990732,,-0.05039676503777153,-0.12209938349562002,0.12368749269546206,0.0739545168716173,-0.029636237320898352,-0.009428776735414729,-0.029355310723704214,0.07507531173494954,0.10033125113999859
UTS2,,,,,-0.01095308890921708,-0.0337784507332529,-0.006730039616423292,,,,
BSG,-0.04861801087397238,-0.06977098120296131,0.05636683548912275,-0.027006611763768746,0.16432234445314117,-0.11375055600725371,0.09303667849664242,0.07338610072089513,0.01725911589687139,0.11061733103259022,-0.02040035159940698
ADAMTS3,0.01996709562486152,,0.018870219972242558,-0.1195784457950889,0.12975839155286298,0.10212966137742041,-0.010662568914159048,-0.06241664031805964,0.016484685232898297,0.10047004884432803,-0.025211043279874064
CD34,0.0813777411844225,-0.0889951260757523,0.021625036319027874,-0.24124508081560003,0.15221801085555245,0.3245116221899117,-0.0672278352571262,-0.057972085964054655,0.04718276308233982,0.337537220955885,0.02322144601042545
CCL23,,,,,-0.001214086725421632,,,,,,
PLAT,0.010435486929658044,-0.2560053692602887,0.00035010633788978466,-0.07929722229352903,0.21296185857813918,0.09999796790306596,-0.15487887371240797,-0.07709645394082273,0.00878444782968884,0.27016871116250873,-0.09311787255390905
NTF3,,,,0.026102185350521022,,,-0.03678919243497021,-0.04304890602045076,-0.03989911499676006,,
LTA,,,,,,,,,,0.06202838623885328,
CKLF,0.032475219853215116,-0.05410898526229055,0.040591106297506854,-0.2734676007902779,0.12604993612751714,0.08944235597717036,-0.053274773628001204,-0.1216522859379414,0.023518283799720784,-0.07050397616859405,-0.0644960012924741
APELA,,,,-0.13188305400580547,,,,,,,
CD24,-0.008255661702999729,-0.08062312990695139,-0.007339800117777272,-0.1457353778340932,-0.008237083891368438,0.005226984976153442,-0.15707940871578252,-0.12454388571671601,-0.007966383844851826,-0.1018655048228565,0.01141436752647497
HSP90AA1,-0.06832639793993789,0.21642476967376564,0.027507045608168045,0.16828993728526814,-0.12254116104480874,-0.1769397568706291,0.13577709119946219,0.1286981291379351,0.034210779402644234,-0.1745792757607973,0.1352020203089017
BMP4,-0.007658605666297352,-0.03481546285477843,-0.010836282377163286,0.1901972994066125,0.26714525542256645,0.1577213327981154,0.014111316381780354,-0.04735306610649443,-0.0013393952046983214,0.21015059429287578,0.08639169998331694
SCGB3A1,0.05260155569197052,-0.01610876853148125,-0.015834155240775492,-0.049208971850796514,-0.017328617437738895,0.1781470789059082,0.0027130871650288923,-0.03347434593477611,0.053828881561000054,0.1940674220185567,0.058171308848350534
IGFBP4,0.1037850814180704,-0.007939821013499037,0.05068828196819304,-0.15208059797048326,0.18344930868508072,0.19319500878581355,0.10399671554088398,0.04206192801508512,0.06347692761890011,0.41548720321761584,-0.0024339851380742314
RSPO4,,,-0.018275189071540646,,,,,,-0.01683064467080334,-0.023858319669511106,-0.022901387354841273
