,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,-0.005022580695424651,,,
BMP1,3.0042249520995965e-05,0.015764234398699152,0.1205884280261463,-0.03515119228511881,0.08326537323691739
NDP,0.004734805370005784,-0.01726044848038913,0.0712395724116079,0.0031876417115713047,0.013042037808449857
TNFSF18,,-0.026513506023632224,0.014390887577962154,0.016987835028083546,
RTN4,-0.023753008298813064,-0.08037881004558543,-0.06150453216064994,0.003918801663377425,0.10887599231560022
HEBP1,-0.010967737013508122,-0.017054017308104144,-0.04711389135765801,0.012455048379696276,-0.027459015416972418
WNT7B,-0.0018024779199701845,-0.01929096515205909,-0.03776020171040897,-0.021174782019917078,0.00826671156288201
PTMA,0.02995561241936325,-0.014996283808328133,-0.033692986283305366,0.018264239253049673,0.09714236075406224
CEACAM1,-0.014481553707030186,0.06935932997287973,,,
PDAP1,-0.022577761495326577,-0.01862198781219038,0.021056652146452522,-0.018186399233479374,-0.014322413428845998
QDPR,0.07557471927630934,-0.04201249701513946,0.060786590251857876,-0.012799990592858032,0.06766419094203362
POMC,-0.03392510993998461,-0.03243978900723574,,0.01538715513990675,-0.00020549185524040253
CCL18,0.07027685986918772,,,,
CCL17,-0.02090503191984169,0.04133891790996066,,,
VEGFD,-0.014481553707030186,0.07651719913726834,,,
TNFSF13,0.07040560005450415,0.047067349152880814,,-0.026444435395783682,
WNT5A,-0.04098195986196142,0.05705456159941581,-0.02470322804211662,0.013291233344354225,0.03825946402737178
CXCL8,-0.0031286346407273942,-0.048125178504465606,0.047722416548547884,0.039573206529834086,0.06423898906300808
GRN,0.0029591882684557856,-0.0480220147950505,-0.010329438207248133,0.0341202167523002,0.035262897014468685
MIA,0.08668444013449358,0.03677855514222865,,0.03063071643790339,
COL4A4,-0.005681264039614602,-0.012552162745167164,,-0.011070889997462417,
TAC1,,,-0.07051649458202794,-0.025235276851644024,0.09158105492478309
RARRES2,-0.013709772958382443,-0.011785360852757507,0.05154823088784292,0.015337461548882448,0.007329505466712208
FGF7,0.0019510211748387646,-0.018893510043448053,-0.03452375422606212,-0.024468379277295203,-0.06276949912666668
EFNA2,-0.013763747648395806,,,,
HBEGF,0.01253142684125052,-0.0034351184189997854,0.0013384185876190184,0.07647883979356322,0.15488664862716975
CSF3,-0.06504286181924321,,0.08661344729117854,0.13943619433620597,
PI3,-0.022071402170582302,-0.028800328315057973,,0.056254332460526704,
PCSK1N,0.008716420089045497,0.030865930406674614,-0.13391928250153276,-0.012543521937213222,-0.019060148357312796
NTS,-0.016768514653691825,,,,
SFRP1,0.0021916227901685945,0.02574228845908639,0.14747918672292717,-0.03878624702570115,0.009434934714609293
CXCL13,0.010168335107505038,,,-0.02521754277505676,
MICA,0.017538619846888287,0.016412216140467978,-0.021105896466959515,0.011596329973520099,0.06011205809597566
TG,-0.02065225887011423,,,-0.0277898626373589,
ADA,0.08832938456524296,-0.030503511443678737,0.06209772660052421,-0.04204175052302337,-0.04551117874486691
LAMC3,0.032091498284676764,0.088718785686804,0.01846130444685121,0.03945611833592379,-0.05054902856670832
CCL7,,,,-0.008281981976079067,
NGF,-0.013578739724072142,,,-0.03523357551759907,
TNFSF15,,,,-0.0023603252160984017,
HMGB1,0.03790418850492547,0.06841731291115437,-0.06433827390470002,0.02363490879887937,1.3154678048769707e-05
ITGB3BP,-0.02168634169917217,-0.05878211261986264,-0.00994110464001881,0.034768512769594986,-0.06581303513962945
AANAT,0.024733540474796353,-0.0419284800126529,,-0.018983011008054804,
RELN,,0.04231055779697788,-0.025247386229601737,-0.03637284216483414,0.051063053095720005
IL15,-0.02127993634360789,0.03157901206321459,-0.03589442122272142,0.06452069857065286,
BSG,0.03531318092417572,0.060265665504003,0.09447711177980059,0.08483330516259247,-0.07843870645415695
ADAMTS3,-0.00678147674364027,0.14257366559667484,0.009169065806252954,0.006155839130655195,
CD34,-0.008938461835380801,0.10079029891487667,-0.0492004783406741,-0.02756623021912256,0.19151586520827055
PLAT,0.05512354555426999,0.022349084944009796,0.05334814383494499,0.060058562064627494,0.03791451026427314
NTF3,-0.006802732145922599,,,,
CKLF,0.08015615972232563,-0.02435275499264655,0.0077629429613484385,0.007282181566314623,-0.07133765664209524
CD24,0.05666035800605929,-0.013286299904158404,-0.09448898721384395,0.022503350167850263,0.0662556604038803
HSP90AA1,0.022269750710520942,0.07133706425315783,-0.02463733929680143,0.019416722935445243,0.05106180812092401
BMP4,0.00465479801449436,-0.024319431770750702,,-0.001783246287016118,
SCGB3A1,0.03783327407063034,,,-0.02314756756221393,
IGFBP4,-0.04928979840590949,0.11861603797191388,-0.024658975135688044,-0.012353145563425994,0.006937279750755155
RSPO4,,,,-0.023936824946952373,
LEFTY2,-0.015825836902278678,0.04565783516318555,0.023616154708126214,0.0712496309044349,
PF4,-0.01261542762839616,,,-0.018751069438741823,
ANGPTL2,-0.014459413885958205,-0.035238081882659936,0.041609375825048936,0.08281323042752277,0.03937581284326023
LRIG2,0.03841662899022332,-0.006821842442638666,0.0042451461443613215,-0.01959109419745448,-0.047495065590715146
ICOSLG,-0.001981811481368651,-0.04111797262863966,0.10134630631723981,-0.018996223822943522,0.1825993851071142
WIF1,,,-0.036525683788383966,-0.03440781179083796,0.024594381042550274
NPPC,0.04513354671528254,0.012073212088471933,0.0410996853020988,-0.04506315111790297,0.05504526545220045
LYZ,0.027349755631163382,-0.0014603550907562,-0.07310438623464995,-0.022790147244827932,-0.0982149041386218
EREG,-0.04008606255246035,,,-0.021588035605607195,
SPTAN1,-0.011670644698956815,-0.02336038957630395,-0.01776851158616743,-0.019794203574516278,-0.03660785224972025
LIPC,,0.02211435851928783,,-0.029241170370096266,
COL8A1,0.07923916865529416,0.06686295837443416,0.00655646001717686,0.026020732685686127,
GSTM2,0.027033673573616888,-0.006491541561132544,0.0035794621910288024,-0.021857153908148245,
SPX,-0.01566366588678884,0.011973840930279159,-0.07856656135623409,-0.06312926405264169,0.08658486408500782
MFGE8,0.011206382078999117,-0.05740033245835682,0.03127300017738028,0.07517159327172444,0.0045606651195150075
TGFA,-0.006042000474064982,-0.034229706320532405,0.09297365819929322,0.02249881795271702,0.03196497804172761
SLIT2,-0.02872238405140522,-0.041864332111729186,0.056795542708995936,0.008821740269934332,0.13646521156385724
PLTP,-0.041471853041087456,0.08767766921693938,0.06949562910285174,-0.005552452577459655,0.03286188515910955
APOD,0.030013044526495416,0.00678425923572078,0.06353290557253694,0.01918332661692695,0.04502089584242879
B2M,0.048679033506049185,0.0359189899275229,0.08791621656560493,0.05091150317906983,0.05950163524062973
OMG,0.021979168762520332,0.02677209376030873,-0.02134066537476995,-0.021425300881891204,0.061582653363698545
CXCL3,0.019304603664855195,-0.0295260558166704,-0.05006053839543302,0.04933117369534574,
CXCL10,-0.016920945617850063,9.959191633908995e-05,,-0.043432247999065594,
RSPO3,0.030156730073965052,,-0.04621171456540945,0.03899655015390808,-0.03197801229834289
CORT,0.016951863888606963,,0.11591616994581976,,-0.05717272751387388
NCAN,0.0018457625847104302,0.03273967956724784,0.12607396086068065,0.014675550892853755,-0.053295055918349286
PRG4,0.06451417513382118,,,0.03174892308705356,
ZG16B,,,,-0.015996585337397357,
