,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,-0.010998756827187308,,,-0.005266951689761547,
BMP1,-0.01696187497066463,0.004446285198971429,0.046447265467831386,-0.014028632039129886,-0.008530030274951512,0.013208818407002049
NDP,0.06932180463085916,0.03337511780715495,-0.00041596821955377117,0.07752775828238193,0.0704322678739,0.046708435553318745
TNFSF18,,-0.025334128265803457,,-0.021835783209316346,-0.044552249402489336,
RTN4,0.007657364977171615,0.04302411032688317,0.0030913379082493204,0.005200430936106552,-0.010167010197572874,-0.0034710955641068155
HEBP1,-0.021163747748937606,0.005507629885049253,0.03777943191663387,0.02902620439751552,0.004938265564685332,0.13055280038438172
WNT7B,0.04467780727276496,0.02486987536155917,0.0526421558992814,0.07640111784402781,-0.012786064728171979,-0.06584629053289213
PTMA,0.08216448452100095,-0.014291453410741657,-0.018974459296992374,-0.031029263418412417,-0.10177171000083791,0.05431207831821601
FASLG,,,,,0.027141441891629817,
CEACAM1,-0.031668953687401344,-0.014802744822728777,-0.01583847380228256,,0.03525172382836707,
PDAP1,-0.004922523089596105,0.012096543046561974,0.027695708004574642,-0.0035359976476916654,0.004614091498503247,0.12215055180275704
QDPR,0.05163635921368312,-0.032733123805609464,-0.02367270714115661,0.04314050604650775,0.033179409166973726,0.04659812857861467
POMC,0.004601832916136469,0.01301713062866748,0.03799868924693443,,-0.032367492000327125,0.012525780854746706
CCL18,0.07372656657196149,,0.024918722261090317,,,
CCL17,,-0.027571039011871513,,,0.15892112239844383,
VEGFD,,0.007368944184591876,,,,
TNFSF13,,0.005305642627416335,-0.010277318437743165,,0.027964408381329835,
WNT5A,-0.03992340275564942,0.07653388353047173,-0.031581433551702266,-7.104108522032152e-05,0.04389253555750838,0.003235005283574093
CXCL8,-0.03953346568405799,0.02828873964049917,0.03233223567265315,-0.034977761381007125,-0.005252992180847422,-0.01477597948974314
GRN,0.0054260987327928185,0.02244725731557955,0.06283002278039217,-0.04681200315618147,-0.025248331359255756,0.047644096589441645
MIA,-0.04858537944023993,0.025889564693915526,0.0625284360602027,,0.02277004342596459,
COL4A4,-0.002987772422744023,0.05870588882980243,-0.007478298179131406,,-0.06246253849114458,
TAC1,,,-0.019262540044359646,0.015138106484610912,-0.03000452286600951,-0.002694245472808459
