,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.009449227904461194,,,,,,-0.019802418727359616,
BMP1,0.04196255300476783,0.03600531514542584,-0.00590888160766081,-0.012731022537215945,0.010719752842240072,0.12022331370400435,0.005170626739098992,-0.03787952566074348,-0.03624001583103105,0.04241099406752357,0.02624005571100361,-0.012173000668354358,0.030796516538928044
NDP,-0.004369713485510499,-0.014522695692004274,0.055411069318126144,0.005271693565261603,0.027469682699409036,0.006424647545213396,0.004158451768000407,-0.00904067115900267,-0.042346320085988716,-0.031167463965794853,0.08195764495363052,0.05242363522257004,0.01805430631039854
TNFSF18,0.032948835679940586,-0.003972660306326188,,,,0.007363907957106114,-0.0175888379388959,,,,,-0.03340314008399178,-0.004627923049233117
RTN4,0.023036293175351087,-0.016985348475090683,0.025691326451673466,0.052520320412341594,0.1006511136839502,-0.11090005306366195,-0.033680194323520145,-0.03797905732158261,-0.0156722217007489,0.03353866186477205,-0.011456104188856907,-0.024372746318106195,-0.07041579721120916
HEBP1,-0.0075814782797694515,-0.03644333877271314,0.05467690391577325,0.007697350137746235,-0.08122858380840466,0.06236775545202646,0.003576737809673562,0.014025709824227187,0.033940209267505635,0.06160284513290824,0.02530970128987669,0.022952777156814406,0.013628129247391003
WNT7B,-0.02775363204723221,0.06819583677271486,-0.009405332332997025,0.002081525835581171,-0.03004924705343978,-0.03643112947329825,0.004600572365738975,-0.022139458154012012,0.011738494819436432,0.1660464659551342,0.0524967667252194,-0.042266593544980816,-0.044414648761745674
PTMA,-0.0003115895152155448,0.030251567154276186,-0.12990511728136672,-0.006275228834365379,-0.05188814211266266,-0.028235309475298443,-0.041834621289904575,-0.014024786028702097,0.017373306664301508,-0.1699816809044943,-0.03394014128852023,-0.029140662241379334,0.03393375038658603
FASLG,,,,,,,,,,,,-0.017174631006546228,
CEACAM1,,0.06417136281194998,,0.0173950724179514,-0.021787020499107336,0.024398991715206382,0.0234530253625053,,,-0.0344611044467249,0.007048913925429097,-0.023895976551463874,
PDAP1,0.014786120940868024,-0.035531524009184794,0.047001616402321665,0.0337352638112315,-0.07476573011259077,0.08690210392262143,0.012957967338959915,0.027147433224829303,-0.01590870474104937,-0.07908967079867212,0.051583902346430045,0.044689329809012385,-0.04948882058111863
QDPR,-0.03311879622640327,-0.014481280497561722,-0.05059975101602107,-0.02145423165471371,-0.02092229168638551,-0.11271038082727068,-0.014667572454721804,-0.037325969842505406,0.010914240792725356,-0.016007190469425395,0.015553981112697204,0.02648250817113775,-0.08498277322717225
POMC,-0.041184905802362844,-0.01652151164284445,,-0.010828841079046938,0.0448788459659424,0.002242794984075541,-0.02040869665175403,-0.01844253023450617,-0.021563512449490556,0.09186863527609333,-0.01845658816290696,0.004683099153360516,0.0058574860036934235
CCL18,-0.029251834394216036,0.00627832821013067,,,,,,,0.10796601392060129,-0.0605358580937316,0.1476909591518021,,
CCL17,,,,0.0034437140972951303,,,-0.00913422734120694,-0.027402442885571157,,,-0.02438621165947677,0.06284969730834901,
