,MGH258,UKF248,UKF255,UKF259,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.023924675140776407,,,,,,,0.18959155690123333,,0.00777074702271539,
BMP1,0.02558949647541906,0.06408333939483349,-0.036818513187721696,0.026978757008394433,0.09017114653501451,0.07126909102008504,0.02763666693355999,-0.06785947395837894,-0.04041798635995918,-0.009968289836534716,0.007932305069577508,-0.015312633916506845,0.09959676564174424,0.021649139598298058,0.0653679150361457,-0.006529577122207467
NDP,-0.0007860619155051786,-0.025319002576969566,-0.017451299929966746,-0.02974087133498529,0.06705114760852651,0.02779484234189602,0.011840318725223663,-0.096096939590957,0.05408208611137755,0.03992318593740876,-0.001394337198715278,0.020433338138710185,0.03178142053931174,-0.05793232865864153,-0.007107342052192769,0.016359470895650877
TNFSF18,-0.019279967202372256,-0.007626448175234421,,,0.005550753507570544,0.07509339449857165,,,,-0.035628346167067254,,,-0.017369588221259342,,0.011270228289777797,0.03370140062057455
IL36G,,,,,,,,,0.12302031244006818,,,,,,,
RTN4,-0.03880404181338101,0.0414025294679694,0.07500014236638385,0.01020650703455523,0.03226501406229911,-0.01896750361360696,0.08417192685177449,0.17065672238776783,0.03806365799537868,-0.03213882770170623,-0.05413043568670391,-0.0650414418011395,-0.07090236556971136,0.009520795262230736,0.023064632282900285,-0.019906906058214047
HEBP1,0.06931008373694292,0.040358516996974785,-0.007479413146293099,-0.006494055925027047,-0.036782839680319285,0.01759017816067543,0.018657244861834014,-0.035952351847888066,0.0033996421448447486,0.03055768048424181,-0.004885033087924544,0.00890534950308545,-0.014827869097384948,0.03233505129987351,0.021343246025095707,0.0012746693881293145
WNT7B,-0.016985047239924934,0.018944377879807427,-0.03700569954247051,-0.022753995280856167,0.08476865093178686,-0.04527617105958435,-0.019282124519652645,,0.011322791035408656,-0.03922333161061066,0.01960074429422462,0.007351870532832593,-0.03632121413377756,0.009079767719667939,-0.0005486955249864855,-0.0075467949158473015
PTMA,0.05323096109966087,0.022075058943740605,0.005271822771151462,-0.0005493106614753813,0.010778692107104528,-0.04836586147715884,0.017515653456682052,-0.16292644334295056,-0.07626778962359851,-0.023845445930442844,-0.0322985615523273,-0.07024556275375522,-0.027258363966930207,-0.07002152425169224,0.04896161256715464,0.009124451867223198
FASLG,-0.016985052041554278,,,,,,,,,,,,,,0.060422579601973204,
