,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0331573842177318,,,,,,-0.00907724659572142,,-0.015471719509742079,,
BMP1,-0.05520164759597165,0.009041157308048024,0.0734393849650477,-0.032710765559745204,-0.0138532059948239,-0.0770768282050893,-0.07191571409107994,-0.24305700335913763,-0.021100958743781647,-0.026532839704016518,-0.10950146541791665,-0.1386248141187971,-0.03750701967894294,0.041209251297807496,0.12544686057732368,0.03448389417587188,-0.09363354146658981,-0.026311275153463598
NDP,0.025764575585070473,-0.03518499879976405,-0.0071293569395116975,-0.06588929127548145,0.023647234669610696,0.04865391902013617,0.10565810920539646,-0.0001994275909804729,0.08149863672976444,0.005064185334174978,-0.0713014364858173,0.0011986728117378527,0.052592158082079454,-0.02060585872270506,-0.09472317200498609,-0.007536346145595514,0.003006938420314467,0.026725557927402437
TNFSF18,-0.02215838029620029,-0.024816084773717516,0.042615919941912356,-0.0332431748480309,,,-0.012470726172330068,-0.017898889878422967,-0.010628913423680927,,,,-0.025257716666446405,-0.028787291681913067,0.023787375628909133,-0.026098024753416167,-0.03566521303370713,
IL36G,,,,,,,,,,,,-0.023978497937610456,,,,,,
RTN4,0.02883702174249406,0.1780430672810622,0.060441235976112596,0.05781569257171659,0.03116678538653687,0.17867531886234175,0.15252798905105724,0.31352873071176107,0.09581109610428568,0.057607657380803555,0.23402013862383195,0.2181180755587569,-0.002829085002582357,0.008076118930015882,0.06014058338281389,-0.011807613878425235,0.16725846315857582,-0.13719541417370332
HEBP1,0.01812692224938411,0.03784016991984629,-0.00327210091267538,-0.0022665508044729036,0.02664832288870336,-0.05199027961610314,-0.035995817029777014,-0.10473143857115974,0.04104309605668392,-0.05412746652915439,-0.09807533699731472,0.015408055094221842,0.08622957414258042,-0.0074669256866485845,-0.05813090103249443,-0.00973947539637733,0.015363548172713008,0.003043656820738654
WNT7B,0.07766294502341925,0.20254101217499543,0.023133453414452543,-0.020649629718514587,0.07184098068211998,0.0329167919778211,0.08696375455701306,0.2637100412437255,0.0011040615437044425,0.06933947567746156,,0.013147298937438302,-0.02780628075997004,-0.0325489087420781,-0.055248560996844186,-0.03302308111769798,0.07250517257451834,0.1348707934776776
PTMA,0.06960806373747937,0.07906836176441547,0.04491806584128165,-0.02097274415159219,-0.07162259597100129,-0.15091439953799654,-0.13996121922530236,-0.003991050573419373,0.06119634706970087,-0.05129560465063965,-0.36772814732475656,-0.2357247059865687,0.04152628790927046,0.043494219211955114,0.019657935965191737,-0.0053096646455697396,-0.127577604862183,-0.0057185599274417135
FASLG,-0.019520844539673503,,,,,,,,,,,,,,,0.10966321770695839,,
CEACAM1,0.1000955859992378,,0.0003368344134107606,-0.015847348817364024,-0.03510353014099005,0.04851331758154441,,-0.06479403534836692,-0.035937936472190776,,,,,-0.04136433271297908,,0.025101879939479075,,
PDAP1,-0.08017843346114117,-0.0609094301902297,-0.006852495777648338,-0.043449334822314584,0.01455988623214176,-0.0686680288049577,-0.03128401423201589,-0.1677723151030832,0.054569607020878604,-0.005806824843762875,-0.004548230306558758,-0.10802742636163674,-0.05941226732000704,-0.03686540172175836,-0.014651388228032238,0.027155291310820052,-0.04262456937334274,0.052978364560504705
QDPR,0.08971387413815506,0.09635101070872414,-0.0061506970324313025,0.040369159750956195,0.016556904650693854,0.17239654436425444,-0.03554209278999819,0.06776673870433231,0.0074961126800338835,0.029072633921259937,-0.2493438041416742,-0.04004837908267582,-0.04528656234258954,0.013724819194517283,0.00917513045874864,0.010953992739093412,0.1563302586088612,-0.029829960277714694
POMC,0.005674128358495356,0.03927519901631183,0.0012507891761918096,-0.02815821052126087,0.005718393248325211,0.10799685450931153,-0.006258979494200075,0.04867416738171927,0.05818633831366061,0.018919772243401817,-0.04583007112368594,0.02694750664459085,0.014098284305746904,0.055012718367583605,,0.03314793154621675,0.012263807715507842,-0.028795150921216227
CCL18,,0.07843094664007763,-0.03334948115964673,,,,,,,,-0.15816894520120794,,,,,,,
CCL17,,,,,0.0074153512121448925,,,,0.031145455573775887,-0.0025129582749323655,,-0.021905038615332786,,0.036004147810276804,,-0.012162469184179079,,
VEGFD,,0.02969817686036988,0.018798063870439186,0.033379343042044825,-0.02266818128460822,-0.02011974890812955,,-0.05554751282626952,-0.01154778005254078,-0.01235410330573723,0.147564904984916,0.005788880740135366,,-0.02507264891025434,,,,
TNFSF13,,,-0.02516659665321299,,-0.014034519114203094,,0.022919900487558608,,,,,,,-0.012648532668174187,,-0.01981772837556502,-0.029454430430135483,
WNT5A,-0.028530874917781477,-0.044342327785125445,-0.012912319527778118,0.03289921136302631,0.028425036620899985,-0.10125889070075061,-0.09441040461295727,-0.1842215492575488,0.03191315938418764,-0.00650074647756778,-0.03788915499318187,-0.03914437300511306,-0.06390834323450403,0.0277353377101583,-0.03223270146565787,0.03641345928501624,-0.08575167917872822,0.08065393230169418
