,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,0.03831727374283034,0.03665753865062182,-0.0441664869203436,0.03997460579935651
NDP,0.0043363768127356785,0.005085541611288507,-0.011950379955749223,0.030011322099532993
TNFSF18,-0.04352269688758497,,,-0.022027797670948496
RTN4,0.09169256869797703,-0.02520427762513097,-0.07355576402127703,-0.05999701618991672
HEBP1,0.10739048256231475,-0.020928722371776416,0.012445757745685751,0.06322059700538941
WNT7B,,-0.005929941470735465,0.10466192541228424,0.07741803082785166
PTMA,-0.05547914857354602,0.00880014460089773,0.0353248561210491,0.019895683893073415
CEACAM1,-0.030603842339149787,0.007435298346521337,-0.016687425184539164,
PDAP1,-0.015881242129634425,-0.035888558330332665,-0.03642639041687854,0.018330658162261405
QDPR,-0.10608657467242158,0.04709582482629663,-0.012422116813420075,-0.042608994917393485
POMC,-0.022767489489034953,-0.041581163984532425,-0.03909267924241652,0.17616190418345212
CCL18,,0.11196892011983167,0.04862963661185791,
CCL17,,-0.018684968506511586,0.010069402509183813,
VEGFD,-0.04160525301274267,,-0.016687425184539164,
TNFSF13,,-0.0358536480386686,0.13157111380405836,-0.039092087602643634
WNT5A,-0.017378696515033088,-0.006540038976759257,-0.01496547109656785,0.04296833830235014
CXCL8,0.027493107406782645,-0.04809660508668039,0.02026643050980191,0.03184442694832076
GRN,-0.008590632188567664,-0.022328828550897295,-0.08662288386013554,0.006263926709410967
MIA,0.030027089859403385,0.16819899132368146,0.08469365762257347,0.0806603003256197
COL4A4,-0.032577732492458815,0.07938073135035287,0.03423017685446094,0.031197866103117373
TAC1,,,,-0.04974422016220992
RARRES2,-0.09415270987187449,-0.0390374165763846,0.00349811546686889,0.02446111196762843
FGF7,0.07367871480708534,-0.04202986541713057,0.03788494599471285,0.12168280308466224
EFNA2,,,-0.015860280864060956,
HBEGF,-0.048527340738776556,-0.01596628653407559,0.030402750295361484,0.051780493117801
CSF3,,-0.07247475436579276,-0.002340872961193061,0.0574465748567557
PI3,,-0.0389478034595671,-0.02049085292802829,0.01830005380563982
PCSK1N,-0.08631175272385772,-0.0006156176007452037,-0.056249258332636894,-0.07004899833896953
NTS,,-0.03335921563108385,-0.01932274253165864,
SFRP1,-0.027960670878888372,0.010128971014157969,0.004911934738914281,-0.008250074941455889
CXCL13,,-0.021344116587882385,0.03166777906592192,0.05822734747970525
MICA,0.06433412300575138,0.04383821876479047,-0.0525968347996097,0.023351208951187606
TG,-0.034532732717613916,-0.024827651635294525,0.009810102077573194,0.058062665352880634
ADA,-0.027876113734990847,-0.06471552599586425,-0.011018322689261723,0.00254576068720083
LAMC3,-0.016821512322747006,0.017108684505329853,0.011071401003087055,0.016528760580092235
CCL7,,-0.02800446089440066,,0.016140662441234337
NGF,0.020691254028182032,-0.01890507646178228,0.010139933967549072,0.1037067767455261
TNFSF15,-0.046816221483956325,-0.011282159188518728,,0.01127960389282102
HMGB1,0.021905569571691704,-0.03219492276608678,0.023113979021656843,0.004000531614174653
ITGB3BP,-0.03882495268553954,-0.014077478204084653,-0.04174101737219542,0.021042544421923572
AANAT,,-0.024567814081059857,-0.021343642355195855,0.008627154025288767
RELN,-0.02643186059536306,,,-0.04031761663085463
IL15,-0.04752408988170701,0.013563445344657315,-0.03869582507066326,-0.01103591615971892
UTS2,,-0.02092129174908488,,
BSG,0.0014229400362712,0.08896634947341356,0.04310654691963711,0.06523401921712037
ADAMTS3,,0.0012641099769868285,-0.036499099070970806,0.02719148551063714
CD34,0.06665808472840486,0.015494705855504595,0.039947890203115774,0.04505087086604151
PLAT,-0.012544903460399574,0.04164462647805057,0.0006076861287105626,0.007626433264691947
NTF3,,0.02290594425204651,0.10893393006135463,
CKLF,-0.034740245071783867,0.04750816392602935,0.08783463539133148,-0.005941659503886805
CD24,-0.0477453318724876,-0.022125786176486924,-0.0004019565080515953,0.020381908215053285
HSP90AA1,0.05086325043436719,-0.06898183855000797,-0.007878957404125263,-0.019935722590335325
BMP4,-0.12775349671394876,-0.0358940731300039,0.06226887645207778,0.026596857294737094
SCGB3A1,-0.04464149748880065,-0.012149037735976687,0.027130119632787733,0.00047595224031949464
