,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,-0.019381226853693517,,,,,,,,,
BMP1,0.005325261626712556,0.03824448666989034,-0.12300146649610583,-0.023128156164348216,0.05342621209128125,-0.03461720664440388,-0.09413147169356556,0.0013432602583536778,0.005910565458709204,-0.025844698361664416,-0.057948096683732894,-0.029120878140618082
NDP,0.028152961755952437,-0.04148999059337109,-0.06501553131937823,0.0554368000769713,0.015619851868227298,0.018905091168084417,-0.013578204589254211,0.080007845701104,0.08080720727988505,-0.07953528849478744,0.014119985013695754,-0.05815473665117601
TNFSF18,0.05507982556945209,0.003555265344970403,-0.028780540037360535,-0.01906824671251102,,,,,,,-0.0325683149399864,
IL36G,,,,,,,-0.011835995623395414,,,,,
RTN4,0.02370857406373043,-0.0021100262077446783,0.19491007309344438,0.09673968707302542,-0.04214623664168519,0.19297186094409244,0.11530992311932604,-0.010156998030330678,0.03139514679008624,0.07830168266750875,0.027356427097719918,0.08379935216531581
HEBP1,-0.01517760259759513,-0.045474395112617805,-0.08432363789170799,0.0856883660683068,0.0044417384721048905,-0.07862583924478139,-0.04752532424128619,0.01587243229359376,0.03089514134103611,0.024192724434849197,0.0005963808094965042,0.049668312450694294
WNT7B,0.038466904739305204,0.020005370246138094,0.12697057388832436,-0.013035606741233986,0.06409124033393232,,0.012425980940410624,0.07685146705938276,0.1106213231757528,0.05335906433304588,-0.009595777872896052,-0.012387827194937211
PTMA,0.063695033931744,0.0068077069757705964,0.10804928420254252,0.046156172959672045,0.014578442454715991,-0.16649013272117033,-0.13212482909436238,-0.02778899250773726,-0.04058459036748354,0.06682622387889466,0.024655107003815565,-0.10362278631349729
CEACAM1,-0.01874306375516329,,-0.037873551472174624,0.007308627338984308,,,,0.1553908405284485,0.053316040980866994,-0.01087761603934813,,
PDAP1,-0.014296134608040786,-0.04346502537699409,-0.06654684858807061,0.02129579037132849,-0.0025019644098094314,0.03678315640284874,-0.05402256054347186,0.0034597896797644596,-0.038882185481602084,0.04207505098302197,-0.05200176444068698,-0.0018019049899960758
QDPR,0.011602961617761982,0.003897064423915837,0.059242625681962154,0.042537819044363795,0.007715837499159192,-0.14014764417730688,0.03251505892313317,-0.024545466576933073,0.09610886363786816,-0.07728982113299467,0.02412287519369056,0.020036883384044912
POMC,0.05237907617146233,0.03817384158106871,-0.005107424504429702,0.04201713206606807,-0.025819982775763188,-0.01842278648252754,0.003498218882840068,0.03269931886567755,0.07042674335881192,-0.027943226841645966,0.027722896035970546,-0.0017012957516836294
CCL18,-0.023389572646298724,,,,,-0.016266021277348847,,-0.0394983430315863,-0.05315921502999478,0.0617634978825074,,
CCL17,,,,-0.02378181612410369,0.005826907850064853,,-0.010812518025773526,0.07459280496334686,-0.018722336046558853,,,
VEGFD,-0.02338958007358354,,-0.03246875387319156,-0.02533751358654991,-0.026838766731030004,-0.004111988998397598,-0.011588110467983529,,0.017283470724041912,,,
TNFSF13,0.06131788821340096,0.11275679892390701,,,,,,0.0016549882402766194,0.10861710568622675,0.0012249180437647925,0.022854485087404706,
WNT5A,-0.0002930909698329119,0.008168792747820668,-0.09844940232004355,-0.03339826278450401,0.0006154753593572645,0.07919431093205936,-0.03692859792703307,0.02133008391649273,0.04341930746110584,0.017429948463637292,-0.04149852436071699,-0.09452314019261955
CXCL8,-0.04104817648601625,-0.01294207886348396,-0.06456039499906413,-0.0220102344510274,-0.01285469964122514,-0.06762610415970098,-0.0348410141485734,-0.06853176287729518,-0.08532751405334518,0.04272103266598746,0.021956827286462262,-0.029670677849532225
GRN,0.011174661807404776,-0.0006548147403630627,-0.15407554570465576,-0.042635908644537035,-0.040894543687474916,-0.07526339992823593,0.019006832705725736,-0.04512225761677225,0.010409145803107422,-0.022945167406058623,-0.005816064721022546,-0.05856209390709999
MIA,0.021110627583428125,-0.04447067582763548,-0.05536426326587323,-0.028749820029149845,0.009833452515503039,,0.0058211862640241184,0.07738278477911371,0.06953126699942588,-0.009711274210882265,0.02762328662723738,
COL4A4,0.07063797137862161,-0.023400094218195507,-0.019098760489512537,-0.0017495192752022518,0.012891325730823008,,-0.015394923669836854,0.05470832056931124,0.05928963608178282,0.020771421034115705,0.02623709310584998,
TAC1,0.013121568350517742,0.0033321579273793145,0.16108393889103018,0.08585081927961727,-0.05685673053893419,0.1200838158203397,0.16097532434667072,,,-0.03581962226662806,-0.019421766916583143,0.07969918603733776
RARRES2,-0.013476833514305652,-0.04173498733617627,-0.15666723223865564,0.05566290264987795,0.03173101139609349,-0.044135952036777636,-0.01837181025882951,-0.08883849397670408,-0.0769372829345481,0.023661145813595956,-0.004509502999966244,0.01108585922024626
FGF7,,0.016257679664129956,-0.013008578146155393,0.030337977100269434,-0.0113811720345836,0.11227038325236079,0.02151203635854501,-0.023051959696140073,-0.010260871540077918,-0.056995445697259166,0.04602049634665981,0.1160567570385035
EFNA2,,,,,,,,,-0.00048400588233657297,,,
HBEGF,0.0025584636454593925,0.051484626177293255,-0.07674894079553506,-0.036537123009410304,0.007641409856411513,-0.11853444840802257,0.018148278594058077,-0.005663247455208654,-0.002752323204320743,0.03265096821402362,0.02813104049034985,0.05243173981786264
CSF3,,,-0.020206120992413062,,,,,-0.004671507301105089,-0.0326828414209489,-0.0012724656760098037,0.03903104941033033,
PI3,-0.024606816569319068,,-0.022752358929387317,,,,,-0.08347419106660066,-0.07956232091538339,0.04487651550745714,-0.007613407297780785,
PCSK1N,0.06250224581585895,0.04207931851860656,0.07667785515956428,0.010412345549398362,-0.03947679587050163,0.19051050039211653,0.1054212261878641,-0.014433520924372611,0.005653627000404091,0.071886879660371,0.008455306442764642,0.013887005019980041
NTS,,-0.0018955049929989408,-0.02483575332154707,-0.028364191263731273,-0.013169174331783056,-0.03227668380201463,,-0.0017121773972980836,-0.025207171265697603,-0.03891239076849265,,
SFRP1,0.02875768843066951,-0.05953403262460038,-0.02771174958785558,-0.025711231984650203,-0.03658939946849392,-0.06269773438135251,0.017950726259749996,0.05765968365490626,0.0774253995529499,0.05907183887816893,0.04732447168523443,-0.07231225478167291
CXCL13,,,,,,,,0.06598826732938613,-0.053159209244783664,0.01059544244283593,-0.0337859169912486,
