,UKF251,UKF260,UKF266,UKF304,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02564230479814745,
BMP1,-0.03497112385687193,-0.0033196430784823757,0.0024906409416741958,-0.037101098517042144,-0.047727816846579514,-0.0032575846431743844,0.08211163370173773,0.008799914648735621,0.04493441683766186
NDP,0.012158673684065062,0.025440033852211153,0.06473835863713212,0.0046461298484625265,0.056972407921453784,-0.041234343540012125,-0.047283029398847626,0.06216239373737066,0.0035100190634680672
TNFSF18,-0.019218987071404018,,0.0044786338644625685,,,0.09526088887599976,,-0.04325398382095219,-0.0005647074169660546
RTN4,0.009171738679432084,0.02849343432432024,-0.02778184712983505,0.0898152843467124,0.031180085445915044,-0.054864975342486334,-0.05104995911713286,0.048907358810058615,-0.024776055687952055
HEBP1,-0.04934173129454731,-0.02531105181518071,-0.019916911824653893,-0.029715398848640093,-0.007040773698817187,-0.01775872385565574,0.028198501117580897,0.01363242647138348,0.04637002797777917
WNT7B,-0.023141893873728416,0.028080891460225656,0.047088038424479346,,0.017813485259284605,,-0.030376916304281246,-0.006657036831468177,-0.0438385353296201
PTMA,-0.03707279487151417,-0.08428733328250092,0.030363060560611888,-0.08648904734347894,-0.08145984635106923,0.029319019456276657,0.065687872105521,-0.030431784054288907,0.022676782471641743
FASLG,,,,,,,,0.08862004868480619,
CEACAM1,-0.017760011656895454,-0.016207973365720572,,,,0.14554948829922443,-0.014716201714204848,0.012012717225393698,
PDAP1,-0.00797873356620583,-0.006734148671434617,0.029584927869628828,0.01902995529764529,0.025421829585688453,0.01652672887757128,-0.03489242758903692,-0.022640103530617003,-0.013908180098540045
QDPR,0.003621898844327399,0.059648137400871465,0.015531036887476323,-0.06356475696627016,0.01113642879702172,0.06093735264682808,0.03659587319141893,0.05037816324147428,0.0008974784936455922
POMC,0.04528562225835574,0.01441550797426785,0.008071185725426781,-0.04438327892984005,-0.03699213545437282,0.0874718823208363,-0.03447480644366392,0.041709168486565924,-0.006937390939039549
CCL18,,,,0.040483535004677766,-0.0012547076381369871,,0.0022419841263953285,,
CCL17,,,,,,,0.05839579229413798,-0.020157665198261777,
VEGFD,0.05296818129052675,-0.015506871250715811,,0.1152634502350559,-0.03942483245632195,0.06795608273555424,-0.014716201714204848,,
TNFSF13,,,0.05085366130853145,,,,-0.023091241959470703,-0.032845232948616535,-0.006114469999199426
WNT5A,0.031413107626161375,-0.08598471196940334,0.01834346688419275,-0.032038228081400714,0.04702016301374039,-0.01576883506104391,0.08459887973241362,0.03574186598213891,0.0431235737105905
CXCL8,0.07186333216376536,-0.02613895737960026,0.007553388181627908,-0.05176963843603302,-0.017338484385732593,-0.006687461903774422,0.04444494067877318,0.04206073408418266,0.032076562193733844
GRN,-0.005879255570037833,-0.015850950658379534,-0.04982916590518227,0.016085577798825253,0.017503405263647725,0.07320844911284616,0.018664547026794195,0.0017468466603426881,0.08181995173202374
MIA,-0.022622470112529023,-0.03154741408850925,0.04578085653778832,,0.01737759360806561,0.02444972772984099,0.05743447681509706,0.0013452121393885132,-0.01711734937084386
