,MGH258,UKF259,ZH1019T1
BMP1,-0.021601144226898933,-0.011102832379064499,-0.04819455603212727
NDP,0.028929608616868146,-0.06792565833261897,0.04001284334545151
TNFSF18,-0.01899823825686025,,0.001281518396808772
RTN4,-0.05346612614758331,-0.011443378257608494,0.0520737632411096
HEBP1,0.04587046477895388,0.010058027244140448,0.0026430461891594655
WNT7B,-0.016736852862924805,0.00044804452306492095,
PTMA,0.011633518635821292,-0.005776476993816755,-0.06104016631641629
FASLG,-0.016736857594390236,,
CEACAM1,-0.023239273245553346,-0.017557670492088947,0.03221092429351038
PDAP1,0.0008357595603775656,0.0019201172770988704,0.06508519639448097
QDPR,-0.016689719096588257,0.005567022572460151,0.02085171485916888
POMC,0.00227784756031013,-0.025842659416013814,-0.055340771459998044
CCL17,,-0.01608469976103903,
VEGFD,,-0.0019145629540225377,-0.04160523206099032
TNFSF13,,-0.011094865908954244,
WNT5A,0.023968728877139012,0.04401232044526252,-0.020849881608799758
CXCL8,,-0.034240831808671,-0.000918781603757964
GRN,-0.08063679982030254,-0.01261090404218474,0.008826821033731667
MIA,0.042631210576720716,0.02168751389578019,0.04141657340312462
COL4A4,-0.019383320469538785,-0.005784060125341558,-0.0023402767474616495
TAC1,-0.016736848488554674,0.042446704886314385,
RARRES2,0.02898680634457309,0.06085870862359083,-0.0075430487486348825
FGF7,-0.00686845097343254,-0.02851162271080128,0.05794052128702519
HBEGF,0.0037421549527541457,-0.0056681908921846925,0.005873783972626953
CSF3,,0.026548890905964226,
PI3,,-0.004708813171315611,
PCSK1N,0.08745660184939162,-0.02159996705948176,-0.05365461301630169
SFRP1,-0.024352537320074006,-0.014034522272904254,0.003642622010165882
MICA,-0.023818684395043557,-0.0072377223289572445,-0.03401112805460966
TG,0.10073877756558047,-0.015145473081383644,0.10758063208774657
ADA,-0.02325996665981112,-0.031616990768964334,-0.006844149906750141
LAMC3,0.031919345493062815,-0.04721575935542325,-0.05574942330204981
CCL7,,-0.010950152839474179,
NGF,,-0.013391974275405314,-0.02357594922195103
TNFSF15,,-0.012193530751869377,-0.04681619790804205
HMGB1,-0.0311177302814689,-0.004808280757370494,-0.007818322708193862
ITGB3BP,0.07049078844409642,-0.006268024167027738,0.05147467770774483
AANAT,,-0.011094867093088165,
RELN,-0.01606928294151679,-0.019258204633127895,-0.02952166780894297
IL15,0.037849612689682746,0.010036375865114699,-0.04752406594932132
BSG,0.07051388850009029,-0.0010164257954193086,0.009955142841255026
