,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,-0.021666605829701452,
BMP1,0.009683258798980545,0.027412297352109906,0.021516220903051452,-0.012255722299826423,-0.004540841276410328,0.13768021147404713,0.011508860502055353,-0.01201649240119032,0.02951583467616822,-0.03635313822266498,-0.05254326211941427,-0.06358882598528702,-0.04110224605833679,-0.018751903832148427,-0.003622855271875997,-0.05291533448868443,0.09513627441383442
NDP,0.07348258887058186,0.014132690429399734,-0.009810917207029727,0.03900417700635321,0.018759750927129646,0.01708706336230736,-0.02888807343685582,0.0007929967130336729,0.06503751209117745,0.04191474983033125,0.06327592262220494,0.15207835903880346,-0.01770950242297265,0.07077799719828819,0.04135640828472248,-0.02230840559099915,-0.040313528054873864
TNFSF18,-0.030625578545414395,-0.03506183723632986,,,,-0.014453492215570731,-0.015882541990676288,,,0.1046321138792846,,-0.03765696813282404,,,,-0.02525621684580813,0.1301294755716879
IL36G,,,,,,,,,-0.0194185661001704,,,,,,,,
RTN4,-0.016196912444000046,0.03156355200854498,0.02285088778118557,-0.023222973468283004,0.03857753401379427,-0.13862264690608636,-0.03875251199693838,-0.0796180915530807,-0.04833350798308238,-0.10685450464680435,0.028178483420403595,0.09408831421909183,0.03025819889481252,-0.054898421402768405,0.018167427675384203,-0.050829956861710664,-0.04536211299074539
HEBP1,-0.008576662864729422,0.008677986529054238,0.031985625988454204,0.07816180405098874,0.027880268266195083,0.05240649542519388,-0.036726199613076015,0.06440764322447252,0.032993173232530294,0.023254305801096827,-0.052539976352534726,0.03418856679986308,0.025954738919317207,0.016373957734991857,-0.05564697217295877,0.06812088336987636,-0.05167463995685467
WNT7B,0.009816773096959353,-0.0013960750781982815,-0.0030624445275895156,-0.029643018002706783,0.044709429118571564,0.05639167972452267,-0.045525828147543114,-0.011878754061994292,-0.021343241966820654,-0.006922044728892788,-0.06241546191014375,,-0.027480026463650033,-0.015279930645197089,0.044937981258858964,0.019102848631481876,0.05611337441178965
PTMA,0.005748553665491472,-0.045935524246008386,-0.03122470445526376,-0.03192702937665241,-0.06485425578757792,0.1788372154914179,-0.014634217672077595,0.025684271096770645,-0.0026827307947769686,-0.11225890500614528,0.055453658527669716,-0.04434156224367217,0.030153689143596805,-0.02580309263989322,0.04745236673830001,-0.06691432665111197,0.024666450670649848
FASLG,,,,,,,,,,,,,,,,-0.01879143984443068,
CEACAM1,,-0.0223158985068346,,-0.016317165195459178,0.041882492155394635,,0.04130994323823348,,,,-0.05851256959756239,-0.0387160562077532,-0.0222673002907689,-0.028492815268946026,-0.020068261405973526,-0.02614552858338586,
PDAP1,0.030828292626178738,-0.03610477334564767,0.011655380962134875,0.0652735349526345,0.03741680777636147,0.06944646131593699,-0.001312374602981749,0.06506865222863427,-0.00586355252476271,-0.0295801636491301,0.07543939863773153,-0.03488887980692107,-0.01620448809181061,0.027184864606242677,0.006195984344976042,0.07520070899775175,-0.0263848861053272
QDPR,0.07238704382446948,-0.06462884065240745,0.03773789193180904,-0.022588410608125286,0.05473360060334921,-0.07660207104581271,0.018144072345078283,-0.03347233456166697,-0.03651619643223612,-0.06771619451356353,0.09889481317924459,-0.003732473603640647,0.09469248735656807,0.06983274722784849,-0.003482681809247279,0.028808014339540496,-0.03310126417971454
POMC,-0.014741662716215995,0.018026371499362148,,0.014880589031372593,0.028594297572366114,0.039920757325565916,-0.018428845764145184,0.01555109907322638,0.05954477378609526,-0.03763159641016659,0.08628264151320789,0.0015984713400146314,0.08266942386313875,0.10934834530634917,-0.009692338063300821,-0.0679833302594853,-0.03514383286593774
CCL18,0.02184013912518704,0.023461245180578242,,,,,,,,,-0.050171469400302024,,-0.040748886388171555,0.015876640817108365,0.03752952794797013,,
CCL17,,,,0.00942007169874585,,,-0.01980862209831768,-0.014702567581879052,-0.017739411425410332,,,,-0.015797571788671173,-0.008089654508127842,,0.08070055806461247,
VEGFD,-0.033893214898004544,0.02148008879562643,,-0.022103572465616436,0.06339913563829466,,0.03015346402904523,-0.010784511125714628,-0.01901187667337626,,0.25292915333036364,-0.015517530461827432,,0.027634645101512003,,,
TNFSF13,,0.04462086545922316,,-0.013684953652258941,,0.14348726226763212,,,,,,,-0.01542964027903093,0.13088692360712678,-0.022535312533150744,0.01801678496849775,0.013335416029023453
WNT5A,-0.036869881887929536,0.015726939283424647,0.05212424304776312,-0.018448957823095916,-0.03531011058336337,0.18240652774324875,-0.00476400991363146,0.012937131802774976,-0.005575806782308473,-0.043146756809801644,-0.03347575521742305,0.08653703907859633,-0.0267743985548467,0.04347255718233342,0.013553226049841058,-0.006603345546201527,0.018503395905632315
CXCL8,-0.04435360259039134,0.019116982020097418,-0.025567337986591644,-0.058068455216473525,-0.04921610176046224,-0.019938091696570452,0.059268093539550405,-0.010043005686398786,0.06325981158238264,,-0.040819592300037004,-0.050112610607423586,-0.049238271649054956,-0.08198556381224946,0.002055253191000383,0.08474477123099916,-0.016270735955136666
GRN,-0.011818358253114203,0.032868473921619346,0.04195508543793724,0.09984116669046399,-0.035492848205630034,0.01829710867746968,0.0037176576579291093,0.004259807779896826,0.031480719084057605,0.04146958640916889,-0.06360774544077079,0.06669450128400325,-0.05974302200511606,-0.051223591634618613,0.022510187900620995,-0.04783503809805012,0.026363201599870486
MIA,0.06820735933111502,0.017662544625622213,0.015520487682718877,0.020704696957381162,-0.05409314473766479,0.1689672425791284,-0.009601179861930759,0.01098078021662676,0.000462605522618395,-0.029627303565415545,-0.07895101381082258,-0.05608959973588554,0.04548877402529274,0.08632441465366163,0.025234355760652836,-0.05577973764280279,-0.0051249206881854685
COL4A4,-0.020381617415798293,0.008472231182975853,0.06248547686823153,-0.002108739378400705,0.00328758966451353,0.041113922352573676,-0.020680814323095573,0.07388215669320874,-0.025257473253783223,,,-0.04121316886689409,-0.02051478306202665,0.02809138723834208,0.048458139188858086,0.0459016408936368,-0.029123252958230976
TAC1,0.029707849034328732,0.08339529543445366,-0.03208747426386099,-0.011405719252818695,0.0649288219573622,-0.06335817709549527,-0.031006250298670244,0.0014851692130311688,-0.04476152854664989,,,,,,0.043025951967357895,0.015545364134246748,0.02281845917563447
RARRES2,0.05380873307694553,-0.014806841772206534,0.07954077343387075,0.042977870136618045,-0.028283583234762908,0.0999858023705073,0.05657189853499019,0.022920462653959823,0.07587715614945355,0.0169850848144876,-0.017639964642517828,-0.04569332125085663,-0.07267302354984065,-0.030699420497518067,-0.06278052307458538,0.12338053915258312,-0.02115901448965283
FGF7,0.05390937926819,,0.011295866738302915,-0.01683024499179573,0.006130955446615161,0.020952956237392937,0.008885900810677515,0.07383438749466496,0.002854526694995592,0.017082582561115757,-0.012607643748650654,-0.04564164438033522,0.013728639859647283,0.006564370575822231,-0.017969096283169374,0.058637678315065125,-0.01442174999214956
EFNA2,,,,,,,,,,,,,,0.0358756620971461,,,
HBEGF,-0.049617231933678514,0.06609413958638843,-0.024420697547014078,-0.01045243164983085,-0.011873002720875365,0.10528155973485415,0.05044115123785526,-0.016238268101197897,0.03776633395219524,0.01743544358902157,-0.0286699907963719,0.0058297207538916575,0.06731900109283195,0.008319071614563241,0.00459322171222951,-0.02942148349111018,0.06125033535123453
CSF3,-0.04658431446802216,,-0.0339321366989653,-0.023647145200862366,-0.06656132755073983,,,,,,,,-0.07926668720452493,-0.037565472555369475,0.02610821193803976,0.005260907134780503,-0.030634329949281065
PI3,0.0002695530392794654,0.029564673812975634,0.03323739584414836,0.019310985665889888,0.014638731622631712,,,,,,0.13643424765326936,,-0.11823726633222381,-0.08275345894301518,-0.003090047168770797,0.01750646486702198,-0.06911248248504318
PCSK1N,0.039451478419462054,-0.03388815418261012,0.024777992971788926,0.01666142087948956,0.01053445751994454,-0.06429956816099244,0.02947560324868825,-0.017504763599212807,-0.055553962805567514,-0.028735101845639873,0.03781424807695716,0.031143960762100853,-0.009470254643584305,-0.024668007187621042,-0.03406032547217985,0.01589044598341559,-0.00020499168649465438
NTS,,,,,0.030160324376425577,-0.016280756626177586,-0.00022830567611154472,0.0019655622745261823,,,,,0.06153098970732893,-0.03299246752303329,-0.03472405463742508,-0.026555462057564597,
SFRP1,0.009446513305785246,0.016243867260524368,,-0.017310870488419762,0.021907857969696177,0.11180671385716852,-0.00984099173736849,-0.014702567729945984,0.03894504871263674,0.05901207013098634,0.03196719093162367,-0.03941237208835828,-0.019732537035836006,0.036391031450996925,0.018657014228875213,-0.025938380396066454,-0.03821879315608044
CXCL13,,,0.018804213191188208,,-0.024361045871988597,,,,,,,,-0.03548458519339157,-0.01928583701581609,-0.0033398002652568993,,0.11928342814580634
MICA,-0.054213411462113746,0.06288817404297113,0.011523889344068283,-0.014326474121985715,0.06201131340634334,0.02946301901182083,0.04228353695278156,-0.030228721184807707,0.05999261935641567,-0.07468123124198292,-0.055716148730805784,0.05294413890747965,-0.009169911526428395,0.03458171137647195,0.005014358063450833,0.049142621886951454,0.022686961546111068
TG,-0.021109619891637385,-0.011974019318690165,,-0.01868117189167602,0.014666875502738404,-0.018792284970180616,-0.01995643713659663,0.01606639333713345,-0.026647099044050854,-0.04841102551309943,-0.007503583445755259,-0.08406189230635508,-0.020991023287836946,-0.019279702085870865,-0.02367864098675003,0.1411416202545623,-0.027383289011420103
ADA,0.04526104495088964,0.062045302972984315,0.01561185674165251,-0.05274596257823526,0.009726967828904934,0.07658667989808898,-0.02503272976371318,-0.017280515005784043,0.02186951254346109,-0.01311893955818086,0.05052556450138741,0.05998723337771011,-0.01792895383706455,0.06696823530055913,-0.0018240902438946553,-0.048779773692809836,0.013681333375258632
LAMC3,-0.03544434174331225,0.05964753938631772,0.012638101294797827,0.030034240732583952,-0.002817998582207169,0.11033793338738067,-0.032298097135406205,-0.016139038097875764,0.01824127907155671,-0.07386081201101269,0.028464453396082882,0.00719089211269713,0.056619007478939304,0.061753008812999305,-0.015986222403531872,-0.037700431998262195,0.024272849128957587
CCL7,,-0.017713765034629778,,-0.013506457430225962,-0.032298249116830796,,,,,,,,-0.02367691876109691,,,-0.018791433162418974,-0.03297385124471855
NGF,-0.026838547793971577,0.015956103700639327,,0.009622496191266455,0.019847657721238813,0.06283627296930142,,,,,,-0.04441598324297237,0.051912665109386046,0.03431304573371682,-0.032930508987771424,0.014794611738821111,-0.03471809824662757
TNFSF15,-0.03320263316332816,,,-0.015040100940927444,0.022342129836796946,-0.02177444813074141,,,,-0.04462271062413871,,-0.05922587897039306,0.05321483457426019,,-0.01786604495825026,0.017079236421362373,0.02401619137244467
HMGB1,-0.07333855773221676,-0.06806166990498337,0.017982534673494328,0.0171640072154814,-0.006793667874016238,0.10470251164371382,-0.031918362958586265,0.011218198094017235,0.03480831725490047,-0.016951124298529654,0.03199483332586794,-0.013944665249727728,-0.0583322990128035,-0.09098479179728902,0.03770296764568245,-0.09080509314687721,0.048552248500985835
ITGB3BP,0.0264976388262389,-0.015479199928838823,-0.0027544102534587363,-0.01953280418497215,0.027208741709856522,0.15848174454820968,0.043151995415080226,-0.007929842436203585,0.06624310664126909,0.07084097798599238,-0.15569682839484109,-0.042445786421303644,-0.0014421285413922765,0.012082759545445838,-0.016305576023636203,0.02062603246131438,0.008266320200855
AANAT,0.00340664691407912,0.04249644223848327,,0.00729531961589169,-0.021547506319860615,,-0.0027623150711790913,0.033637994583514505,-0.023795723634157637,,0.021403602867483856,,-0.020771338549541322,-0.03644303732108938,,0.12672257610424673,0.08662176526416286
RELN,-0.04627546063765236,-0.02425657790060486,0.019203054871179612,-0.023754017398026805,0.04173418497483628,0.00022917350263282192,-0.03951336978345698,0.026431319743476313,0.025690124423469712,,,-0.07862618344419091,,,-0.02158024612468267,,0.049364046661285035
IL15,-0.047196969917262604,-0.031275008665591957,,-0.04750007201942761,0.002138878864417495,-0.015493814321006119,0.013625288914392157,-0.004049123408418648,-0.022069433850225743,-0.02400023570999793,-0.03320983363758168,0.08779662647702453,0.008457328638336259,0.01822720992283707,0.011349704535497218,0.038079601387446996,-0.01080243805355952
UTS2,,,,,,,,,,-0.005987503531644576,0.03652939966233376,,0.02999337426842467,,,,
BSG,0.10415568028789211,-0.006850294969838651,0.03216914605213541,-0.008622062238172643,0.007667734036578453,0.08378435979917459,-0.021938273058140407,0.047284504987790965,0.03504497716409419,0.09828009087870462,-0.031002480509228478,-0.0529272734126447,-0.047464970941551936,0.024680548378920714,0.002303653750036456,0.10961210565462574,0.038140904476026936
ADAMTS3,0.02213362643880944,0.0483274648852979,,-0.030208559740759415,0.023687532250643233,-0.02495605270574808,-0.02944037095385009,0.034467071834275845,-0.02722549053759097,0.07920005471763963,0.000809543393411646,,0.0016975394735983793,0.09290934044930663,0.015747039050650898,0.01454086468312343,-0.015381798620034486
CD34,0.023639799183766085,0.04458612329706287,-0.006029860419742948,-0.022024912954744305,0.017521385327248326,0.10812782640526639,0.011208406857184081,-0.022947689453302125,0.08273840527103472,-0.08590733377177157,0.04987731569192034,0.022935512128395903,0.0327755587110024,0.05262190038098222,0.0164911514999272,-0.06106248441222046,0.031109624878629123
CCL23,,,,,,,,,,-0.042106414277776005,,,,,,,
PLAT,-0.05967934422430364,-0.017322589928105765,-0.002366987262224842,0.0354580855566073,0.0038580384454317963,0.08683759875150623,0.01638522085369558,0.019311678615989578,0.023870019255666258,-0.0029488266920289427,-0.06800706573971439,0.007329785694315362,0.09614920360233473,0.037994759712810834,0.002841095486579534,-0.033499640364653596,0.04788344467673086
NTF3,,,,,,,,0.05427314754618506,,,,,0.011443999968191466,0.09854937619265641,-0.004924679718257858,,
LTA,,,,-0.01731086967859003,,,0.014454163899646346,,0.10187989457599288,,,,,,,-0.010861340176223989,
CKLF,-0.03191674785323712,-0.030701484628395528,0.022440470262283897,0.04324468885056341,-0.06481538100502361,0.10260941851389453,-0.04239951558740662,0.019426683684696078,0.04849193732993649,0.09630760646083204,0.07455031814191684,-0.07017063382194218,0.001599323699159587,0.02143550587012405,-0.0040573664857952935,-0.002012541016834618,0.032131636123684866
CD24,0.0630982801063722,-0.04683406817143082,-0.011577121999097379,-0.017431089687401584,0.018459068691234586,0.05511012891681314,0.05100123761270052,0.017551301393577454,0.014006019911570047,0.02652381708811339,0.02744110798414946,0.04005617738920047,0.05353283631785923,0.03962223293231928,-0.024996743758680565,0.1163528920976708,0.0557107770747645
HSP90AA1,0.014659818388832395,0.022855092302280482,-0.06921429235599254,0.005080934717386155,-0.0042523825669788734,-0.15280558791676593,0.08688957299709424,-0.0016168035448055648,-0.0060864342577907245,0.007747639429273753,0.05183310335743326,0.07199552803825164,-0.09898839250339603,-0.14095439288858908,-0.052950308341041856,0.015166432126130894,-0.06008749864642224
BMP4,-0.015315596795515167,0.08919843366072086,0.11040147756085224,-0.040388337044194,-0.005833816865352663,0.23596118827002321,0.049920381418374134,0.04221364947814312,-0.018805439390539937,-0.013796824889943049,0.038692115352293485,0.03025943595014622,0.08475813638860256,0.0597725222107353,0.007539322222573077,-0.04643746124245844,0.017843691884422735
SCGB3A1,,0.1203293226750398,0.035790874610340195,,0.03309390315682231,0.05523030190171334,,0.09934138091468227,0.09320797713980539,0.09956148109088986,-0.016184625392138198,-0.02184812473084857,0.09455667644225497,0.025004507225202893,-0.006365654483297361,0.003712014981844427,-0.037588376915600144
IGFBP4,-0.05875410025316195,0.018264801923165166,0.061923736787291773,-0.009146430298303015,-0.05951062578378414,0.12926362357206522,-0.012362515123845381,-0.006957947759249857,-0.03217870173602574,-0.08154958698473806,0.09507113917904444,-0.014767622181177718,-0.03662978861096865,-0.049971385779515286,-0.020749883916665452,-0.04088074457594882,0.033840709069752464
