,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01244341551534497,,,,,,,,,0.015634819345767107,0.05700997638112477,
BMP1,-0.011978013372199819,-0.02178608958094224,0.0014273014393211304,-0.01506271340396648,0.03417726347802892,-0.03743248541737161,0.019081710852717537,0.022201392474426884,0.05928451195723948,-0.08634861761626705,-0.08902885994344456,0.05964747723256995,-0.054004874660040406,0.009415969213960245,-0.0033727690682341053,0.028395884999165302
NDP,0.08779714452038358,0.0803616795759242,0.015258488780071694,0.05882221940521871,-0.02355821692749593,-0.030526641284870138,-0.018628057934134412,0.030417114139884682,0.04926477181888042,-0.12685104762446103,0.0568979180928434,-0.042625064825713266,0.08157463640430258,0.06319987292261087,0.07577652973095236,0.053498226166861486
TNFSF18,-0.031214046085890155,0.01753992822645349,,,-0.018478098478716787,-0.013506325325882383,,,,,,,,-0.0064596609598161344,-0.028474083793378614,-0.008194728859278619
IL36G,,,,,,,,,0.04647220024368216,,,,,,,
RTN4,-0.07057066955031012,0.013768566921233554,-0.06073730582134607,-0.04521871305757935,0.02972709011065997,-0.005738880353232953,0.0058012567202948145,-0.02527253151195599,-0.0014892060875797582,0.07920164776560876,0.00498115965248721,-0.015876289378727232,-0.027657956399034865,-0.12601030345572106,0.025229598002841695,0.055720678103305006
HEBP1,0.005242589805388991,0.010155834567431863,-0.005656046289484892,-0.005354050823055221,-0.025047523898797348,0.013469264388082233,0.0030080269383695626,-0.0185070640722595,0.03337767774150416,-0.12545351361253915,0.04828744454458917,0.03749400450469549,0.03580168700168759,0.02998376994727375,0.03962069453027338,-0.07552723131743258
WNT7B,0.02005460392261992,-0.05026098390095023,0.02366923822172016,0.031581097863819595,0.016220252014114978,-0.030305310715973473,-0.013333402474102975,,0.08674407930614107,0.02925111769276192,-0.02697928325472876,-0.01589531043285664,0.004002794325997033,-0.02891533569447492,0.1313877521617561,-0.0493025629571467
PTMA,-0.025656271149580148,-0.0040485259014268,0.06445854507152114,0.012181600721601083,-0.02093033790688961,-0.07171358506816178,-0.0161995214941965,0.04291135757265549,0.06397714501319451,0.05704179598783472,-0.011985808522408643,0.020423270489300083,0.03918021104088342,-0.07598821006952824,-0.040127487590472063,-0.016312155304825653
FASLG,,,,,,,,,,,,,,,0.013202056107435587,
