,UKF248,UKF259,UKF260,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.025709249485325537,,0.004578404537698402,
BMP1,0.030498227884921326,-0.021757201284627596,0.01382313146122139,0.026176139413176664,-0.010001180206423658,-0.0554842490385284,-0.014385412567524103,-0.042791541184894734,-0.005460131824477953,0.03587109874935088,0.02939475225186431,-0.025634054843489167,-0.0024295239378898455
NDP,-0.053545963834335304,0.042554846693813424,0.07774178122580608,-0.0033962567134167084,-0.028234456613898267,-0.03893533266414951,-0.031088062122198164,0.006394351801141813,0.05227752998871048,0.029115655660139645,0.041866037549238,-0.017314867834338523,-0.023268312997138975
TNFSF18,0.00255913297989481,,,,,,-0.02697391235895852,,,0.05280059163466046,,0.008606572164129784,0.013895627361113893
IL36G,,,,,-0.013143812714505706,,,,,,,,
RTN4,-0.05079259699720353,0.02430679747148982,0.03643640461675271,-0.0036432026948659013,0.03695729460915104,0.10479299383375007,-0.0918489981649276,-0.017490075183033253,-0.04845671698586257,0.020060576601383783,0.08857924782314532,-0.01261020897534702,0.0056308182620314765
HEBP1,-0.009237069310634028,-0.03595663217409715,-0.02033955140385844,0.016205959611201724,0.06415565492682931,-0.05674223395984198,-0.03741260245023939,0.0020282199146608245,0.04396790583321566,-0.04531019843321287,-0.04511477099876376,-0.0010594479759635763,-0.05288460289331509
WNT7B,0.00024142991841558803,-0.01285305642086511,0.07795695640117126,,-0.014446564884613563,-0.044471283813940304,,-0.03421000660651737,0.037051475861477404,0.03683898271094148,-0.02415945712353435,-0.00628846602564536,-0.003408479166362877
PTMA,-0.003447930868136159,-0.0002608866417839759,-0.02946064957664359,0.0018224028214468121,-0.020520887646968747,0.006833112249535511,-0.01847117115314595,0.013345271008515302,-0.03527289008623666,-0.004686543064606723,0.013951939341043183,-0.036869379196456345,-0.04798602626229475
FASLG,,,,,,,,,,,,-0.015954302786787906,
CEACAM1,-0.026441408279826793,-0.018837046537623754,-0.01876222357984154,,,0.08234760051914211,0.022988953913266195,-0.018242386774114765,-0.004761979177057732,0.10966855679090316,-0.01603498306079712,-0.02219806906726118,
PDAP1,-0.007749703998812676,-0.012889897477066183,0.0040895839095207555,0.11040559905105068,-0.02761850115402665,0.07354482505098216,0.062056017084097755,0.027767692951264213,-0.04023854610427735,-0.0383583130608179,0.05894226851229344,-0.00994581701727672,-0.028676290078229645
