,MGH258,UKF248,UKF251,UKF259,UKF260,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,,,,,0.02065056831961956,
BMP1,0.02296691011428085,0.029852255336078194,0.019933146355492228,0.007197580323646781,-0.075187847296602,-0.004447111850432112,0.05309130711765641,-0.007259224000669053,0.09282427544411774,0.035836258410862874,-0.014144833935562968,0.013670183638435704,-0.08046334304567009
NDP,-0.0061416778180129385,0.06730131750517823,0.00793931064687421,0.054711929382711535,-0.029281196448934635,-0.026596654584847012,0.03795943017212831,0.010701926549580605,-0.01929527547307734,0.05055733444094929,0.050033745262083276,0.03580944288677742,-0.022761780009347005
TNFSF18,-0.005572971390596041,0.06777534299219322,0.005793865304589888,,,-0.013868992690160828,,-0.01818196978391869,,,,-0.024060955029683535,
IL36G,,,,,,,-0.01883487084971528,,,,,,
RTN4,0.017592095422971618,0.002848450118946497,0.04175857864778632,0.05790670371190758,-0.023141486736809658,-0.03131448293153224,-0.014254486414916194,0.006098259239671718,-0.0598858375123675,-0.016515505810154856,-0.0849697308035136,-0.0002412603055322108,0.09203581116197787
HEBP1,-0.012257557955378046,0.0182373960452141,0.03211084012319813,0.039785908060345224,-0.0015103720644861133,-0.02220334213898515,-0.049725221675525136,0.02781108472562709,-0.0060184138471941545,0.03441113085546434,-0.004837431663883571,-0.05416627352604818,0.05594170241365149
WNT7B,-0.021587519943899194,0.0008094272462286703,-0.020997616883613065,0.004502606729746338,0.04695575821478537,-0.039754176514216054,-0.02070169362071294,,-0.034477280638715524,-0.0393927730213537,0.09203787146498409,0.013029754457673398,0.04143946321084916
PTMA,-0.05532669784326321,0.06755262920296919,0.01835289395778523,0.012034484467984208,0.02299634846343453,-0.07590854786514616,0.009662696473617316,0.03023129777770974,-0.06436726211883527,-0.029181164170514737,0.003130039655497043,0.011299574604341773,0.0033148334992258474
FASLG,-0.02158752604663578,,,,,,,,,,,,
CEACAM1,-0.02997446884302933,0.007911937596478692,-0.016114408036558482,-0.026274341079143768,-0.020405123694779894,0.016207560338955616,,-0.029222881142129342,0.10712688946330742,-0.008992539753367673,-0.025816669378527734,-0.0049521538794440574,-0.023713502606842695
