,MGH258,UKF269,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,-0.012238775290546728,,,0.00704730056577902
BMP1,-0.013135153899926573,0.056923906540240536,-0.0038320354907210026,0.028178198341856992,0.053589577391113155
NDP,-0.03453795880959794,0.003410442157099506,0.023517400688734282,-0.002865958532352301,0.05154274708736811
TNFSF18,-0.019279987219288242,0.12821610169969247,,,-0.0014625472459556133
RTN4,-0.006207544562650378,-0.02565379768640983,-0.019527440872933684,0.025868877459527435,0.0507021456899334
HEBP1,-0.04338806185759805,0.057465167630129446,0.011219945610706519,-0.03330679224095223,0.0028846561104687823
WNT7B,-0.01698506487420097,-0.050655912935924925,-0.034870370073204114,0.009484589656634155,0.056713597608905965
PTMA,0.04886115861454643,-0.04626251585462342,-0.015198848296802962,0.06069451376914601,-0.021057076958369413
FASLG,-0.0169850696758353,,,,0.03867977646106539
CEACAM1,-0.02358391789291431,-0.007138956481337341,-0.016893070866904305,-0.015355405833544389,-0.02090743430756493
PDAP1,0.006088378350111297,-0.018450470000738288,-0.03925395480507663,0.022085118421115723,0.004810452956211508
QDPR,-0.04481759338230344,-0.06080600673284666,0.03144763306075921,-0.03588797557769509,0.04964157856801979
POMC,0.0195496739752085,-0.030829346832468022,0.03393798792594238,-0.025119426771093915,-0.005808621992742243
CCL18,,,-0.041251760404123414,-0.04521016227390206,
CCL17,,,0.0433622896697933,,0.1956771011118533
VEGFD,,-0.0205032315868245,0.006915954704062775,,
TNFSF13,,,-0.02650697472090541,-0.01724309159284157,0.05537026518535093
WNT5A,-0.030531959884532795,0.04151409040423167,-0.042480522826310145,0.08634439972158518,-0.018185855255869257
CXCL8,,-0.02001619258288883,0.0017936254024106262,-0.04192684262580826,0.01059415691391343
GRN,0.01892841218513659,-0.010989763829592245,-0.007778421177892533,-0.024837526625082092,0.0248844565202629
MIA,0.08239907627039107,0.03030805061501035,0.08242942765415204,-0.03329755344933253,-0.0004566580875552063
COL4A4,-0.019670780304333193,-0.012060404623692378,-0.012146360389520291,0.10912013145546044,-0.019750895557694593
TAC1,-0.016985060434957754,-0.02444810071396036,,-0.026492449549149345,0.027698154837392946
RARRES2,0.011422307654456103,0.0016737387287321201,-0.01935390237529959,0.039708747022359485,-0.013522288184840015
FGF7,-0.03754156211252199,-0.009922915948659251,0.03495231272701201,-0.013219107212897157,0.01685543083045668
EFNA2,,,-0.01605573332270715,,
HBEGF,-0.02936707835744576,0.004073116360094454,-0.02557383953293745,0.014448626367435383,0.022418028314518973
CSF3,,0.01707984447108013,-0.008346672259199618,-0.022014071790336896,0.10151245604697236
PI3,,-0.01436756353809299,-0.025289682249872398,-0.06408967607568587,-0.031155550675908788
PCSK1N,0.03810278489104893,-0.0029926742396720538,-0.018825877132348054,0.0457666713463542,0.04322919791142094
NTS,,-0.015683176631098455,-0.019560864262791276,-0.020621411916760642,0.05476216464406217
SFRP1,-0.005396592412101628,-0.03685651522816126,0.0032797820396256896,0.016875405453235334,-0.00118738611897328
CXCL13,,,0.015372848925302152,-0.035909532127447456,
MICA,-0.012815072346892177,0.07375240201784629,-0.003480429924760162,0.03535335844442625,0.02978750381808826
TG,-0.01967077587144711,-0.015399787298814919,-0.024091342663399858,-0.018117919364460586,0.05157480826890014
ADA,0.06860886185186152,-0.00932999951187963,-0.009714655560519998,-0.0006285480866042982,0.0722430292812879
LAMC3,0.0702916863275538,0.009189378483247928,-0.062192958420282114,0.013472121784149929,-0.014879411285249786
CCL7,,,,,-0.015026686231844909
NGF,,,-0.015839917254917315,-0.03779335055383503,0.05957952037637837
TNFSF15,,,,-0.013670360646818277,0.02776986057911297
HMGB1,-0.011758546952260975,-0.051180342317570945,-0.03929725391761147,0.08730737958592241,-0.025197356132586352
ITGB3BP,-0.010412932481321982,-0.01815372032894644,0.05075791664874479,-0.028042486947007717,0.00999474831286347
AANAT,,-0.011509573015365962,0.015770860976658654,,-0.01589886067883885
RELN,-0.01630759471203579,-0.03377269847124474,,0.07560633715137897,
IL15,0.05166613681516554,-0.030021656526822392,-0.006395829801909554,-0.033346216956856516,0.05875055101895712
UTS2,,0.028707580746801107,,,
BSG,0.025172769864142998,0.05102776330985198,0.04658867802033139,0.011468648023796133,0.03402380418693555
ADAMTS3,-0.046388315675722804,0.020815997403334684,0.0007936980322940819,-0.02127600831810988,0.060585851361036724
CD34,0.02715345606980604,0.05729237169352147,0.03159084201589147,0.021669234211465174,0.003298778153380509
CCL23,,-0.013096067067023464,,,
PLAT,0.02665007210620727,0.011816948358122803,-0.009612852373764023,0.10559381083452293,0.07590684961941083
NTF3,,,-0.021535568160112286,0.022101702236361983,
LTA,,,,,-0.021397470457908217
CKLF,0.0496360153163512,0.00655379578277981,-0.010628535306857492,0.02320742223440346,0.025640884574187825
CD24,-0.0454531657284417,0.02959277764167483,0.02346456387572276,-0.026260594002508755,0.05498378052673847
HSP90AA1,-0.045332635872722765,-0.02891388618059256,-0.0006208747536752642,0.014422791843343405,-0.031113456689613336
BMP4,-0.020244084084183545,-0.03525421476142175,-0.0028599456637071873,-0.028136880242238888,0.013002196614573715
SCGB3A1,,,0.12107862349567915,-0.02838902546280604,-0.003537266107475878
IGFBP4,0.03613081809847411,0.07690140202339964,-0.031939199486085194,0.028012208837521698,0.03911643531914979
RSPO4,,,,-0.019118800478687248,0.029435947983155093
LEFTY2,-0.019476285434884603,0.062233936830236744,-0.018461208633192252,-0.026000305551236055,0.12980550334841898
PF4,,,-0.014716191180462994,,0.018346904283698375
ANGPTL2,0.06795010652561265,0.027413037505166223,0.018321267277366514,0.05228648924826674,0.05930242433533074
LRIG2,-0.006044776326274324,-0.010239048080903179,-0.009205127537621217,-0.013773533748983382,0.06495077532714572
ICOSLG,-0.0065614902083115855,-0.009738021066464259,-0.0032493452589771356,-0.0017210683353787721,0.07376450503493516
WIF1,,0.0015155810366055582,,0.06653205509086342,
NPPC,0.023382585698446343,0.02252650809736203,-0.02784402028697472,-0.0055869602938331785,
LYZ,-0.07780511528705043,0.029653013984395016,0.0021760648961963165,0.031442458470954324,-0.023996791088917124
EREG,,,0.06704618705269269,-0.023812788340528534,-0.0066064180398133715
SPTAN1,-0.006627102434716558,-0.014008068957432935,-0.03708555780350919,0.030415639264619623,-0.03826001806374156
PTH2,,,,-0.030405262035424978,
LIPC,-0.005627960671339985,-0.030103126997635128,,,-0.011970977484681377
COL8A1,-0.03355589131001168,0.09046855230534588,0.06858836036490801,-0.03074058620958661,0.08148518897450524
GSTM2,0.03199553825867533,-0.0019255340768836453,0.048863124759104454,-0.0024926526415552435,0.04254881806757839
SPX,-0.04092750654103099,-0.040365126085966624,0.003494428411259611,-0.005711990231038534,-0.025776883251690547
MFGE8,0.005987957618200161,0.06392066175068123,-0.009864340726995564,0.07295706686227768,0.03895939219986327
TGFA,0.012737553054271185,0.009274622780069165,0.020481107797310986,-0.013275581249755159,0.04697729149267738
SLIT2,-0.020244080844826505,-0.03824454802452691,-0.016229268916851298,0.06834389762646083,0.021932442217980623
PLTP,-0.028572221247021898,0.04846688357645921,-0.03742742567255603,0.030497639102437177,-0.012855359219033358
APOD,-0.032311771624245936,-0.057762205263371454,-0.021444884306940006,0.07660250919393972,-0.08025671057510024
B2M,0.018368813426770356,0.01223736153797325,0.0027106265472813594,0.008017979110384236,0.026740982570477075
OMG,0.02374567244373237,-0.041147633828826975,0.04744417575915823,0.05294567383526004,0.01694877838823198
CXCL3,-0.015840938197892136,-0.015111519181862099,-0.021258585949906178,-0.03917525027183576,0.008588562856191908
CXCL10,0.024325771402242798,0.03951822435761592,-0.019738678545148672,-0.026124081492833243,-0.008512961067062882
RSPO3,,0.022206737585468247,0.04258874863751349,-0.013611894606446868,0.09236284094784412
CORT,-0.019670779987698374,-0.008535107951167248,-0.01539974610369187,-0.031797129347671954,
NCAN,0.011949136908854945,-0.07174439537671998,0.015866553854769743,0.03303607556625941,-0.023848830565410817
