,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.06257131467034947,,,,,,,,,-0.019085634268265015,,-0.026852060331054844,
BMP1,-0.049157414547102776,0.0648242222757979,-0.011727083704290568,0.05131969364024635,-0.03761732853343416,-0.06021871204130047,-0.01706547369799019,0.010987571753906402,0.01863583747757047,0.0069725068737732385,0.05681111606813305,-0.013293257159555153,-0.02643562550075589,-0.04279894841703862,0.17185241580208044,-0.038815870302784994,0.019510215278264662,-5.6988297564832086e-05,0.033405400900315185,0.016533148988107142,0.009372589017051928
NDP,-0.06448720633967969,-0.033352871189926685,0.0734076544616709,0.05095295047381639,0.042587370557106145,-0.011365467764822142,-0.053365726935146046,0.01766494265002173,0.01336798484324927,-0.056208347673920286,-0.0009078119630744022,0.02693525071889381,-0.014165340272289077,-0.0719652846369728,0.04853116642152386,0.00681896239521567,0.047002542971173324,0.03316348257476483,0.0315715620900404,-0.02614732781544829,-0.07646727963470769
TNFSF18,-0.01658332170830995,-0.03062558799065353,-0.027202455722792986,-0.024921959522596175,,,,-0.015079726550022427,-0.033968534305869415,-0.023677542594562416,,,,,-0.027128087426002336,,,0.11020841683634429,,0.0025796728615197963,0.01999930037358345
IL36G,,,,,,,,,,,,,-0.021998689989736787,,,,,,,,
RTN4,0.04622594134679869,-0.016296688143185835,0.040980101696952285,-0.009027508811838355,-0.023795594088652536,0.029701034524530122,-0.021202574699115035,0.014269734307585632,-0.10687415640761903,-0.021127970913701232,-0.0344371641111722,0.09792351758034425,-0.07053081335729396,-0.04093533827978596,-0.08876945643812803,0.030286871961651786,-0.02668126489416632,0.03644659549513693,-0.0017572759136725413,0.05930720246397042,-0.12060395678788814
HEBP1,-0.02594967384663306,0.012018195671378759,0.029480314285111664,0.043440652102820096,0.0512543076899677,0.04088851911649873,0.02478718203006371,-0.023405137976048714,-0.02507055098361404,0.0013769386437319407,-0.01091939256472168,0.09076311997049363,-0.026418813106965266,0.12347516970495834,0.07388088089991995,0.026152914625222654,-0.029344795788040934,0.036744156932955664,0.03926376329109212,-0.040771382312796166,0.030199209415339292
WNT7B,-0.01460938702094161,8.746131581887364e-05,0.0391405127338957,-0.01548074870568214,0.021618278096450564,0.02024000713762126,-0.0023720866115537597,0.029199669485277538,-0.05480708984662688,0.023803990221252035,-0.014267907588083337,-0.060086079290705585,-0.024179095458541987,-0.049779415252336506,,-0.05494923326812971,0.023786783367695994,-0.04115807144077096,-0.0300312255423714,-0.0037351022611598053,0.037490997012356704
PTMA,0.039279631350688494,0.006673967669530514,-0.02765786631456347,0.047099624993726594,-0.11281206687580733,0.05563230584310325,0.03068592240684384,0.002830376168101912,-0.01864256795351171,-0.03058312466113028,-0.028267324069273687,-0.0010809204644143925,0.0817465992154288,0.005564995040266433,0.021660176704370437,-0.07267965545175947,0.019027602033848352,-0.01515154372341579,0.002240761969812785,-0.03481298877005123,0.012507501826478013
FASLG,-0.014609391150977896,,,,,,,,,,,,,,,,,,,0.029869381614359886,
