,UKF248,UKF251,UKF259,UKF296,UKF304,UKF313,UKF334,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,-0.01839538094264742,,
BMP1,0.00016889781924043574,0.035895086073335185,-0.06708421440491111,0.0029584178513365656,0.022785152017071802,0.04899347031524401,-0.09633865176550668,-0.003694613599231596,0.12426242016113208,0.09484927222688527,-0.014716282449154246,0.022309698785073495
NDP,-0.06307966548382861,-0.0022649343122016856,-0.043003534495968734,0.009062939718580071,-0.01008122929161929,0.000705815428734016,-0.036728754900367165,0.028140363506239538,0.04654674918759954,-0.05194667203546117,-0.015363895449744376,0.0063397945701911314
TNFSF18,-0.018058885650753424,-0.03674364640953612,,,,,,,-0.031128618676464544,-0.031029718893716914,0.012895275366159555,
IL36G,,,,,,,0.006653345855161372,,,,,
RTN4,-0.04532101885785623,0.011882438108228538,0.008816628003104914,-0.04681590479000972,0.03438135584982343,-0.044261537255940675,0.09403192116719881,-0.10555571707957065,-0.08052385161064614,0.04181427666207264,-0.035084809094262405,0.05892234316599987
HEBP1,-0.014766956016750071,0.007928600601975349,0.028325301546911003,0.0005998079579606707,0.013930084030533679,0.016638018539925862,-0.005796969123864073,-0.005504177206350778,0.03161066601058684,-0.04615699119922898,0.04427791553895888,-0.016861099883808895
WNT7B,0.018184687138692743,0.03470459742604987,0.0020488887782632846,-0.024068467536764716,,-0.01088878762225847,0.0027984139655314487,0.008033061281820408,0.1604400731134812,0.03337765868588293,0.08048099597904125,-0.02231207524100398
PTMA,-0.03094704526671643,-0.005245583965369748,0.04673518129750178,0.028461081120521366,0.00360056273936501,0.08421780339153632,-0.13821153045237403,0.025867700314572133,-0.08209404950065265,0.07404394164192428,0.029498326865556077,0.012208712262739296
FASLG,,,,,,,,,,-0.015954307615883213,,
CEACAM1,-0.018743062220548397,-0.017516058082168853,-0.02627433897835939,,,,,-0.01603498306079712,,0.014600758128579062,,
PDAP1,0.01103215594139142,-0.021134546786719537,0.006586418422519566,0.017038663786181935,0.013619721006744221,0.1045658811147773,0.007457293696711203,-0.002670605049631518,0.0024105541813760926,-0.043158006126990264,0.11647200828878279,0.031100861326836742
QDPR,-0.01827045671583745,-0.021080103330606812,0.0018098370140943506,-0.011789880272935257,0.027212723510529852,0.07181245597434269,0.018749214376207916,0.07001948552631197,0.02855326601253175,-0.015017226407267353,-0.05144689082338691,0.023352755853842812
POMC,0.06583614148987676,0.0029503024608190037,0.047309278954703014,0.01337241640771341,-0.009086950207763842,0.0156341740739223,0.01811739320533092,0.0034638941687834966,,-0.005439297859630767,0.010209496307518877,-0.05129418885059046
CCL18,-0.023389570731244334,,,,0.09796076381731869,0.0726043098369352,,0.005960497203509846,,,,
CCL17,,,0.06102692607641633,-0.020351965920857196,,,-0.014107553208582561,,,-0.014460787872046554,,
VEGFD,0.00545321971207237,-0.025088238967077008,-0.01696671180085197,-0.021851336813144065,-0.011358232039047369,0.17577791037917867,-0.015119501731634327,,,,,
TNFSF13,-0.017650526245586055,,-0.0105045763524009,,,,,-0.018006211272057714,,0.01101984478696777,-0.043230454561671516,
WNT5A,-0.0247203672159639,-0.012247762265907668,0.020919355768505225,0.07230500134087729,0.04619213576106192,0.0073450683070468495,-0.05021557628084427,0.0033279455074056905,0.02719941509939041,0.07144565342125951,0.002601338754248042,-0.015669379336033795
CXCL8,0.061715516974314884,-0.02349113994142333,0.09144713494095867,0.06375286792533195,0.012115396109677089,-0.023322113993672296,-0.029475853285537767,0.023778927178242495,0.03431183282240785,-0.020590714955337944,0.009512722427329347,-0.06323273125723619
GRN,-0.003844818100161935,0.03647884184311754,-0.037135172712544316,-0.01641316825812102,0.04984911498253837,0.016516195827347875,0.030091894309523914,0.05939092737561723,0.07858896411319574,0.06253606115042173,-0.08200523968733109,0.0010541167815504228
MIA,0.04421024019201637,0.008102581215541435,0.058240215759216674,-0.00021348194688905028,,-0.0031883433444493924,-0.020706850511349788,0.1485828074644176,,-0.0009499642786452631,0.044427660648334893,
COL4A4,-0.02809068441343529,0.006017379507612087,-0.017694417981589092,-0.021249467072344017,,,-0.020086413201494124,-0.00965200374290837,,-0.02043625445998478,-0.002609110403157153,
TAC1,0.02225006623718045,0.037063661550660924,-0.04989041083936884,0.025644612368747776,-0.026575203033408754,,0.07540405486443122,-0.027664913865814572,0.008527385318696458,0.04608114933164914,0.024402064209818608,0.15313378458622712
RARRES2,0.03044041517658637,-0.015854656306553284,-0.042059546024154223,-0.023836694119132862,0.026673954181365173,-0.0403235607229837,-0.061313982033868064,0.011072500693533023,0.0024049593977274126,-0.010425587965720491,0.09061044572882762,0.10685209785381695
FGF7,,0.01977281858591908,-0.016281887312887017,0.02043809176494411,-0.003702129076555204,0.08048799570213995,-0.05403804137718739,0.01589375241425594,0.04488532266650283,0.008650776815779282,-0.004797773374900443,-0.04679423640672848
HBEGF,0.07879175107428417,0.010961833784152815,-0.007681417897640099,0.07450200016215362,0.017141363305988238,0.044995033755575224,-0.010937562389505034,0.030530828847166458,-0.08154860744616428,0.061193194863232825,0.04757081133394808,0.07571689326286843
CSF3,,,0.12575803362759597,,,0.03766567382052595,,0.09033211523211265,-0.02797752323340265,-0.01522497878943243,0.013247314995914366,
PI3,0.058021342816458946,,0.1162012770758459,,,,,0.030704079875277856,,-0.00720450661428977,0.11138696794061892,
PCSK1N,-0.01769080242482897,0.07186354249334281,-0.07057938270640178,-0.04204918614586932,0.005503204257209323,0.059671759955968046,0.07460731114167372,-0.018253006051517626,-0.014233285006124424,0.011809759597409687,-0.046879142583288166,0.12732287175906912
NTS,,,,0.038167012346059244,0.030054305036732093,,,-0.037518039812155825,,-0.022546117490505505,,
SFRP1,-0.021047505094279797,-0.021603879774596112,-0.013287831686745421,-0.029790016046167683,-0.010835099908947073,0.005735296662312864,-0.020419351798334803,-0.06238661666721399,0.05770728891015745,0.05620834458924447,-0.0014577198465480917,-0.0345440112917676
