,UKF259,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
ADA,0.028111989542169803,-0.017055159568995656,0.13389756354210858,0.10442759427664157,-0.02494313351423293,0.009118173613333922,0.021202741876483747
LAMC3,-0.016871661146974137,0.11060180703797093,0.0976970169785996,0.10848670356663513,-0.043188238646960704,0.030464407987776575,-0.003803316170223301
CCL7,-0.01857601483560068,,,0.019548995591233295,,,
NGF,-0.00660483624870282,,,0.011677607216706243,-0.018003726821769733,,0.001595444045361272
TNFSF15,-0.02068530106068871,,,-0.020549313692983625,,,0.05181953848529453
HMGB1,0.015368423532817133,-0.002270793793886608,-0.06049558054817223,-0.007263039596774846,-0.02675412256363429,0.011157284114857648,-0.024677481365699763
ITGB3BP,-0.006679277191852358,-0.03886661421158735,0.03786172229827889,-0.01873822013115422,0.091991906987714,0.004586381431316933,0.09715437553162434
AANAT,0.04328521504198937,-0.012105161408926491,-0.012305669260321561,-0.01849192089023215,-0.02455824418963412,0.03520928784150539,
RELN,0.002238028183428528,0.021167488431159266,,,,0.07324713509948076,0.03552011237280788
IL15,0.0004470519448058456,-0.026017958966371345,-0.03887244474952776,-0.03387795671604391,0.02874201396480802,0.0037091887298949964,0.00784857202020411
UTS2,,,0.052289657075915784,-0.015747224017125677,,,
BSG,0.001132584714651353,-0.054864677142967784,0.04217807632036425,0.027579657981178198,0.05476163910807676,0.039301564044020645,0.05216424484994012
ADAMTS3,0.03309511366288117,0.00685131780548147,0.03630994894017046,-0.04720111715820572,0.015727186372538067,0.0610383421420183,-0.02526514669028761
CD34,-0.011240086575983424,0.004357505469481358,0.05881807226749922,0.030991120509675,0.0526484998584949,0.015733999216785137,0.04039222689548246
PLAT,0.042810889627748795,-0.03784888244699388,-0.09205959224839907,0.011626903181587258,0.031480010372622255,0.014221986755453053,0.022584306668292326
NTF3,,0.039156699007310614,,-0.004177615187490973,0.09194355308062363,,0.007378400695107729
LTA,-0.023808387478940776,,,,,,
CKLF,0.0416863746485046,-0.019778431964951115,-0.03021073309577744,0.029664453470972907,0.029942519129514303,-0.003686509552478131,0.038079821632204865
CD24,0.03544937240241336,0.01078839257399901,-0.06313075481350085,-0.04058265505635741,0.010151909594067162,0.09120829967199187,-0.018260894794882524
HSP90AA1,-0.008535160576568663,0.018922932095684516,-0.06734438260602273,-0.07106127370837226,-0.09946435495629494,-0.04612646272054249,-0.02658656827685527
BMP4,-0.018885413132312748,-0.012202345854391502,0.13058245909539906,0.02173233533154861,0.0039387665814163125,0.014884942448290464,0.0071344277037740066
SCGB3A1,,-0.010210822045254173,-0.01827741007426072,0.049923246470583584,0.011998891832849311,,0.01990659050641118
IGFBP4,0.004381906750217102,-0.01989675143379965,0.02200883027247922,0.06903023595998263,-0.0636609160073996,0.001593822709878178,0.03742681228273868
RSPO4,0.005669228214100143,-0.010210820551690463,,,,,0.04045086791121778
LEFTY2,0.055730893197901095,-0.011196289616007788,0.09609149169950648,-0.017893384157005702,0.13415914806129003,-0.00947472355037027,-0.03853623681864572
PF4,-0.016207206974747417,,,,0.03190251610598314,,
ANGPTL2,0.019191112725932345,0.04657053841569793,0.12394690983907554,0.03819813104698768,0.05244632558121057,0.0020500261504685885,0.022326316360421955
LRIG2,-0.01640947145908226,-0.020676166162970303,0.010896665887727003,-0.000734490181190491,-0.016231857919218648,0.05546195131023098,-0.0020456053744707893
ICOSLG,0.008952238178948017,-0.019378230619057486,0.019588058003289402,-0.01963119660152753,-0.03174944912261556,0.023453710737599276,-0.012512684607702992
WIF1,,-0.019214650176258376,,,,,-0.026341841994432787
NPPC,-0.025141374819212456,-0.01419054176219854,-0.010247239628127017,0.07333538777579823,-0.0316476485829423,0.08829928578558406,-0.02166065932576625
LYZ,-0.000818962756072452,-0.015233013758693802,0.01834618361011385,0.06142102031381491,0.04029025222163513,-0.02237668300641388,-0.01248164508647849
EREG,,,,0.03334675573385845,-0.05314915332499198,,0.021045514610637164
SPTAN1,0.02523468842466882,-0.01472536996153703,0.1273878491871562,-0.008687837364175334,0.038099167009237316,0.003987563620728407,-0.01560302307126066
PTH2,,,,,,,-0.010753654636010444
LIPC,0.01151215276360012,,-0.009639553795880617,,,0.00920459878675545,
COL8A1,-0.035103822529690146,-0.02315201272047125,-0.08486212874660846,0.02077256410809273,0.03147621902154412,0.00924193212145931,-0.04677501769042459
GSTM2,-0.013015830523535986,-0.009238724087952817,0.02665024381824095,0.003062921151123549,-0.00855750381533951,0.048659023800032765,0.007359332205796569
IL4,,,-0.03755005829759109,,,,
SPX,-0.021546891311431497,-0.016597100538164627,,-0.021252462669635337,0.117081428189079,-0.0806581464752113,-0.048229986106258164
MFGE8,0.03286329756534504,0.05276193206464352,0.06055643245061013,0.062415359104067515,-0.007417093191628311,0.022709196804997528,0.037042007749647186
TGFA,-0.011021099040093586,0.05151760535635008,0.06493924065310143,0.018178375606219183,0.001540202380708325,0.04421801771836972,-0.0013993133844222123
SLIT2,0.002398004885402992,-0.01394605671719919,-0.021119718664950417,-0.03577601893336276,-0.014563105472116386,-0.017328423088960758,0.021755698333202112
PLTP,0.04066695174037405,-0.0709774929137988,-0.024251092884749515,0.10353308204784258,-0.02130990299879865,0.060551698532877125,0.012417533271220376
