,MGH258,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.1274080209878585,,,,,,,,,-0.018656933546572274,,-0.029555079512574356,
BMP1,0.024950338221658798,0.13033670679268253,0.06518260562893573,-0.04776110086961724,-0.019998052672301377,0.10197358911182614,0.03479117095346997,0.012883205822516914,-0.02640814714217133,0.0033518070201245137,-0.045616658838790104,-0.0436753284836625,-0.020087843304209336,0.10004272487307966,-0.03059916872307382,0.02280477313538403,0.10342043912017249,0.046133014741775204
NDP,0.019981648702782816,-0.03366197779911092,-0.006249989510944064,-0.02271142056930428,0.03556317863632135,-0.007945857409983272,-0.038344558640964865,-0.003607910214852268,-0.0925912622083947,0.036632114855633995,0.14578988618826882,-0.03946291290565846,0.028668995921532915,0.06517879184063527,0.06853123928550219,0.009687684586338707,0.005201816407582714,0.040032510181507226
TNFSF18,-0.022403032097128125,0.0392056951012808,,,,0.016711887362133453,-0.01796889873957333,,,-0.007334276479988156,,0.0005504041292575148,,,-0.019240566252363898,,0.07399172280871671,-0.030622120646012385
IL36G,,,,,,,,,-0.02108120829804275,,,,,,,,,
RTN4,-0.029680426892780814,-0.012500757140615411,0.045671455635383475,-0.03343499501528992,0.016820068624084826,-0.12692878730688129,-0.04471705439788491,0.003738837511382334,-0.00801905336393263,0.06600186010032584,-0.043270611883734565,-0.06379462689644896,-0.012631668105496182,-0.06713175397647217,0.012061279302179036,0.020018352302224873,0.053623559303469945,-0.048735040258892706
HEBP1,0.05577930949225958,0.03084285384199894,-0.03715857451427868,-0.03303857209028396,-0.0011488381611044617,0.06208747031007999,-0.0037995477265527263,-0.037445289059864224,0.009773598597553591,0.03908139944662669,-0.012767365591147632,-0.08855981510313381,-0.02533337437899647,0.0670099156070959,-0.06286235198157787,0.040784615175026954,-0.009348452004897652,0.04263026168525497
WNT7B,-0.019736369595092253,0.012798285373833365,0.0002656171270757358,0.01592624583009036,0.03195757573787943,-0.04774941311996333,0.01318151069062341,-0.049559264653407584,-0.023170677347496085,-0.034101564941363426,0.05741990234822338,,-0.03572386662954751,-0.022882049260084636,-0.028038864539766003,-0.01955957414926759,0.026275334424687727,0.009440145671913636
PTMA,-0.01414581411483935,-0.011329877616643596,0.07987997056276357,0.06788243390034097,-0.07834497946270463,-0.01714694612354876,-0.024821825499602223,0.020964324093136193,0.03040893111640815,0.01045151974825594,-0.07520090662079293,0.07468552733309954,-0.07820185640128573,-0.04916265856331929,-0.05597276745497754,0.002720629787382226,0.013253255831596549,-0.026123685631335082
FASLG,-0.01973637517451338,,,,,,,,,,,,,,,,0.03842716995621059,
