,UKF243,UKF259,UKF260,UKF313,UKF334,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.020566575447074006,
BMP1,-0.04965636250785002,-0.07781021882645855,-0.016640551807881276,0.011925642218885495,0.038433888857433506,0.05832736229766248,-0.061839078942313795,0.059043177221331435
NDP,0.02309088038463445,-0.04351038300853352,-0.050185184402201745,-0.021061430252757873,0.025511542480337768,-0.011099739201869229,-0.026144866654913012,-0.006225782938501282
TNFSF18,0.06459301616497154,,,,,,0.013148716567976037,-0.005309478039409967
IL36G,,,,,-0.013349800014265598,,,
RTN4,-0.004172678725003594,-0.028592556753313823,-0.07383972155054,0.06008866377908995,-0.05867257208924251,0.01741550020070566,0.03989593612577849,0.04818227774494583
HEBP1,0.01884887018566093,-0.05750286149907925,0.030300625791967496,0.07226924707330826,0.014850106170149075,0.03626680718632331,0.0003761479942802869,0.016004698314693734
WNT7B,-0.01890669732096417,0.10544121341920079,-0.04945222021058758,-0.06598734876925916,-0.014672968665314383,-0.033485852643249894,0.0185317011691713,0.05980029171995224
PTMA,-0.09389217488339004,0.03115969270242038,-0.05978902246539105,0.007757702092278938,0.11676503709745192,0.024756438903729007,-0.0465983022183595,0.054392428006769876
FASLG,,,,,,,-0.017837383868858685,
CEACAM1,,-0.015166712230820794,-0.013668946017380114,,,0.02798390135549597,-0.024818099818694338,
PDAP1,0.04000280126429181,0.028915144894756405,0.009305280777622275,-0.06368584206123111,0.0487067071147717,-0.01228631141129755,-0.004512685512152739,0.0895139558914353
QDPR,-0.03585261702976925,0.0005766221967169354,-0.057947969843812,0.05198935087181178,-0.0659269648160185,0.01440257718254056,-0.011174770353259996,-0.012279569984514868
POMC,-0.03607489867315214,0.03571977289383045,-0.02750515171181256,-0.021563512741881924,-0.028602089615501727,-0.0450531078541474,-0.030665099836076806,0.019317210710216942
CCL18,0.08298946176821953,,,-0.042287783126166795,,0.02150377788150141,,
