,UKF334
AGRN,0.029213170722443182
COL4A6,0.031238374926969268
MEGF10,-0.011765229870516342
C1QB,0.057177065387809686
HLA-B,0.06761751109491056
PDGFA,0.02163083836509703
LAMA3,-0.03459318654337751
INHBA,0.021118939862622997
IL7,-0.017456442275615037
FABP5,0.042386525417139505
CCL4,0.010317110727750935
FBN1,0.027911208521694177
TCTN1,0.03554299898332441
BMP7,0.016701402132933703
NLGN2,0.04616043411963456
CCL25,0.032860579785182004
NPNT,0.08859886404436448
KITLG,-0.03230481722081936
MADCAM1,-0.02501844118952605
F12,0.062566785775021
S100B,-0.025625001027029425
CD99,0.04476423740573442
PDGFB,0.06921525790804407
CLEC2D,0.023246061060683828
F8,-0.011894087629145383
C3,0.03596433169145113
DLK2,0.004832357756778063
TSLP,-0.020316380722509603
OSM,-0.017307666770200972
SLPI,-0.036288809475349675
AFDN,-0.002754156622674298
KISS1,-0.017274549719296806
ULBP2,-0.02823381206007326
ANGPTL1,-0.022419349515079456
LTBP1,0.06904580102402613
NTN4,-0.027588438729600394
APP,-0.0591129422059483
RIMS2,-0.026887060738497455
WNT7A,-0.048199484023105116
GPI,-0.08186510116321766
IL1B,-0.0122541287158027
SFTPA2,-0.013843708661447388
HAS2,-0.03275902747740065
IL11,0.07284743466780719
SEMA4B,-0.007307137961505619
FGF12,-0.020047781316477883
CP,0.06970633818762986
NLGN3,0.03261169117599247
PROC,-0.03148973011117399
AGT,-0.006320823950542833
PTHLH,-0.008412211420391088
COL1A1,0.09389310026465884
LAMB2,0.058516611098241966
DSC2,0.09401191987775531
WNT5B,0.0722449519286681
LEFTY1,-0.007394377984676758
FGL1,0.02658758042236529
S100A1,0.039400811741067236
NPTX1,0.025780371307028448
TGS1,0.011832046271438792
SST,-0.05236362305237758
IL34,-0.027623535616253882
RSPO1,-0.014719443440206868
TF,-0.008581595357355774
IL33,0.017989594483262292
RBP4,-0.030903738909688533
CCL20,0.08073480807647838
NAMPT,0.009354339724970656
