,UKF275,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.006481489986872717,
BMP1,0.029729321486075683,0.09849855672021111,0.05178264083811872,0.04052821653789182,0.09538503572048566
NDP,-0.0458660512894874,-0.0835846579995683,-0.02939295422501352,0.012459602876844542,-0.06508763033753066
TNFSF18,-0.012358479061745517,0.05352345028437633,,0.006540895000055411,-0.0024528118783757463
RTN4,-0.04038405593205327,0.0003684730679959537,0.003388515945010503,-0.022375504105789378,-0.11456292207005508
HEBP1,0.004947220585715883,-0.04885934805838862,0.005994594059673023,0.024033802030018175,-0.002343570770255336
WNT7B,-0.0354244298085485,,0.041945981903907435,0.051067320250839945,0.039737439656470745
PTMA,-0.003719404527016439,-0.013804760173167898,0.08795022555113428,-0.023400197618815753,0.02951940910167518
FASLG,,,,-0.002727109190827072,
CEACAM1,-0.01943694335376245,-0.029689474156130657,-0.015867632708469737,-0.0017774150644901646,
PDAP1,-0.05970208987054016,0.007243040280289714,0.013100614355512503,-0.02388558712449114,0.014828023992824778
QDPR,-0.0543188287318202,-0.0019983767073665087,-0.07340326888772783,0.003576896979269658,-0.11917609754980855
POMC,-0.01433980181774593,-0.001487473872048963,0.0030083501371154973,0.05298670646425188,0.012884538564909077
CCL18,,,-0.02599390864963589,,
CCL17,-0.01541342951196345,,,-6.378319863976109e-05,
VEGFD,0.049707824002680444,-0.04036218950523509,,,
TNFSF13,,,0.06828645894681691,0.01971891119818655,0.018401100757184936
WNT5A,-0.01222543156908657,-0.02533066319763162,0.060697929733312325,0.05345217672983139,0.09579303457003262
CXCL8,0.07220086143143205,0.17493210155828848,-0.05839023447978306,-0.04434708134686784,0.10498654463073878
GRN,0.04912640628695886,0.14168321861132216,0.05178580394892423,0.025969052069071057,-0.03146749735038585
MIA,0.027585778671509787,0.042244296330856246,-0.04288777386234236,0.013079217289423939,0.04705319413118067
COL4A4,-0.01609209728152216,-0.03160438928489998,0.0838130003440098,0.03288846780996853,0.1377021454029248
TAC1,-0.03599185712219562,,-0.027376186832864358,-0.009841512606745864,-0.04478347244385285
RARRES2,-0.02416441414044534,-0.09975177215810146,0.013987503441367259,0.023951118763107744,0.06384561996179956
FGF7,-0.028845580753368377,-0.07810038095176866,-0.015522937711281227,-0.001375611850460012,0.07341871358090721
HBEGF,0.020403176248351425,0.13556721033986524,0.022179218974873308,0.019571338142010408,0.1319344245654992
CSF3,,,-0.022748418985050128,-0.021222915143277295,0.11977920655374799
PI3,,,0.014760985162667674,-0.00038235822809721686,0.07649568381527827
