,MGH258,UKF248,UKF259,UKF260,UKF275,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.016113797600798844,,0.08141721877639407,
BMP1,-0.019926186734274935,0.068333065845915,-0.022074055276691925,-0.01727376021614474,0.015905957339435384,-0.012963860939960659,-0.05603242972740232,0.08984634277875604,-0.031075484309831244,0.052386020105809575,0.06403853344997225,0.04352825634473277,0.055300103772332077,0.01702730122509486,0.06623926437024977,0.12497434092897348
NDP,0.08193816660979585,0.047589626336346835,0.0175700298845612,0.05149607565628626,0.00041846326520549265,0.014712493578602496,-0.004615844097407176,0.09547475601003683,-0.049020361150291174,0.07831713343332597,0.05971090580634457,0.03889860280490771,0.028146641945703283,0.013005927894536752,0.07560897553262717,0.008404216044611664
TNFSF18,0.0702926411041202,-0.01173139635339821,,,0.020075764210167157,,,,-0.09932044562194378,,,,0.013051539395909195,,0.03327667616797062,-0.00457700654671036
RTN4,0.020198955431952763,0.022916182472905614,-0.001741537517999809,0.029416383380051703,-0.009197461334078092,0.023923480714184025,0.05606224891432699,-0.13043010697657462,0.09850134152349772,-0.0635327199943448,-0.08123312505437401,-0.00803902154286987,-0.12652326075247872,-0.0809624926200236,-0.045232739553400854,-0.11450046004440936
HEBP1,0.04635563164180378,0.02060574161112322,0.02496355343144382,-0.012505144842431594,-0.010091490617705076,0.014430952365612848,0.045994818017444906,0.034829139655994094,-0.009783524472049027,-0.015395149448691086,-0.0019971696940444044,-0.0011760376324101692,0.021794193167211054,-0.014209785785545504,0.077117675287317,-0.02256287700348121
WNT7B,0.03900471363540299,-0.060643010153170716,0.013229274817116703,-0.0397694103127546,-0.03802496465750339,-0.012332312690747553,-0.020901029740023665,-0.03998849530452641,,0.09661268243003424,0.016207320064149773,-0.0034860548000644215,-0.020643239046125153,0.0027686117384826186,0.031270927655254216,-0.004616244409354401
PTMA,0.11502931290610831,-0.04279827744139736,0.058030694479911354,-0.03330070313135594,-0.017627710528052686,0.009576500742136944,-0.037029602263968675,-0.12202411281922348,0.011993558035858406,-0.16903413609169166,-0.09507174815980403,-0.06236196950238686,-0.11242852503359158,0.014677348838315396,-0.07018175171290485,0.0656043850750796
FASLG,0.0415523809525543,,,,,,,,,,,,,,0.028360592830104447,
CEACAM1,-0.005780301949881453,-0.019194856247052743,-0.007165488038377718,-0.014562086046591755,0.021102684390327232,,,0.033249581916626074,0.10692927051184431,0.03275180823070764,-0.02448576588662115,-0.00601576838106862,0.017743335953257056,0.02663823710869257,0.010208691050527392,
PDAP1,0.047668056496095824,0.012190445132577344,0.02823494268061019,0.014029092193208867,-0.013325838214539051,-0.022177823475031902,0.012537377404313209,0.013265841511809229,0.01857399589618844,0.009348052071508378,-0.01956920965431288,0.01797868956956733,0.013228525542712867,-0.009232066162840964,0.04294535925640572,-0.002434368136442934
QDPR,0.02362506442313705,-0.07584743919231626,0.019128893400649393,0.020302225924962183,0.02863853871169771,0.02778165656490785,0.008465606859574652,0.018406952478601406,0.029604960673289674,-0.15027035773181258,0.009078640195991144,0.02745402245419465,-0.10051218064968277,0.05304863125780915,0.06452055584834973,-0.09392438864027765
POMC,-0.006604532901884047,0.05132830652684905,-0.005981698930363652,0.058309651407725795,0.013396531078620598,-0.005889407425896453,-0.027201858858419175,0.009750588463334627,0.05543332622436362,-0.03727216486373374,0.06251189640084034,0.018819242145530882,-0.04196903412138162,-0.001712990517331392,0.04191138932164367,0.025039997640620894
CCL18,,-0.017018670281367942,,,,,0.02848953457695441,-0.038150564530196045,,-0.03184646963111253,0.004994999137325601,0.03480828057736453,,-0.023219130877636416,,
CCL17,,,-0.03929455319380161,,-0.01941103372332674,0.07791817125022339,,,,,0.08472272597079565,-0.03413023193371822,-0.021245111322827095,,0.07483552026851203,
VEGFD,,0.01797906080360185,0.03221317158808824,0.03777577707982691,0.03440000113704412,-0.011196288998412855,-0.01837867543781114,-0.04298087546548488,0.038308078700589256,,,-0.023643053436929653,0.022781708323490836,,,
TNFSF13,,-0.021803411804120598,-0.027104503355015453,,,,,,,,-0.020535013953053755,0.05314434778433261,0.10967374090816281,-0.01927394121925446,0.0037197173619013136,-0.03744057058363604
WNT5A,0.008416388232484702,0.07853122601587273,0.04120181811606384,-0.01271366066396484,-0.014720554702504043,-0.022622473072412105,-0.0036161339027824483,0.03623797580663324,-0.08179275916971938,0.1286439260688966,0.038018256848516535,0.0352075198658434,0.011783432168189865,0.015734715638650334,0.044074443142074725,0.05896045982862886
CXCL8,,-0.013916315011427679,-0.0085538149375,0.01939640660744462,-0.006768525487204001,-0.010426471146152526,0.024045933129709887,-0.04114811693997076,-0.10328617439891745,-0.030457658704812676,0.043502691020679655,-0.07374023729752525,-0.030163426970950303,-0.04547978721111972,-0.04614859677088425,-0.019989817807596507
GRN,-0.09848722538020782,0.07686032706371539,-0.002933673614350444,-0.008918103158608708,0.006880760699382555,-0.021942368617604808,-0.0199091481337941,0.05710258783145715,-0.006707766544214607,0.05179338063180175,0.06583464523872426,0.11114152457471503,0.11758667442782542,0.0964022714399356,0.00874049756823692,-0.0018332850189158652
MIA,0.1075314390230231,-0.03663455002310013,-0.04757223433293531,0.01915303647809019,-0.0233018945935024,-0.012733420819186759,-0.024924785676366797,0.15351785032798163,0.01923856764944777,0.001571924458898255,0.14219184066215115,0.09427311535700099,0.05485568773885076,0.12215092104988265,0.08432759391959878,0.041702874879279206
COL4A4,-0.01494395129434051,-0.02901584507361629,0.03346621531956839,-0.04270104254917634,0.04934947413134239,0.07601372021008336,,,0.10726386771115505,-0.0402638881473476,-0.03639374913587126,0.06302514541786702,-0.032726376643691026,-0.02345663410782241,-0.028562999206858206,0.05625081459076212
TAC1,-0.0039526247061174614,-0.004811550754240605,0.017938958901857212,0.037117913183832854,-0.021899792143760186,0.012312255843322555,,,,,,,,-0.029612666186633788,-0.028879588438617564,-0.0482186504685538
RARRES2,0.03554613008488729,-0.05070022836511602,0.07788422327971006,0.05690041916317955,-0.004583040446516952,0.0017428613011863882,0.06727487763688915,-0.10277055761057179,-0.013442542995868435,0.06403778706203786,0.0672470198510242,-0.04765245670244302,0.013543305710305846,0.023405042806453516,0.0786615565138582,0.052400141235483845
FGF7,0.11444911034614984,,-0.022317438650535468,-0.026676071780929324,0.003258934917023567,0.007370382990255025,-0.019153875452089342,0.004854041169939362,0.12292786829589646,0.11062155485591751,-0.03602258391831852,0.033073711208359974,0.028238914085600628,0.023204727305836264,0.08370850626560067,-0.006242944564786081
EFNA2,,,,,,,,,,,,-0.022471140025911766,,,,
HBEGF,0.005326386030090233,0.09718823818128433,0.039498253641058814,-0.010706771818808088,0.02128777364584093,-0.028753143677305068,0.01193529776991325,0.0368196550425477,0.14228986576817623,0.15706951866424818,0.01737465211669182,0.036112166838373365,0.009962460767892286,0.026301827784939634,-0.025591326889797802,0.11261827889636966
CSF3,,,0.036484268682416686,-0.01838957388702856,,,-0.02761076635281656,,,,0.07387025675853308,-0.01822981095867269,,-0.024606835926078797,-0.03767068169498421,0.07139232908499321
PI3,,-0.05789850103689549,-0.0158712207964592,-0.014829211452169998,,,,-0.02176510476546932,,,0.03158840332462952,-0.0798070481721248,0.03867295372833264,0.0201156713112439,-0.08184587646609104,0.021868820512122876
