,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.01303894148327924,,,,,,,,,,-0.021494336118171562,0.05723611002329077,,
BMP1,-0.023727759015654205,0.016639999419800763,-0.007188378447033123,-0.007994324766756924,-0.009648985496202304,0.020188659470469817,0.08405138948806927,-0.0019937490172505104,-0.03429167888967461,0.037336177380252654,0.08502800269001146,0.0432298149130669,-0.08518665622030189,0.060623644112428716,-0.01642129982977385,-0.029038846441967178,-0.001741276779267237,0.020078757824976836,-0.03422336518502819,-0.08882348891213734
NDP,-0.07133394720113005,0.03309856812661148,-0.009156173164554485,0.001970672902440387,0.010532303646045708,-0.00015673497018264877,0.05727120657347489,-0.032748539159526496,0.005665463771995182,0.0034064048364841754,0.07793991893588353,0.025175480242191742,-0.13361727886047126,0.07873960359436567,0.05377396172263139,0.06754721705278034,0.05494118005150941,0.021370486518025155,0.011521645013842455,0.028277360785442063
TNFSF18,-0.021544822991690443,-4.4759932571092936e-05,0.030956156526799908,,,-0.012213192014601458,0.05876090420677758,0.003010311191646456,,,,,,0.05612457104042537,,,-0.02216672944135772,0.07747986445697708,0.04704008371811098,
IL36G,,,,,,,,,,,,-0.01614023970072809,,,,,,,,
RTN4,-0.054772578332318654,0.019898204093234246,-0.008296043278959213,-0.017502056654618056,0.002651718368017569,-0.04224097862176044,-0.12359877515617318,-0.0017930237166694576,-0.018769639796620167,-0.04867584754835276,-0.07186452230836914,-0.022850401024404145,-0.058362613141389776,0.05639260077443334,0.04208176573006531,-0.07771779892351117,0.0023380854044933656,-0.040451009595549446,-0.07075388839860441,0.0003591461662650815
HEBP1,0.034359662288003974,0.03495964933406554,-0.03798352154992996,-0.014797100633779597,-0.010129162281028805,-0.025786007654794742,0.057823873160370035,0.00877018475098278,0.0473573458529703,0.002877120967793785,0.066258247453775,0.022840422997778748,0.07378910385455645,-0.0223730617395628,0.06231256716218508,0.02796300643740973,0.08564325605340484,0.006769103536604644,0.05841615851457755,0.04478952834418104
WNT7B,-0.05028585635847431,0.0516037383532354,-0.015480750480589375,-0.02989740247437336,-0.03721052383530457,0.020197014053318002,0.017222234047161385,-0.04336613880884883,-0.017435753526674192,,0.03338627797944843,-0.01773998345491131,0.0255911083549419,,0.10414668227547375,-0.016020860077334595,-0.03493636072978823,-0.026139787851186872,-0.04449172225572045,0.023551881021544634
PTMA,0.05820641490587871,-0.031251730347449755,0.042966064917643654,-0.053254143590103234,0.03420296410534092,0.02324381868121833,-0.04502275357330125,-0.051216956949101285,0.012181046184943046,0.02470204287621528,0.10060386279493541,0.029983627133117047,-0.029226597422232343,0.042057872508587356,-0.03329434433163281,0.045554743741117454,-0.016618776898415982,0.02544727178868691,-0.04776683671764506,0.0824550703116387
FASLG,,,,,,,,,,,,,,,,,,-0.018160455874620007,,
CEACAM1,,0.003226477024631346,-0.011880544889408462,0.00025271149381155596,-0.017345623082704178,,0.0039414096647739745,-0.023794460152343436,,,,,-0.04247577201347005,-0.0422824819351942,-0.023400518421889734,-0.021606672446405475,0.045529775025914855,0.008905135941624329,,
PDAP1,0.026587284942092837,-0.041838825586788246,0.01698313269687275,-0.004541260355220895,-0.02944394227989926,0.005910863632769544,0.063455499198188,0.05841722807557033,-0.029911176696111607,-0.02436173240014311,0.06020616133593413,0.03624448501614209,-0.14664799097646816,-0.002920056481868396,0.01980180014551865,0.023199954284659145,-0.05555260116175376,0.006102666759897983,0.014296625150919291,-0.035595146047907075
QDPR,-0.0723647953856053,0.035796269671353284,-0.029586618968314413,0.0025570367093386997,-0.05683145542695146,0.033907934769551555,-0.08448430106258643,0.0025697163100329573,0.04790621396304409,0.09581457561629277,0.03846843717926035,-0.03921344764810395,-0.1155428541157478,0.053004263577784594,0.009935519886475848,0.02620028455854827,-0.059974945571315164,0.019198402457055938,-0.05073683051389526,0.015079206487257827
POMC,-0.04068022135243074,-0.04007661231473798,0.00893360317451621,0.023620401576402727,0.10251358726500526,-0.032220863818249325,-0.00786842960013584,-0.017554603969085966,-0.008528174316543123,0.059866564401431205,0.06447593385899568,0.00815239578681099,-0.04138867423199612,-0.025827612149203635,-0.03906814627835406,-0.015683073193616285,0.06464723070884001,0.10804716197148778,0.024387122745955288,-0.058830476560044934
CCL18,-0.009512053464227285,-0.021101041580358443,,,,,,,,0.05104745055099434,0.026918567641685504,,0.08586681869992992,,0.050289350518931006,0.026972746853999603,,,,
