,UKF251,UKF259,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015863880631303572,0.019053561915320486,
BMP1,0.03167850271455194,-0.006220353590788254,0.08004641290545556,0.12711722095243155,-0.10449727238811,0.044201484566918116,0.06704707781322398,0.08517671167951688,0.03268009472279877
NDP,0.008022550456124872,-0.0015761300156352117,0.013071046486249778,0.03553974473563791,0.10306848742809598,0.025549940840804447,0.08010966878290836,0.07088392117026356,-0.0092895813727975
TNFSF18,-0.01915898297338882,,,,-0.06442561736092306,,-0.0163601400811264,-0.03563086526863969,0.01755744287920618
RTN4,0.009591419045298184,-0.008278052836515275,-0.0920205968150633,-0.09519685266793167,-0.024167509944337962,-0.015285059959588223,-0.13112980172628896,0.025320495913498508,-0.057013474779477366
HEBP1,-0.02524954465222194,0.008418776204640764,0.049681779442735934,0.069968509829515,-0.1171444999792191,0.01663172362642642,-0.03215253987945198,0.057438592285938166,0.02536426000828341
WNT7B,-0.018628562479423887,0.005149518754652055,,0.044836203874263236,,-0.03362342696409347,0.025436588149408544,-0.026668228178691748,0.0439317888852039
PTMA,0.029985227993151047,0.008277899163982775,0.1383628940567064,0.17745714737539264,-0.053076422901809785,-0.03242628418475184,-0.13561018889640408,0.0007699565567422613,-0.06422326408962736
FASLG,,,,,,,,-0.018320043022725333,
CEACAM1,0.030875626493028614,-0.025505400738938814,,,-0.045302142957931175,0.06582126920273577,-0.023507813274836177,-0.02548964914157357,
PDAP1,0.07119350956911324,-0.048761172548431084,0.005478770096669307,0.03960261302422348,0.027107276110587664,0.03426360928858035,0.07321428085120328,0.009558876514617039,-0.02306291944972163
QDPR,-0.002012261186242645,-0.019711006900862964,0.07209914023387708,0.06576958838885746,0.0393656066255653,-0.05721656043915095,-0.08383839571813899,0.053503147616639,-0.03162606904849784
POMC,-0.025402246488408803,0.02853436673942707,0.04562984224197866,-0.021087098398180095,-0.006456512280419689,0.008273765594286438,-0.03920167217945106,0.06461755065518011,-0.032314283322017516
CCL18,,,0.06393145344401838,0.11020640451044957,,0.21213410954718429,,,
CCL17,,-0.014783245729834171,,,,,-0.020915610235006096,-0.01660506129984957,
VEGFD,-0.020476583311944716,-0.016470168252728876,-0.021012493698279348,0.035042861751099885,0.00330181066838808,,0.0001440723293768824,,
TNFSF13,,-0.01019715204563044,,,,,-0.022429287105273536,0.0339705435452957,-0.026444435395783682
WNT5A,-0.000766381545866244,-0.05669240273918646,0.04344059945925466,0.06504812476762695,0.05123059200882959,0.08170489248034603,0.017490346562364416,-0.006526475818458504,0.02620368553769632
CXCL8,-0.019173058927505492,-0.005850238998489715,0.0575737970140111,-0.06867850935323679,-0.07128307492699604,0.06254205527675605,0.036838284651964134,-0.027396752000235395,-0.005612171758689663
GRN,0.0134858500369877,-0.03916638881723887,0.0695982436332658,0.022511942948635916,-0.018061817752596982,0.04736555142795752,0.14877391052739494,0.03202832754543204,-0.0036248224202073457
MIA,-0.018210441212357455,-0.02202539944367017,,0.022910577222357602,0.025978010314259295,-0.006478875825142734,0.03715443456221559,0.03166135245250912,0.17036522745201657
COL4A4,-0.008930955910646271,0.008125913452826282,,,-0.048224045799982684,0.08161501723950967,-0.03221880685313175,-0.02242908924865872,-0.029555660714268704
TAC1,-0.004203581483346554,0.05755638218124669,-0.07782838968400149,,,,,0.11320802967654323,-0.010980837932100203
RARRES2,-0.03603211389643898,0.030226969288579885,0.02924251287232871,-0.09961006379866852,0.0636248914918984,0.017858481081537626,0.03282825928240231,-0.007270520654947466,0.039737038252316864
FGF7,0.033025508451279106,-0.00138503295822819,-0.048782234977144706,-0.011516604135994937,0.025915071605245903,0.008747677081052917,-0.023157498976701878,0.01658479956051975,0.022809870637433265
HBEGF,0.049387823691338505,0.04577702985276083,0.015617795098936906,0.09652893360060882,-0.04020938846486937,0.036338455508007954,-0.016972709247526748,0.03942790513589288,0.10056650753101086
CSF3,,-0.017620339913865208,,-0.04459072624426555,,,,-0.017482567915689636,0.09969995042024601
PI3,,0.007815431134284637,,,,,0.040184026906474934,-0.03798381206698736,-0.018236607180022936
PCSK1N,-0.0019386278498759635,-0.010912254455362359,-0.12044381871686338,0.06557383946531534,-0.018394542039891895,0.08215336490087759,0.10544191447293517,0.010163167069357255,-0.09418824101870839
NTS,,,-0.01891799411080388,,,,,0.0073432717276074415,
SFRP1,0.03961444952752098,-0.012898953324806853,0.0664497459450188,0.09111493724094857,-0.016929285293059277,-0.032203343561350226,-0.023126495889166102,0.039758343914101206,-0.025938595391425845
CXCL13,0.029867267165846537,,,0.015389169023952806,,,,,0.11548128595037808
MICA,-0.0371340171022407,0.030330497410572508,0.0059076596026263846,0.034428084196323684,0.001002470334082222,0.018717483498020576,0.03256665513824535,0.07219778737011356,0.03565721170815294
TG,0.09529255780141914,-0.013920014273379256,,0.059295570227881955,0.04238964839629561,0.048119456043010315,,0.09405062551037535,-0.0277898626373589
ADA,-0.00710897770920301,0.05076659303625301,0.21986537598590797,0.12043467517229811,-0.04818451241334396,0.029585773685833674,0.0523550510050142,0.00853627960245508,0.062432996558762444
LAMC3,0.012672059675684473,0.03403936163231452,-0.02171342146465787,0.02890895128457882,-0.12461172560657913,0.06794374352403948,0.10344463632297307,0.04275020405930382,0.023039213227331636
CCL7,,-0.010064148079238456,,,,,,0.049429151176238514,-0.04325619382047765
NGF,,-0.023059533753643637,-0.018918006567047816,0.047510848155857634,-0.03535175922537267,-0.031771586287688246,,0.0317152388786523,-0.006362052012272769
TNFSF15,,-0.01120692111740918,,0.0029745774052161236,0.03795665321426389,-0.032086615910946144,,0.02049383427203951,0.023054563183342872
HMGB1,0.019890348308068823,-0.016742188897018746,-0.002533244335570597,0.09960969451022487,-0.06808217779157849,-0.014928892735064649,-0.07288418056883053,-0.056056476464409435,-0.04214267877064541
ITGB3BP,0.018204508649728154,0.04373344331881446,0.02791228603990984,0.13170740530299618,-0.0038671107925141953,0.010563235392963582,0.04166380290021644,0.031661281618903137,0.01492708026713878
AANAT,,-0.01019715313395307,0.09909269534843691,,,0.07572429811618367,-0.006762290432912883,0.06846501703772093,-0.018983011008054804
RELN,-0.02308485192809053,-0.017699974238659325,-0.04202673744238956,,0.0029956049976328615,,-0.0165216741342189,,0.03629440781856268
IL15,0.026992237532370823,0.016545566586861727,0.020896599474233054,-0.027899120742809373,-0.042118557639792366,-0.03764242901832409,0.09331225553421914,0.09890236325385174,0.12038024045143994
BSG,0.02030458759418417,0.08236070123082974,-0.03215722932272616,-0.04176631170245495,-0.05359710082654447,0.005338608982040794,0.1428836674693904,0.09633899460036853,0.06542309673916918
ADAMTS3,0.005335212507157566,-0.022906000669295212,-0.02855966846345217,-0.0015347363497282514,,0.15569878153071537,0.12259735312096491,0.0669272996233127,0.04844012378135261
CD34,-0.032502700579233594,-0.012934403345482647,-0.006201496444206389,0.10266733247334131,-0.0438561888667,0.00540276966300135,0.08371509229360925,0.06280138120384107,0.020978869480187394
PLAT,-0.008802815107991423,-0.01660854819707285,0.031799066438787764,0.019631522637771487,0.032514752522949206,-0.004717402322642818,0.12071849452400682,0.09942348588788177,0.015205057535303199
NTF3,,,,0.003444830250590975,,,,,
LTA,0.030876882816176253,-0.012898952721373542,,,,,,-0.026087084931885638,
CKLF,0.015956579290601434,0.043162328117467536,0.07643163540664803,0.0850712443236926,-0.002461209984779389,0.09523865185156684,-0.004743268619274385,-0.0024999205635644933,0.02557740890437927
APELA,,,,-0.052716949593268524,,,,,
CD24,0.004595731083527497,0.028346821690515434,0.06778882638414013,0.10508856200259464,0.1336073342944421,-0.001858348022669462,0.02688271765743359,0.008457638336967334,0.005364753409990481
HSP90AA1,-0.02676771139057491,-0.023510702368965557,-0.10505886976688603,-0.043514328260617255,-0.043732074491660486,0.0094513983428146,0.02525706279436136,-0.08879043875136935,-0.11562301194227023
BMP4,0.07096666324806424,-0.020032339272606853,-0.028368590783686164,-0.0006206828267854997,-0.010876104328262505,0.004868063397786514,0.10473778004698893,0.055411361592099764,0.064911610219949
SCGB3A1,,,0.05631564997869819,0.035249963794822085,-0.03479928995525005,,,-0.02713491952800595,0.02821064036635358
IGFBP4,0.004349153415505606,-0.02433557751419524,0.0975839042473071,0.08729613367584935,-0.08169031290604509,0.01137514527215885,0.13061848089487607,0.054359081241961635,0.04706178239199761
RSPO4,-0.009177261689003794,-0.01974410704176728,,,-0.04455221272403829,,,-0.022265726694661734,0.0175801764608777
LEFTY2,-0.014471883086486797,-0.028821588039423703,-0.018918006567047816,-0.014718986025953085,,0.1952868275345351,0.1792843801651232,0.08510421118608419,0.0076628081892807795
PF4,-0.013004430410459414,-0.008780770923595672,,,,,,0.08342541169539076,-0.018751069438741823
ANGPTL2,0.017874471909025365,-0.03690112758678978,0.04769450670572722,0.03135675137528589,0.024464074684975256,0.057306844405586754,0.022872892138100575,0.08502644099364043,-0.04178362207182229
