,UKF259,UKF260,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.052352088282709736,0.006986493470325815,0.010368643434139638,-0.008469890877916093,0.035079018948020464,0.07971409837031376,-0.011238766577153541
NDP,-0.0010838573224991094,0.013442853551114506,0.004207752852776461,0.019478823956598043,0.04591311379216511,0.036745974109557496,0.019615372222965985
TNFSF18,,,-0.010647509681371023,0.08537970470663431,,,
RTN4,0.03907533153233517,-0.0470037241064078,0.02539251426100298,-0.032121573382225765,-0.043131576746524784,-0.017438514870421747,0.0330582628114968
HEBP1,-0.003809433756482046,0.006532513038425899,-0.011608909946669703,-0.03666370363616893,0.07864504843836524,-0.0042944998796228375,0.053832849352074295
WNT7B,-0.018093465415280986,0.0002876713115167863,-0.030520095349847606,,0.002466952522399846,0.055447424990148854,0.03084062305447723
PTMA,-0.008785679451980692,-0.021567043472086808,-0.008610627989227449,0.06797712106315643,-0.1088590745994603,-0.06575043018732357,-0.036877022655859154
CEACAM1,0.014436431156439354,-0.014777320781550952,0.047604268941177565,0.024264644828338,-0.02291480318086533,-0.013987612846805181,-0.034539544183222914
PDAP1,0.0017014269554422987,0.005826664399775924,0.03919371674460943,-0.08869290340270858,-0.0578694356852653,0.0017304893537996421,0.025576812703716083
QDPR,0.04529982786057998,0.012453523050908107,-0.003130204154463147,0.011161521418032295,-0.000964163190969935,0.035384167527474836,0.03836863839024311
POMC,0.12279858577053542,-0.029735463837070805,-0.012354528249030876,0.030096963732059553,0.03439639609217314,0.09522736387600668,-0.0359929031201159
CCL18,,,,,-0.021918287512849053,0.1459948156701463,-0.026492546959245734
CCL17,-0.01914449294596413,,-0.013279517579130084,,-0.03132153611090859,-0.0032598346242881607,
VEGFD,-0.02132907926280863,-0.014138103859097145,0.02393934891910634,-0.0051772578421412085,,-0.037327911332692004,
TNFSF13,0.008970155742700922,,,,0.07663189628259619,0.06433716327041306,0.07429202992142837
WNT5A,-0.04418830973334946,0.0015606874013922368,-0.022142880996408147,0.03717883172277648,0.0021702003809925758,-0.008381765069220878,0.02414997652784822
CXCL8,-0.036994751438112795,-0.0536418634445407,0.014689386647633222,0.11792925261640232,-0.002300558838140708,-0.06786776356157279,-0.03804671270273968
GRN,0.008442853961562557,0.004494067637020201,-0.014643452733474414,-0.05242150898475425,-0.002169275851611816,0.01982312426459055,0.009803126680897237
MIA,-0.0326514369580951,-0.013885887185327087,0.03798099609511063,-0.03172970262949509,0.1573848471787502,0.0756156796404724,-0.0389786256239128
COL4A4,-0.04614081342007174,-0.00980803949341275,-0.013864227203243833,-0.01513452552328253,0.01975844068558584,0.004878968259740735,-0.011568450472752517
TAC1,-0.01976054642192383,-0.0018070190572318375,-0.013419895719589816,,,,-0.05256927538185695
RARRES2,-0.02905866223374323,0.04869404570707215,-0.02478377743517945,0.002060284172087638,-0.014932204766501075,0.0037962205802952614,0.010083862180871692
FGF7,-0.02550913969410084,-0.02707035713408205,0.02097252834824986,0.071622212093575,0.0489947531227416,0.04752784470725932,-0.016428522140767506
EFNA2,,,,,,-0.035477681623032754,
HBEGF,-0.08328372506978654,-0.029834060180350744,0.05380491437011163,-0.04417756712073712,0.03464598010960292,-0.00739021272763932,0.020923215662095918
CSF3,-0.02281856632510069,-0.015247587339308873,,,-0.004667029519267175,-0.052926478936242985,-0.016860462566552027
PI3,-0.023909741798371333,-0.043370005844215784,,,-0.086190272707393,-0.031040237274171985,-0.05181294575243119
PCSK1N,0.013788950877187262,-0.04030495939721321,0.03682727633895582,0.009694271782273504,0.04160476837904359,-0.015089129895480302,0.07208383373404
NTS,,-0.01524536576948563,-0.015838267966539643,,-0.04034444694397686,-0.024070072853365484,-0.0018274749271587599
SFRP1,-0.016704310098744152,-0.016129128111250647,0.018966087307418555,0.042377185393099745,-0.00034613593536946745,0.008393932337857178,0.05387270111413709
CXCL13,,-0.015984171936624603,,,0.025092895179822265,-0.017740373291265897,-0.050710352001838585
MICA,-0.035774848966672435,-0.014065008455277138,0.03466762553634052,0.02739375561552044,0.04767660439966993,0.09033841981154045,0.002990424148904901
TG,-0.018026597131279534,-0.03420926176659747,-0.013378611417638507,0.04955456788525743,0.03566880108060419,0.047405869463354025,0.03262478087284889
ADA,-0.0036613296111860424,0.010103010055463114,0.023357706778828695,0.06733716217852914,0.07966584943250775,-0.03658011031360866,2.5370550609925973e-05
LAMC3,0.06769616460524298,-0.014381386138647917,0.010204893360626275,0.01470537351284805,0.04577451902122132,0.04412912736413615,0.060452311267095105
CCL7,-0.013033200924292578,0.05069861723573112,,,-0.04694376299670077,,
NGF,-0.029862392153364024,-0.02262031928789698,,0.02740369002443745,0.016896003207097037,-0.035000801894882694,-0.02186092604020267
TNFSF15,-0.014513106674891422,-0.015690529959371858,,0.01578393302119721,-0.045764897591836086,,0.00952252876352202
HMGB1,0.027839510689536152,-0.014253721605097787,-0.051248445265525196,-0.053561678553348896,-0.11256112221907791,-0.06363826213245227,-0.0363476519868137
ITGB3BP,0.009403037872236246,-0.011094455476178256,0.01881269333976912,0.016217219803352816,0.03750112830012412,-0.058003741002031095,-0.06318305574275374
AANAT,-0.013205444177113758,-0.014138105877391146,-0.012031463432730795,,0.0010273274447105349,0.034543869681157045,
RELN,0.08266613952724881,0.003486563854509656,-0.02648939870959768,0.07394197447686383,,,0.02704498727911055
IL15,-0.02567123511496196,0.004107852702240014,-0.02585648303509362,-0.06672442070302269,0.004482548197237337,-0.005534784454811406,-0.04021381261273566
UTS2,,,,,0.01864718480649404,,
