,MGH258,UKF248,UKF251,UKF304,ZH1019inf
BMP1,0.0187360874332519,0.0001054268462800652,-0.01759233689895174,0.00353386929073912,-0.013309824236814153
NDP,-0.024497756612948104,-0.015675529430887312,0.0006818518404480286,0.017666676516851595,-0.0012506577228083334
TNFSF18,0.10516713872507871,-0.010241986460690375,0.05656273308529901,,
RTN4,0.10125791952323941,0.03335194327449399,0.02212778649925386,-0.016472759192624302,0.023304779126918435
HEBP1,-0.015508524794134223,-0.003935724443786918,0.010916838905510541,0.012197790873603237,-0.0020586895711765833
WNT7B,0.02674865742798107,0.014051066457753716,0.061773613171958876,,0.0478951852419947
PTMA,0.07344686266781313,0.027478771054806193,0.05356012981036191,-0.021762960847872825,0.03943642011820688
FASLG,0.041261224579489934,,,,
CEACAM1,0.052788725498870655,0.0473077672382953,-0.003355461195567585,,0.014510777197331681
PDAP1,-0.06996047926316845,-0.04468888001075331,0.014865310032450152,0.024127843123028157,0.027650747864884084
QDPR,0.20140711141837567,-0.0040788055979775195,0.021193917422125987,0.01690324235038534,0.031582927672379774
POMC,-0.00303086240575027,0.00054058126373968,0.060187571310288575,0.002391967519752429,-0.017572242785509076
CCL18,,-0.010916961869933371,,0.03862467505559681,-0.022453790633548742
VEGFD,,0.03266326631616138,0.004632895146625637,0.005902050529042558,
TNFSF13,,0.05596522399822583,,,
WNT5A,-0.06977845407880753,-0.030351234989508848,0.0760406427947786,0.06034498392019662,0.012088237722358333
CXCL8,,-0.07648701805971021,-0.028862199251415893,0.02887192149856824,-0.0016526359278180214
GRN,0.15313942892782836,0.019675300093833215,-0.023315785200464963,0.06338825409146498,-0.040909048260220515
MIA,0.020520000909703684,0.08669884437713687,-0.019801016260259974,,-0.002413260029443961
COL4A4,-0.008554189068348766,-0.007951058216193553,0.003697111488605311,,-0.028388607121146207
TAC1,-0.0364859968117885,-0.01792737683687678,-0.04405069381968834,-0.03848581650356685,
RARRES2,-0.1372722318083895,0.014266307372654788,0.012040823185658632,-0.007036939590990288,0.014724472589051093
FGF7,0.0428942478965686,,0.09157001043638208,-0.04172897942648464,-0.042756506713314955
HBEGF,0.02922937293954631,0.01596344724532929,0.03889056877449756,0.0036611827649615123,0.07989993484674242
PI3,,-0.02633646996282139,,,
PCSK1N,-0.12276147355972732,-0.04030043194401778,-0.028725050694488156,-0.07761384147691341,0.0022619107710291422
NTS,,,,-0.008000784726001846,
SFRP1,0.09225702283564279,-0.04232444655496972,-0.0009491981314781569,0.017915106726371102,0.14471033181617216
CXCL13,,,-0.02681489496849327,,
MICA,0.01857693562438025,0.004004122023147832,0.061954919214918316,0.0012765763554575729,-0.09190664028920699
TG,-0.02030742403353581,0.040338777252983085,0.030102082320163728,,-0.03656002079953198
ADA,0.0213532358581385,-0.028656739001806517,-0.03135715576611775,0.04257447369088164,-0.07635076905082895
LAMC3,-0.04844303911734149,0.001605472703673644,0.029511833199436656,-0.042583716398829796,-0.005723582954284414
CCL7,,0.06836456473561268,,,
NGF,,-0.0011107573120637687,,0.04903437890717415,-0.033367750505096105
TNFSF15,,,,,0.007809055755773057
HMGB1,0.05377648021853264,0.02334449007156267,0.00740573178194978,-0.02178085318481537,0.054847523594274666
ITGB3BP,-0.004200709447320511,0.034953792592055194,-4.766092096130185e-05,0.04213039163387721,0.07191467485658348
AANAT,,-0.023102612288391427,,-0.025750714515665372,-0.023386564165987764
RELN,0.00508371816398534,0.011807950828028865,0.0006328791740356437,0.008252071430849417,
IL15,-0.06672973148326761,0.011445505502783069,0.032069999665625855,-0.052768965869744736,-0.02127769894487608
BSG,-0.10188395742158356,0.07147676089298946,-0.041304380153896675,-0.004356602516883694,-0.06499302862180961
ADAMTS3,-0.06987751448113871,0.027776317139937324,0.05000594521999228,0.0231955498250685,-0.028003029737847532
CD34,-0.05556395358746771,0.07364651268582798,0.032058465764342285,0.0332634693287208,-0.07477074425504905
PLAT,-0.059890239420981844,0.06602749520700783,-0.033432287243397515,0.03176277602612196,-0.030268110820602954
LTA,,,-0.019047932157184512,,
CKLF,0.1183027333500595,0.00024739265718113984,0.010148505989295384,0.0470057902469157,0.002806459790124262
CD24,0.08545226283442917,-0.023871365002910955,0.019048558442827282,-0.013410420778568438,-0.0017307129576249302
HSP90AA1,0.051670312918979736,0.03206482842119996,0.0018885321019730763,-0.04327466576669023,0.07569537683809155
BMP4,-0.01190330281647187,0.013248616365396771,0.05732425474307073,0.013629329068434613,0.06858591879293983
SCGB3A1,,0.06763332996600575,,-0.02072059033388009,
IGFBP4,-0.019364518685883184,0.022157560051155288,0.0002814302027462748,0.029835746828025977,-0.06473610318956032
RSPO4,,,0.04624444864168306,,
LEFTY2,0.07454191220413506,0.06806491281001291,-0.040237724625280934,0.011965145396414103,-0.029886046996726527
PF4,,0.02443104909410342,-0.0411387893140056,,
ANGPTL2,-0.00041241255893733535,0.018752415825604735,0.05757012490302913,0.008840619528276528,-0.03942427563408633
LRIG2,-0.11757200586299918,0.016794568594252678,0.024229453085969417,0.044793917873587726,-0.004454918207465834
ICOSLG,0.07445963321215075,0.10814063429877863,-0.008258860290893705,0.09258938496544795,-0.026554275430677152
WIF1,,0.004635379065057643,,-0.05368871696026329,
NPPC,-0.07700467278825945,0.02311234289861944,,0.01620691685536919,-0.028002975956352053
LYZ,0.08305184634733555,0.021106383030588892,-0.035438131255603744,0.11520881849854199,0.0030384132256561455
EREG,,,,0.011102223083489942,
SPTAN1,-0.11639013682741692,0.033012553028431535,-0.009947965637691607,-0.02957009082469575,-0.0546279959451802
LIPC,0.07309849165122399,-0.02022249550119195,0.029474421894368212,0.009264068639600411,-0.044925308712369535
COL8A1,0.07465713160401909,0.008784324620056837,0.06493433293616825,-0.007617597952011994,-0.020439276524483907
GSTM2,-0.05647620736044142,0.052089402704504156,0.0539383268124589,-0.019256404148267323,-0.036636680088793595
SPX,0.00515732730681047,0.010555053551366943,0.01738600655951354,0.06746983800893337,0.03094440778417243
MFGE8,-0.003817431715922655,-0.0100105248210995,0.013645529798922506,-0.018038610001517415,0.012914545278569058
TGFA,0.06019817367964974,0.027678388937180668,0.08074213757757011,0.07270554323935656,0.02418517743437182
SLIT2,0.0631931476661082,0.028278527978104064,-0.03103881398995324,-0.03682176527714238,-0.03166888929825267
PLTP,-0.07701342977187704,-0.024125863464476503,0.0275640204730618,0.00872831047104226,-0.007174113664395579
APOD,0.19406520855592999,0.0872205863790486,-0.04067008264822907,0.04575455076080748,-0.006595949883418115
B2M,0.06697441753121211,0.060384801612518135,0.06194430664363202,0.04410233374189825,0.032504416150169614
OMG,0.08832572305995591,0.012335822160651004,-0.07386296367620684,0.02742026458427553,0.055710701977259205
CXCL3,0.14495149513146846,-0.023215268321119455,0.08099328735663996,0.0003320101283438667,
