,UKF248,UKF269,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,0.045574481681594704,,-0.015863888667525652,,-0.020939077639415642,
BMP1,0.07299897660746286,0.06154703398540438,-0.03772275698566645,-0.0026452492302645983,-0.017870106020295408,0.045832618962060145,-0.07678674690388684
NDP,0.05429675342054482,0.02246826534955735,-0.06885813192109956,0.0009982374061887629,0.007572567402684043,0.0790282964516861,-0.012756148670150009
TNFSF18,-0.0026154712844017004,0.05781067588414997,,-0.016360148368740387,,0.014882032365468999,-0.013020909383662065
RTN4,-0.005293335397552707,-0.06116646653522506,-0.06795173086839275,0.0020343639027014036,-0.004209053902637301,-0.027788855798830125,0.022713848632380716
HEBP1,0.003820461116840571,0.00046711618065249546,0.037026366253547716,-0.08063428663821018,-0.014361125021814422,0.03441825056253636,0.013998509276760765
WNT7B,-0.03199156975596047,-0.018378538718260735,-0.04460008439691933,-0.018254899384156326,-0.0018202334196235858,0.005036034327172608,-0.06469304049902824
PTMA,-0.0051845796258007705,-0.02653477995697515,-0.00658680353334372,0.04125882848321322,0.020239153830723944,0.005552893260170234,-0.07847147119034209
FASLG,,,,,,-0.018160454893195628,
CEACAM1,-0.017332498216241866,-0.025856691631904793,0.07528044853255829,-0.0015346050975020486,-0.019238778207324374,-0.025267605698562755,
PDAP1,-0.035731497454346214,0.049165906697867266,0.0484304647684673,-0.019493378622055538,-0.014443388280835813,0.015816540770394533,-0.0803302505338916
QDPR,-0.056719221091403996,-0.04018098495367935,-0.021511943137710782,0.060306646197305726,-0.00954848059033312,0.048851151036693234,0.044297006598924625
POMC,0.02997159631095492,0.01184803656983338,-0.04277831677316867,0.0732551755623822,-0.03147211383293363,0.02285485217230251,0.01977344405479426
CCL18,-0.02162932012963749,,0.00562969502872547,,-0.006869905526982794,,
CCL17,,,-0.031190576627811877,-0.020915620830300696,,-0.016460412585308785,
VEGFD,0.058354171459640544,0.04963689948087106,-0.021606664477760756,-0.02205952438384562,,,
TNFSF13,0.026094735407162433,,-0.03390309042254335,-0.02242929846735678,-0.021603858495134676,0.003776880071697682,-0.0015905599047489635
WNT5A,0.013307754637158513,0.0426774652808362,-0.014741402871556564,0.029600137022685175,0.04336405737181319,0.01676344926353842,-0.07504177076449897
CXCL8,0.028068768607961776,-0.025903831551500507,0.058045440709670625,-0.01219268767855152,0.05718694104463714,-0.007392655598332964,0.025215080048461732
GRN,0.07513502650667563,0.06864888094818715,0.014738070242505763,0.047024051483954686,-0.0653126080653701,-0.002556067194680876,0.0405043545018066
MIA,0.03312672268847992,0.045521832960028215,-0.16363253295925276,0.03270382145433541,0.08860449808590622,0.09162471391525151,0.0028125319097312145
COL4A4,-0.012531952197091644,-0.013038934595076095,0.04251570053212427,0.0015328569300171735,0.04191206945647203,-0.01848736954104089,-0.00789127351103636
TAC1,0.04815185009700495,-0.04458562977982563,,,-0.03319237319872048,-0.002879333687312858,-0.06726346818688883
RARRES2,-0.0336555011123524,0.028203755759147454,0.012733185580486299,-0.07361072200142622,0.014395274193866369,-0.03307374149562434,0.007497484370002907
FGF7,,0.04546953393117256,0.017395766921988586,0.018234804537213725,-0.026890321438146517,0.009900163254006243,-0.052264487332108485
EFNA2,,,-0.02053568860163721,,,,
HBEGF,0.07012814231439679,0.007309077439363369,-0.002095154989289669,-0.07925717820669917,0.06218689041933555,0.029021305387294746,-0.025326503668812627
CSF3,,-0.013794941833264096,-0.006142472088498367,,0.012751184832641394,-0.017330275133976187,0.09797747412099966
PI3,-0.007286133824396198,-0.015533286577779826,0.06509521101662288,-0.017771231156030798,0.05572874976693626,-0.03765293044664078,-0.0030468342617384426
PCSK1N,-0.05566526789390731,0.03499691804071014,-0.09285931804304469,-0.05700289484696315,0.009252051882474632,-0.007356201032504987,0.025582643936174234
NTS,,-0.016955642925461978,-0.02501883963851523,,0.012785376357548589,0.0068417476607090895,
SFRP1,0.02039759717777351,-0.027089043484319893,-0.11141031255630253,0.005846870338569946,0.008708206695380765,0.00927556359178659,-0.04747351855427204
CXCL13,,,-0.043526667112143126,,0.07002249106334893,,0.001233891118640064
MICA,0.09927892036968672,0.007588369896874228,-0.04376936387671533,-0.003319410933344512,0.063673918453823,0.01445099562076187,-0.08136762581263669
TG,-0.034060931929266285,-0.016649260587233594,-0.00500763658874879,,-0.02269992965406289,-0.020875561644510782,-0.0340141844262768
