,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.035529188588030544,,,,,,,,-0.015863878832151047,,-0.015501877935218384,
BMP1,0.04463439426595623,0.06822997270924311,-0.06217146522071123,-0.027576406291932143,-0.03975491239556636,-0.04646770786526704,-0.1605778213139425,0.013714595392257174,-0.06559852955247597,0.024280069252777398,0.09731787624282616,-0.018613778107597626,0.0818269956298509,0.00435611493797695,-0.0017663736041691326,-0.015779265399175325,-0.011646706906153012,-0.0731952446117349
NDP,0.07921569792612448,0.06269219370385712,-0.004294210734211741,-0.06792849150250901,-0.027723646310324188,-0.034042692156688516,-0.0720908740811967,0.03678194674321721,0.004568015213934015,0.04495017178803705,0.03587387742882865,-0.05178527865840341,0.06817570430826633,0.04388349630329136,-0.054567631332681124,-0.06341756041718719,-0.031219187665655245,0.09005533619955555
TNFSF18,-0.009068165851991973,0.00851102103210581,,,,-0.024271782044664767,-0.0024193454053620415,-0.016401180443842506,,,,,,,-0.01636013822569216,,0.017480227149702807,-0.03004545839762433
IL36G,,,,,,,,,,,0.033685358185822134,,,,,,,
RTN4,-0.13848303434585557,0.029590827875180047,-0.068838094932455,-0.016723237053251603,-0.023053906536398886,0.037551162727585616,0.23958872272618542,0.0060601364434010735,0.07015576949974865,-0.005556766125200794,-0.14979760655244093,0.02072903755733866,-0.03707987608854812,-0.04911661225096665,-0.04163640685413684,0.03104024721075702,0.09396828821941168,0.03410994999446597
HEBP1,-0.031783986166608234,-0.003917057977537411,0.03322450613241426,-0.020774176020566602,0.028591682880953775,-0.007378296593705592,-0.04209852713051514,-0.004462281159315681,-0.030599470957251712,-0.03871195621618885,0.009375901900610361,0.027555264721341077,0.007137956258728868,0.05855796507660361,0.04258435952379033,-0.051838397668199455,0.057274832936014694,0.011581561846536116
WNT7B,0.024198553756950857,-0.005017682651881197,-0.02693060269847557,-0.0339092663148624,-0.0027016687596510282,0.02366632989799436,0.2917603744364679,0.05508749414712474,,0.1036964654598552,-0.013283303405639182,0.0002268042873766816,0.06011878496288314,-0.0006189308472491939,-0.03421037253066682,-0.022355297027896095,0.17783804623578237,0.04718204812455106
PTMA,-0.09289430861519048,-0.0025973477377019324,-0.10117978821147029,0.01962282344233321,-0.0446004862670816,-0.00289457210950874,0.048797248377227764,0.012421099795890633,-0.07691283466452933,0.021987638000778718,0.21787953178127292,-0.035250447720826236,0.003606032112281055,-0.004875065623133081,0.0033128971189690225,0.06654758567641211,-0.00922778416511179,-0.07016797388968467
FASLG,,,,,,,,,,,,,,,,,0.05429772215449059,
CEACAM1,,0.033017455676581785,,0.05302080986755039,-0.026676958779129102,,0.020927775105952656,-0.015004753275905024,,,,0.11728356779674176,0.0934497920522231,0.05728314238963663,-0.0011692613004248519,-0.022268474168965713,0.03987601433195343,
PDAP1,0.030969683996728364,0.012200986163084767,-0.025987843252338827,0.015076619420520722,0.04147353039858375,0.033635723029575806,-0.1041994923009582,0.021468101138123506,-0.030476236715244926,-0.02589703745360883,0.011624530205432684,-0.14008012435272676,-0.005339896166190102,-0.03619636594902589,-0.019838974635238128,0.016954128760021194,0.023906251647637506,0.027631891709644283
QDPR,0.004890154155841739,-0.04627782163101398,-0.045987366470700806,-0.030574530009322108,-0.01695368614096671,-0.032246010897120495,-0.02336671828237035,0.05895499939414706,-0.061465019932115936,-0.0201845135011914,-0.09334584369273544,-0.01832128508993634,-0.022988866954548656,-0.07133713482569659,-0.012978203186811478,-0.06529617476999418,0.054906481079685765,0.023615336553792787
POMC,-0.01865442959393695,0.02179234247672343,,0.010132113981024902,-0.05368034942099744,-0.027570228716670718,0.03377511700599836,-0.004660154662311035,0.0014885118608497666,0.03145915957214806,-0.006791202392404306,-0.022435774328668702,-0.024103202648302628,0.0030477205860498183,-0.026641439602676113,-0.03642829842825551,-0.007678913518015739,0.024857301624733767
CCL18,-0.0209279637802411,-0.029457568501938515,,,,,,,-0.017318007728795694,-0.039592822353110374,,0.0492573184765152,0.05566481736719687,0.1571472108069989,,0.11023904659433427,,
CCL17,,,,-0.012224698005971993,,,,-0.020455465225221205,,,-0.0461735191303866,,0.06759885303684057,0.010244724734637821,-0.02091560786292742,,0.047866362555717884,
VEGFD,0.03846535282346732,0.09833865612950607,,0.0006490984580278295,-0.025523003759589206,,-0.025484271929570593,0.05726058247270154,-0.01856410748028755,0.05657569944279495,-0.041728645623426854,-0.041690303603265026,,0.02866409928909833,0.04802212249200789,,,
TNFSF13,,0.04164219519622947,,0.06261936225519327,,-0.02353856520396502,,,,,,,0.09192777932518206,0.015515745486632313,0.06808186255553325,-0.02500600400215351,-0.038031994955641135,8.369518708561996e-05
WNT5A,0.02344864651337413,0.09422537018464493,-0.10644238289684022,0.030265510759995454,-0.030931966193966386,-0.02640248692673252,-0.12317638427558984,0.03855949500825722,-0.021758846734075774,-0.027621606558693307,0.06108660794433472,0.06509872548524057,0.004440830489018827,0.026819193082996646,-0.0636195163894126,-0.04231248109483838,-0.03943694364312089,0.011107248972232555
CXCL8,-0.06887482727766348,0.03412508059614367,0.11190289018475438,0.11460164940949774,0.05218192690572815,0.10487717331200869,-0.04055632798697521,0.03130054099646187,-0.01617819277243382,0.06738090600688731,0.08110000274384435,0.19343583135901596,0.12517800152278175,0.0368301487006938,0.023350933243795863,0.18544033920508268,0.01988829079606203,-0.041521334692703644
GRN,0.016757088801546405,0.05007011102060801,-0.10088440844163772,0.011362318222440528,0.01775071840021604,-0.04410051273566057,-0.15662367441791425,0.01797240221744159,-0.034620066082569845,-0.09378692880588635,-0.06159165692244465,0.07245427725523972,0.016176489819749684,-0.05788204590289386,0.04332383492813069,-0.11957610108494118,-0.07595370067335609,-0.04344260438610087
MIA,0.05739913169997937,0.056369201528398714,0.07032098114626095,0.02759034144307543,0.040410880530577814,0.04675500724819497,-0.048547259823600024,-0.040205487483199846,,0.015807418231906706,0.0474688051578677,-0.025166503655251977,0.07875203927098579,0.06416829352351194,7.107604298865048e-05,-0.028887466023841117,0.09344350833473355,-0.008397079588051774
