,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.009878602569937348,,,,,,-0.01707923037326385,,,-0.022022202429236977,
BMP1,0.005856003236040005,-0.03863159295829076,0.01907904267576533,0.0013273817958076022,0.04017709148999087,-0.002496204876697907,0.058401515044005786,0.007806741183982181,0.051247466034145116,0.043809341466333855,0.019675042978403428,-0.00157206814538323,0.0027698235388470436,0.012276051544533116,0.14685835358052016,0.06867319136348934,0.07463062605133224
NDP,0.031854883017310105,0.052557684735530734,0.08704478570605952,-0.03886296770194328,-0.054254553895353184,0.029240645732353767,0.05065383909500659,0.041731818317295125,0.09786367638180563,-0.04415833323198135,-0.019370567275457093,-0.010656406202675304,0.019922668273772624,-0.010860124172768562,0.08967378680869513,-0.017284409000549887,-0.009938600931410774
TNFSF18,-0.021274495327980245,-0.020097643076817422,-0.00716394795860526,,,-0.011440820576501557,-0.023066479158897583,,,-0.021125674756744626,,,-0.017613508817827313,,-0.039479542574028546,-0.0371475183324694,-0.007481857924379749
RTN4,-0.0035239524800961372,-0.02767191722250887,0.044485304333538485,0.05549873767052084,-0.03817353850499881,-0.014366750684996316,-0.08983341614248408,0.010609804336828742,0.02776030579335494,0.0721034269857068,-0.01108373778774128,0.0292844426331766,-0.03043536531853252,-0.013754647538482071,0.02789330493574618,0.04529638087733577,-0.06259126184896298
HEBP1,0.00860043065737334,-0.11225700813254376,0.007165813836821822,0.03732762164034703,-0.0036475390205043907,-0.04121198917481537,0.0339924090235035,0.004078676522040402,0.015052574710279884,-0.06996840869044095,-0.03189440424583619,0.0017672199486766472,-0.060590860101580234,-0.062313805834130105,-0.03584549972714544,0.022509611851119018,0.034232133315523036
WNT7B,-0.049654908586367,0.033115918824355335,0.016911223685437127,-0.030648733883546837,0.03996864496496112,-0.03686528202871168,-0.0021279290721787363,-0.01067749937539119,0.04000241658740811,,-0.0035048111030949788,-0.0379236547382276,-0.036831271833864004,0.003791001122866609,0.1327157575693741,0.006561999646338489,0.12457233396816547
PTMA,-0.007583822285670136,-0.01838117178978553,0.07351325655883718,0.005684536641356958,-0.01606560511544934,0.01200629140956393,-0.03951678977982988,0.02193671335633366,0.0028612198561290074,-0.0470437014208462,0.030442741757376716,-0.001960903369060217,-0.03138024878361427,-0.021412593156860896,-0.015716172881574657,0.003571915545607618,0.04633208954487734
FASLG,,,,,,,,,,,,,,,,0.02556375621528483,
CEACAM1,,-0.019692504237509303,0.09764102187508579,-0.01699199766333368,-0.014777320781550952,,-0.03035417280469034,,-0.0489217784591828,0.012867041721289345,-0.03553048845959195,0.028026458536456546,-0.005362104379863836,-0.016688748253499416,,-0.010418283609865499,
